date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,1973,,,,,,,,,
08/1963,1975,,,,,,,,,
09/1963,1966,,,,,,,,,
10/1963,1957,,,,,,,,,
11/1963,1949,,,,,,,,,
12/1963,1944,,,,,,,,,
01/1964,1923,,,,,,,,,
02/1964,1926,,,,,,,,,
03/1964,1917,,,,,,,,,
04/1964,1919,,,,,,,,,
05/1964,1916,,,,,,,,,
06/1964,1905,,,,,,,,,
07/1964,2013,,,,,,,,,
08/1964,2022,,,,,,,,,
09/1964,2024,,,,,,,,,
10/1964,2011,,,,,,,,,
11/1964,2009,,,,,,,,,
12/1964,2003,,,,,,,,,
01/1965,1995,,,,,,,,,
02/1965,1988,,,,,,,,,
03/1965,1979,,,,,,,,,
04/1965,1971,,,,,,,,,
05/1965,1965,,,,,,,,,
06/1965,1959,,,,,,,,,
07/1965,2060,,,,,,,,,
08/1965,2069,,,,,,,,,
09/1965,2062,,,,,,,,,
10/1965,2049,,,,,,,,,
11/1965,2040,,,,,,,,,
12/1965,2036,,,,,,,,,
01/1966,2013,,,,,,,,,
02/1966,2018,,,,,,,,,
03/1966,2013,,,,,,,,,
04/1966,2006,,,,,,,,,
05/1966,1993,,,,,,,,,
06/1966,1987,,,,,,,,,
07/1966,2073,,,,,,,,,
08/1966,2089,,,,,,,,,
09/1966,2081,,,,,,,,,
10/1966,2075,,,,,,,,,
11/1966,2073,,,,,,,,,
12/1966,2065,,,,,,,,,
01/1967,2052,,,,,,,,,
02/1967,2048,,,,,,,,,
03/1967,2044,,,,,,,,,
04/1967,2037,,,,,,,,,
05/1967,2029,,,,,,,,,
06/1967,2014,,,,,,,,,
07/1967,2093,,,,,,,,,
08/1967,2086,,,,,,,,,
09/1967,2075,,,,,,,,,
10/1967,2058,,,,,,,,,
11/1967,2047,,,,,,,,,
12/1967,2035,,,,,,,,,
01/1968,2019,,,,,,,,,
02/1968,1999,,,,,,,,,
03/1968,1994,,,,,,,,,
04/1968,1985,,,,,,,,,
05/1968,1974,,,,,,,,,
06/1968,1965,,,,,,,,,
07/1968,2088,,,,,,,,,
08/1968,2077,,,,,,,,,
09/1968,2074,,,,,,,,,
10/1968,2060,,,,,,,,,
11/1968,2047,,,,,,,,,
12/1968,2038,,,,,,,,,
01/1969,2025,,,,,,,,,
02/1969,2008,,,,,,,,,
03/1969,1999,,,,,,,,,
04/1969,1988,,,,,,,,,
05/1969,1984,,,,,,,,,
06/1969,1977,,,,,,,,,
07/1969,2157,,,,,,,,,
