date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1971,,,,,1,,,,,1
09/1971,,,,1,,,1,,,1
10/1971,7,7,8,9,6,8,5,4,7,8
11/1971,110,76,76,80,77,82,79,79,81,92
12/1971,192,111,105,109,127,110,115,126,123,147
01/1972,212,120,113,119,119,124,126,119,142,156
02/1972,143,80,82,79,78,82,84,83,90,127
03/1972,167,102,104,97,111,103,105,115,101,152
04/1972,192,123,116,133,123,119,126,127,129,179
05/1972,205,124,136,132,144,126,132,126,128,167
06/1972,205,134,127,150,142,138,130,139,139,170
07/1972,209,130,130,143,151,141,137,133,147,163
08/1972,199,128,141,138,119,135,137,115,139,165
09/1972,197,136,145,130,139,148,132,150,140,173
10/1972,196,141,140,142,145,141,133,147,155,179
11/1972,202,140,141,147,129,146,146,145,151,167
12/1972,213,143,142,143,147,136,153,141,167,192
01/1973,207,139,145,141,155,149,153,147,156,201
02/1973,142,93,96,106,111,103,114,102,105,159
03/1973,172,126,145,133,133,138,132,133,138,193
04/1973,223,150,174,162,171,155,154,149,182,238
05/1973,238,151,168,178,165,163,162,164,194,223
06/1973,246,177,169,178,164,167,178,186,203,226
07/1973,248,166,163,180,172,176,174,179,211,227
08/1973,233,157,160,177,162,168,158,177,201,211
09/1973,224,156,161,168,171,177,186,184,213,228
10/1973,228,158,154,176,171,171,187,205,212,233
11/1973,239,150,173,168,171,164,190,188,196,212
12/1973,253,173,172,171,172,172,186,203,214,237
01/1974,254,171,169,167,171,176,190,205,222,258
02/1974,198,143,134,123,140,131,145,159,179,185
03/1974,224,177,165,166,180,168,183,178,220,246
04/1974,263,184,186,189,186,200,217,190,253,303
05/1974,296,197,181,187,197,218,234,214,217,288
06/1974,312,195,187,187,199,233,225,220,244,284
07/1974,307,194,198,188,204,235,219,237,226,269
08/1974,272,199,188,188,196,205,219,201,216,262
09/1974,266,210,195,195,195,221,222,215,229,276
10/1974,274,215,192,192,193,220,215,231,229,279
11/1974,290,183,201,180,196,194,192,222,214,254
12/1974,301,202,197,198,198,208,200,204,215,268
01/1975,306,212,189,220,195,193,211,215,216,279
02/1975,232,146,127,140,142,138,144,136,178,197
03/1975,272,180,152,168,178,177,168,174,214,248
04/1975,310,210,171,186,197,192,193,209,230,266
05/1975,301,214,198,178,200,188,214,213,228,288
06/1975,321,204,198,189,197,228,195,229,246,269
07/1975,330,204,192,195,199,227,198,214,248,274
08/1975,299,192,198,179,173,191,191,216,224,278
09/1975,291,200,199,174,187,207,200,227,246,315
10/1975,299,195,195,185,181,193,218,229,241,322
11/1975,298,187,188,188,196,204,207,196,204,289
12/1975,304,202,191,185,189,230,226,209,218,301
01/1976,289,204,194,192,212,224,222,214,223,307
02/1976,196,132,134,133,125,136,150,156,150,218
03/1976,240,172,159,156,186,168,184,175,202,293
04/1976,281,195,194,184,201,208,197,225,228,298
05/1976,262,198,180,227,209,204,217,211,234,274
06/1976,297,202,207,215,218,220,238,237,231,231
07/1976,299,195,195,216,213,233,214,223,245,252
08/1976,285,192,199,186,184,205,196,219,211,266
09/1976,242,182,197,190,178,205,190,214,212,269
10/1976,310,185,205,190,185,218,207,230,225,349
11/1976,283,179,182,184,183,181,205,226,231,311
12/1976,256,190,184,180,184,192,211,206,212,267
01/1977,320,195,186,198,206,200,215,236,243,297
02/1977,246,134,145,140,143,150,148,165,174,226
03/1977,251,166,170,176,160,181,192,177,237,289
04/1977,296,193,197,186,202,203,227,214,251,301
05/1977,296,203,192,188,205,217,226,210,239,274
06/1977,315,225,194,196,193,227,209,236,257,264
07/1977,325,219,198,200,202,219,198,244,251,268
08/1977,312,194,186,187,171,195,218,200,229,268
09/1977,320,183,193,197,185,214,219,225,221,322
10/1977,310,192,189,185,186,215,220,216,226,341
11/1977,310,196,182,183,197,197,215,211,228,310
12/1977,293,204,206,192,210,192,206,223,236,296
01/1978,302,205,206,204,210,191,211,231,228,307
02/1978,220,138,147,134,141,145,146,156,174,238
03/1978,235,167,177,160,156,174,183,204,224,271
04/1978,273,221,184,185,199,189,195,215,250,312
05/1978,295,222,193,183,184,188,223,214,226,290
06/1978,303,237,193,194,206,216,223,210,213,269
07/1978,307,233,208,189,197,216,227,209,211,261
08/1978,317,201,184,193,215,202,196,199,200,236
09/1978,307,199,197,205,185,207,185,202,256,248
10/1978,306,195,208,194,199,209,208,222,228,252
11/1978,308,199,188,176,193,190,204,201,211,267
12/1978,311,213,203,190,191,195,208,222,214,239
01/1979,321,204,224,181,207,199,208,217,216,244
02/1979,234,153,142,141,137,138,195,166,156,182
03/1979,244,179,175,162,177,187,197,194,182,231
04/1979,269,218,188,185,198,214,208,213,204,258
05/1979,294,223,203,178,205,196,209,205,208,255
06/1979,321,229,204,184,202,214,221,200,206,238
07/1979,316,237,199,187,194,201,238,202,192,237
08/1979,316,219,178,183,183,171,211,200,188,209
09/1979,308,213,194,192,189,190,205,220,201,239
10/1979,302,213,193,187,189,190,202,234,209,249
11/1979,274,231,189,187,183,177,196,205,200,255
12/1979,280,230,203,197,189,176,191,220,223,252
01/1980,288,230,203,186,196,182,206,215,215,256
02/1980,224,157,141,142,148,134,152,156,155,187
03/1980,246,202,161,185,162,158,181,193,197,235
04/1980,282,227,186,183,191,182,179,207,211,254
05/1980,289,239,190,194,186,178,189,197,223,242
06/1980,321,238,191,194,189,196,186,216,203,233
07/1980,311,237,197,188,184,190,202,195,218,234
08/1980,251,244,195,177,175,182,164,200,213,240
09/1980,268,240,188,174,190,183,171,205,214,275
10/1980,272,229,196,190,179,177,195,192,236,269
11/1980,272,215,184,187,183,172,192,197,225,230
12/1980,275,233,192,177,191,185,187,204,225,230
01/1981,283,238,188,185,198,187,198,214,228,233
02/1981,212,182,133,147,131,146,132,135,153,190
03/1981,237,208,181,171,160,168,167,171,190,251
04/1981,261,236,189,180,180,191,177,187,212,269
05/1981,288,238,193,172,188,167,192,197,223,232
06/1981,295,243,198,185,178,179,198,219,216,229
07/1981,284,254,193,191,184,179,196,210,230,224
08/1981,265,222,205,172,194,178,180,181,216,236
09/1981,286,219,214,172,195,184,188,198,197,263
10/1981,274,235,208,190,189,200,180,194,198,257
11/1981,267,210,189,199,158,185,185,201,198,226
12/1981,266,242,203,199,187,185,194,194,226,219
01/1982,270,238,210,185,199,184,207,189,228,219
02/1982,188,190,141,149,123,149,137,146,159,169
03/1982,203,214,172,175,172,176,183,184,186,198
04/1982,233,239,209,196,175,207,185,196,204,220
05/1982,251,247,212,201,192,179,215,204,206,211
06/1982,259,247,250,214,182,184,210,215,212,215
07/1982,256,265,252,202,194,192,181,228,205,211
08/1982,229,268,241,176,192,185,177,185,220,234
09/1982,244,294,261,202,203,182,190,195,212,281
10/1982,249,294,258,207,210,197,177,205,208,286
11/1982,241,296,269,230,196,193,193,208,218,250
12/1982,288,339,292,246,230,219,191,221,241,275
01/1983,299,382,289,243,234,214,204,233,226,281
02/1983,228,275,254,206,171,212,149,158,163,236
03/1983,263,304,291,229,197,219,218,204,182,265
04/1983,291,357,358,272,236,244,269,213,235,291
05/1983,350,391,372,267,253,246,253,239,268,247
06/1983,357,433,390,282,264,266,277,248,262,247
07/1983,372,411,379,279,278,273,276,253,270,224
08/1983,373,421,340,260,249,259,210,214,229,238
09/1983,380,464,358,273,254,255,223,239,252,264
10/1983,369,468,374,253,277,231,254,237,256,271
11/1983,400,431,361,296,255,248,232,243,247,220
12/1983,438,478,382,294,282,258,263,246,285,220
01/1984,448,500,365,310,261,266,268,279,272,229
02/1984,362,392,316,229,203,216,223,183,191,219
03/1984,382,504,296,235,270,227,227,236,243,238
04/1984,456,526,351,274,311,243,272,267,272,262
05/1984,563,470,381,320,251,254,267,301,253,257
06/1984,599,463,417,319,266,290,281,312,261,244
07/1984,574,490,388,339,291,276,280,308,270,230
08/1984,624,468,330,299,256,269,254,249,256,257
09/1984,592,502,308,317,289,280,270,255,266,288
10/1984,586,528,310,315,295,267,281,249,281,276
11/1984,466,469,381,301,268,273,272,266,280,260
12/1984,470,507,406,283,265,265,254,283,298,276
01/1985,486,508,382,325,282,256,250,284,317,284
02/1985,396,403,321,217,229,196,209,194,245,230
03/1985,412,457,314,263,227,245,232,248,253,300
04/1985,462,530,343,308,232,276,268,293,284,322
05/1985,574,558,346,281,271,265,292,297,296,267
06/1985,593,550,360,325,305,279,283,328,293,226
07/1985,610,514,381,319,314,290,265,306,264,237
08/1985,533,479,408,312,267,241,249,254,254,269
09/1985,482,501,374,334,264,266,257,276,278,304
10/1985,480,487,411,325,271,240,262,272,295,300
11/1985,428,460,389,357,276,255,276,278,262,252
12/1985,469,439,441,346,285,258,262,306,248,261
01/1986,479,464,405,358,305,282,259,328,252,263
02/1986,360,375,332,275,241,234,200,206,221,231
03/1986,382,399,365,249,275,253,241,257,246,258
04/1986,390,486,422,274,286,282,265,266,270,301
05/1986,495,490,407,305,296,250,297,269,269,256
06/1986,510,512,417,339,266,291,269,311,295,242
07/1986,507,524,413,344,261,285,278,335,274,231
08/1986,478,535,406,300,264,276,267,241,250,251
09/1986,523,510,426,305,268,293,303,245,252,297
10/1986,510,517,477,306,281,282,298,267,257,305
11/1986,498,509,410,349,281,259,294,250,257,267
12/1986,493,534,444,325,288,267,272,288,287,276
01/1987,451,503,463,329,310,292,309,283,262,296
02/1987,331,427,385,236,220,201,200,242,245,260
03/1987,353,433,381,273,249,227,253,280,275,289
04/1987,403,484,454,343,292,247,290,300,282,342
05/1987,605,560,366,307,286,268,282,282,304,319
06/1987,640,570,371,360,305,258,267,316,302,290
07/1987,637,564,428,340,286,265,292,329,306,257
08/1987,566,544,410,345,271,267,262,263,297,318
09/1987,553,515,441,365,290,291,301,244,330,324
10/1987,592,532,451,352,297,301,280,304,337,316
11/1987,619,460,392,346,297,286,298,286,309,278
12/1987,644,479,429,321,333,282,309,337,320,289
01/1988,598,539,434,335,308,318,294,343,358,281
02/1988,444,430,400,230,199,234,228,226,281,290
03/1988,477,462,300,285,241,250,268,258,347,318
04/1988,508,527,384,290,308,301,288,328,330,405
05/1988,636,498,397,339,248,279,312,315,306,351
06/1988,657,472,414,317,275,305,310,335,318,327
07/1988,665,506,416,327,293,293,296,347,272,302
08/1988,668,458,395,286,244,260,234,327,260,308
09/1988,624,464,399,274,280,286,268,340,299,342
10/1988,633,468,404,300,279,290,296,317,300,362
11/1988,601,438,370,337,273,301,317,300,289,286
12/1988,577,523,393,352,276,307,285,332,298,282
