date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,167,175,185,178,191,203,187,197,189,284
08/1963,196,168,185,176,196,197,191,177,206,274
09/1963,194,179,193,193,187,203,173,174,194,275
10/1963,210,172,176,202,205,195,169,169,203,261
11/1963,204,192,186,178,203,188,195,178,187,251
12/1963,197,200,176,188,190,208,192,180,189,246
01/1964,192,189,203,200,195,209,188,186,176,220
02/1964,206,163,204,203,201,201,201,183,175,233
03/1964,200,175,188,212,200,207,193,180,180,238
04/1964,198,175,177,194,199,195,212,182,195,258
05/1964,199,179,174,194,198,222,188,188,201,244
06/1964,198,176,191,185,218,210,181,209,186,239
07/1964,197,195,196,172,200,218,179,199,204,236
08/1964,202,181,186,193,193,200,186,205,204,255
09/1964,210,184,181,194,183,209,187,211,198,260
10/1964,207,185,199,181,207,206,196,191,199,245
11/1964,210,197,194,183,211,222,204,179,198,225
12/1964,218,196,202,196,205,204,190,198,206,211
01/1965,214,193,240,214,187,206,196,184,188,203
02/1965,220,201,198,219,202,218,175,191,194,210
03/1965,221,192,214,205,211,208,188,183,192,216
04/1965,229,187,222,203,209,206,181,193,188,216
05/1965,242,212,199,216,203,213,187,186,176,203
06/1965,257,209,218,199,196,208,192,185,174,202
07/1965,239,216,200,201,185,233,184,193,184,207
08/1965,224,216,189,188,202,221,207,187,203,217
09/1965,213,205,192,194,206,222,202,194,212,222
10/1965,219,206,195,200,215,189,210,214,194,216
11/1965,241,203,207,197,217,205,195,186,190,214
12/1965,261,221,215,197,225,182,189,176,180,214
01/1966,282,222,236,213,203,189,179,169,160,191
02/1966,281,255,227,208,195,194,181,172,157,191
03/1966,280,270,222,219,193,197,180,164,154,189
04/1966,284,265,223,210,201,187,177,163,162,192
05/1966,309,256,235,216,188,180,165,165,160,184
06/1966,302,252,232,213,192,173,183,156,153,199
07/1966,296,256,218,202,203,172,177,176,161,198
08/1966,268,236,194,226,209,182,165,189,177,222
09/1966,249,244,205,202,197,204,185,173,179,233
10/1966,233,238,222,191,211,194,187,191,173,243
11/1966,224,241,217,197,208,182,198,196,183,246
12/1966,219,226,224,191,206,202,189,190,178,262
01/1967,249,196,244,209,213,192,180,186,187,228
02/1967,250,238,209,211,216,195,190,175,186,217
03/1967,272,249,216,220,198,181,191,176,179,206
04/1967,296,232,230,225,184,194,176,166,182,204
05/1967,326,224,228,227,184,178,178,174,167,201
06/1967,309,254,239,219,181,185,162,172,166,193
07/1967,344,247,230,213,181,178,165,166,153,201
08/1967,350,256,249,189,188,172,174,160,149,189
09/1967,343,283,235,199,188,170,170,157,151,178
10/1967,372,272,235,207,177,168,170,154,139,173
11/1967,390,267,233,210,185,166,155,152,139,175
12/1967,389,268,236,207,179,163,158,151,152,172
01/1968,381,270,253,193,187,158,151,151,151,175
02/1968,405,288,230,207,177,155,146,144,138,173
03/1968,430,274,226,215,169,164,137,132,149,170
04/1968,400,281,228,210,176,166,152,138,149,169
05/1968,361,272,235,220,178,170,162,152,155,168
06/1968,402,287,232,212,181,167,155,143,145,157
07/1968,420,285,240,206,175,161,149,144,140,154
08/1968,431,293,230,190,180,162,139,143,137,155
09/1968,409,309,226,181,190,177,146,136,145,152
10/1968,401,268,242,213,195,163,155,144,137,153
11/1968,359,320,248,207,178,164,161,146,140,150
12/1968,424,274,246,207,172,170,147,149,146,146
01/1969,442,303,202,203,173,170,143,150,142,150
02/1969,481,270,208,200,179,158,152,146,142,145
03/1969,475,270,229,194,182,152,150,141,140,156
04/1969,436,300,221,191,179,168,143,150,145,161
05/1969,409,281,244,201,190,171,160,139,149,165
06/1969,393,307,238,216,180,173,150,148,147,170
07/1969,392,282,254,209,195,166,165,158,143,168
08/1969,394,257,248,222,212,166,164,154,151,173
09/1969,361,257,252,233,203,181,172,157,163,178
10/1969,324,262,264,233,216,182,160,170,163,188
11/1969,345,271,273,222,196,188,172,153,162,197
12/1969,379,276,239,230,202,190,169,158,155,192
01/1970,384,288,263,222,190,182,168,151,155,188
02/1970,385,347,236,199,182,181,177,149,155,193
03/1970,371,302,264,208,179,187,182,159,160,200
04/1970,347,252,236,221,210,193,179,178,178,229
05/1970,332,265,210,232,226,199,177,193,171,230
06/1970,338,261,230,245,220,204,172,169,179,225
07/1970,317,269,247,259,183,201,199,168,175,225
08/1970,289,266,233,233,225,200,196,176,189,235
09/1970,274,241,244,215,211,202,210,191,203,259
10/1970,278,238,238,220,236,200,193,199,190,262
11/1970,296,237,241,224,238,200,188,196,195,250
12/1970,313,231,246,206,236,210,179,196,201,245
01/1971,295,220,234,223,240,219,190,194,206,247
02/1971,290,232,244,219,230,235,209,196,184,239
03/1971,315,263,237,249,218,229,186,186,180,219
04/1971,348,287,234,227,229,208,189,176,178,212
05/1971,349,282,251,229,214,212,182,183,176,205
06/1971,342,263,249,234,208,210,208,183,179,211
