date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,72,79,73,74,73,84,80,75,78,82
08/1963,72,68,76,77,80,82,77,74,81,84
09/1963,65,77,81,70,77,88,75,72,77,88
10/1963,74,76,76,75,82,77,74,77,74,84
11/1963,74,68,81,72,76,69,87,73,74,91
12/1963,71,67,78,73,74,81,86,68,79,86
01/1964,71,71,79,82,72,78,78,76,76,83
02/1964,78,71,85,78,73,76,76,70,75,86
03/1964,79,81,77,71,78,67,80,73,79,84
04/1964,78,77,75,70,77,71,78,80,84,82
05/1964,78,70,82,67,84,77,77,77,86,75
06/1964,80,72,74,77,73,76,77,79,86,78
07/1964,86,96,78,81,93,81,82,90,83,104
08/1964,93,81,79,78,90,87,89,93,88,97
09/1964,97,83,83,73,94,93,84,89,90,96
10/1964,88,83,87,76,93,88,81,91,93,100
11/1964,85,84,78,72,92,98,82,92,98,98
12/1964,85,85,76,79,92,92,83,96,94,98
01/1965,84,86,74,91,86,82,90,95,92,106
02/1965,86,80,80,84,83,98,89,92,93,104
03/1965,88,79,79,86,75,94,96,95,91,106
04/1965,87,77,81,81,87,93,88,96,93,107
05/1965,90,73,87,79,83,81,99,93,88,117
06/1965,79,86,71,84,83,88,94,83,103,113
07/1965,85,86,81,96,89,92,95,96,107,139
08/1965,91,86,91,90,88,89,91,87,114,141
09/1965,85,97,78,81,95,102,85,102,107,136
10/1965,97,79,89,88,86,88,110,93,108,131
11/1965,89,93,86,90,98,102,96,92,104,122
12/1965,96,83,90,94,103,81,108,89,104,120
01/1966,96,86,86,97,100,93,96,103,97,122
02/1966,90,84,90,96,95,101,91,107,111,124
03/1966,85,85,84,103,92,109,97,102,102,130
04/1966,84,88,82,96,95,101,104,98,104,134
05/1966,83,82,91,95,86,109,96,98,106,135
06/1966,87,83,83,92,92,93,113,87,112,135
07/1966,105,89,93,90,103,104,104,113,110,151
08/1966,112,89,97,85,97,107,110,95,123,136
09/1966,120,100,91,89,104,93,94,108,114,136
10/1966,112,107,99,95,96,101,95,106,108,127
11/1966,113,106,109,93,86,97,97,108,107,128
12/1966,128,103,104,102,103,100,91,104,100,108
01/1967,122,113,100,106,104,101,99,102,105,108
02/1967,128,113,103,91,98,123,98,91,105,120
03/1967,117,104,102,90,113,92,104,114,118,118
04/1967,113,93,99,98,96,91,116,111,123,135
05/1967,104,97,106,92,111,87,113,117,114,137
06/1967,94,90,107,86,106,108,109,124,114,145
07/1967,118,97,113,108,129,124,139,140,124,197
08/1967,108,101,103,117,118,130,137,136,133,203
09/1967,114,102,98,118,127,133,120,143,158,188
10/1967,115,104,108,115,131,143,129,137,133,186
11/1967,121,95,100,114,119,134,131,131,153,197
12/1967,112,103,103,115,109,136,124,146,141,213
01/1968,119,99,111,117,107,145,136,127,142,204
02/1968,122,108,100,104,122,133,144,132,141,194
03/1968,119,104,104,104,112,134,134,124,153,208
04/1968,123,109,104,122,114,113,140,132,152,198
05/1968,135,120,117,112,110,142,124,116,154,186
06/1968,134,107,116,119,121,125,124,139,146,186
07/1968,139,128,125,120,137,137,146,131,168,177
08/1968,169,134,126,125,127,137,136,135,153,165
09/1968,182,142,132,131,134,124,120,136,146,160
10/1968,164,132,125,116,132,141,137,142,149,168
11/1968,146,128,142,122,124,138,140,140,160,167
