date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,69,81,73,73,74,73,79,74,80,96
08/1963,69,81,73,73,74,73,79,74,80,97
09/1963,69,81,73,73,74,73,79,74,80,97
10/1963,69,81,73,73,74,73,79,74,80,97
11/1963,69,81,72,73,74,73,79,74,79,97
12/1963,69,81,73,73,74,73,79,73,80,96
01/1964,69,81,72,72,74,73,79,74,80,97
02/1964,69,81,73,73,74,73,79,74,80,96
03/1964,69,81,73,73,74,72,79,74,80,96
04/1964,69,81,73,73,74,73,79,74,80,96
05/1964,69,81,73,73,74,73,79,74,80,97
06/1964,69,81,73,73,74,73,79,74,80,97
07/1964,77,88,89,73,94,80,98,77,103,135
08/1964,77,87,89,73,94,80,98,77,104,136
09/1964,77,88,89,73,94,80,98,77,104,136
10/1964,77,87,89,73,94,80,98,77,104,136
11/1964,77,88,89,73,94,80,98,77,104,136
12/1964,77,88,89,73,94,80,98,77,104,136
01/1965,77,88,89,73,94,80,98,77,104,136
02/1965,77,88,89,73,94,80,98,77,104,136
03/1965,77,88,89,73,93,80,98,77,104,136
04/1965,77,88,89,73,94,80,98,77,104,136
05/1965,77,88,89,73,94,80,98,77,104,136
06/1965,77,88,89,73,94,80,98,76,104,136
07/1965,90,86,103,87,88,88,95,110,96,166
08/1965,90,86,103,87,88,88,95,110,96,166
09/1965,90,86,103,87,88,88,95,110,96,166
10/1965,90,86,103,87,88,88,95,110,95,166
11/1965,90,86,103,87,88,88,95,110,95,166
12/1965,90,86,103,87,88,87,95,110,95,165
01/1966,89,86,103,86,88,87,94,110,93,165
02/1966,90,86,103,87,88,88,95,110,95,166
03/1966,90,86,103,87,88,88,95,110,95,166
04/1966,90,86,103,87,88,88,95,110,96,165
05/1966,90,86,103,87,88,88,95,109,95,164
06/1966,90,86,103,87,88,88,95,110,95,165
07/1966,101,95,113,105,89,106,103,120,115,159
08/1966,101,95,113,105,89,106,103,120,116,159
09/1966,101,95,113,105,89,106,103,120,116,159
10/1966,101,95,113,105,89,105,103,120,116,159
11/1966,101,95,113,105,89,105,103,120,116,159
12/1966,101,95,113,105,89,105,103,120,116,159
01/1967,101,95,113,105,89,105,103,120,116,159
02/1967,100,95,113,105,89,105,103,120,116,159
03/1967,101,95,113,105,89,105,103,120,116,159
