date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,84,75,77,76,75,78,81,76,80,91
08/1963,84,78,74,77,76,79,81,76,84,86
09/1963,84,76,75,78,75,76,84,74,81,91
10/1963,85,75,78,77,76,71,82,81,79,90
11/1963,82,77,78,78,74,76,75,81,83,90
12/1963,83,79,75,78,75,75,75,84,78,91
01/1964,83,76,75,76,74,76,78,83,80,92
02/1964,82,78,73,79,76,75,78,83,80,91
03/1964,82,77,73,79,76,79,77,79,83,88
04/1964,81,78,72,78,77,76,78,84,79,93
05/1964,81,76,72,78,79,72,84,80,76,95
06/1964,82,76,74,75,78,79,80,80,81,95
07/1964,92,88,79,83,93,86,91,96,98,124
08/1964,91,83,86,80,89,93,91,94,101,123
09/1964,92,84,85,85,88,86,92,94,103,122
10/1964,94,83,84,84,87,85,98,87,101,125
11/1964,95,81,89,83,84,86,92,94,104,122
12/1964,97,78,84,88,86,88,93,89,98,127
01/1965,98,78,84,83,87,84,99,90,100,129
02/1965,95,81,88,83,84,87,98,86,100,128
03/1965,93,83,85,81,88,90,89,98,96,128
04/1965,93,85,83,83,87,90,92,97,93,127
05/1965,95,83,81,89,83,90,91,100,97,119
06/1965,92,83,85,85,88,85,97,95,103,118
07/1965,103,87,91,95,97,100,102,108,109,122
08/1965,102,88,95,94,94,94,105,108,111,123
09/1965,100,93,97,93,90,98,105,109,109,123
10/1965,100,91,100,88,91,100,103,112,106,123
11/1965,100,92,93,92,98,102,97,108,100,132
12/1965,98,96,91,100,95,99,105,98,111,120
01/1966,101,98,93,96,94,99,96,101,107,121
02/1966,106,97,98,94,100,97,89,104,108,121
03/1966,106,100,100,104,94,93,94,94,110,120
04/1966,100,108,102,100,93,96,91,101,103,121
05/1966,104,111,95,101,93,92,99,100,100,116
06/1966,105,104,90,108,93,90,98,104,104,115
07/1966,116,117,108,111,109,105,103,114,108,131
08/1966,122,113,108,107,103,110,104,110,105,139
09/1966,122,118,101,108,99,102,108,110,112,142
10/1966,119,118,103,107,100,104,108,114,109,139
11/1966,119,103,109,100,99,105,113,113,125,139
12/1966,115,107,110,102,101,106,109,113,121,137
01/1967,115,112,110,97,98,104,104,129,108,144
02/1967,115,119,107,96,109,101,110,111,120,131
03/1967,117,122,106,99,109,108,108,110,113,128
04/1967,119,124,110,97,110,107,99,116,108,132
05/1967,124,118,107,102,110,101,104,114,107,132
06/1967,123,123,110,103,110,97,103,111,112,131
07/1967,185,148,136,112,131,114,113,126,124,148
08/1967,189,156,129,115,128,115,119,119,118,146
09/1967,189,152,131,121,127,115,115,114,120,149
10/1967,195,153,129,131,113,117,123,109,121,143
11/1967,194,154,143,129,110,120,108,116,123,134
12/1967,197,157,126,127,110,130,109,123,113,139
01/1968,201,147,136,133,112,122,113,113,117,138
02/1968,203,167,129,124,123,119,109,104,118,134
03/1968,202,155,141,115,124,123,107,108,120,132
04/1968,193,144,150,127,118,123,109,113,117,136
05/1968,193,160,138,137,113,122,105,114,116,129
06/1968,205,156,145,133,122,116,108,106,107,131
07/1968,222,187,145,150,127,117,116,114,115,125
08/1968,219,191,143,143,125,119,119,118,109,129
09/1968,228,182,152,135,126,124,111,111,117,127
10/1968,230,172,166,131,135,111,118,110,113,125
11/1968,223,181,151,135,138,114,124,102,116,128
12/1968,227,173,153,132,137,122,116,111,117,131
01/1969,220,173,147,141,134,119,117,114,115,134
02/1969,217,173,152,142,131,115,130,107,114,132
03/1969,205,185,148,137,136,120,114,117,124,129
04/1969,198,186,142,139,140,121,116,116,118,135
05/1969,203,171,143,127,152,121,120,111,124,136
06/1969,208,164,151,139,133,129,119,114,129,127
07/1969,214,199,159,147,148,140,129,136,136,145
08/1969,211,193,157,141,156,136,141,130,149,141
09/1969,200,204,154,141,146,153,132,135,148,141
10/1969,199,189,163,142,144,145,133,145,146,145
11/1969,208,190,160,151,138,149,134,135,139,145
12/1969,194,190,163,150,136,148,147,134,141,146
01/1970,188,166,173,134,142,147,144,151,145,160
02/1970,192,167,174,142,142,156,141,136,146,155
03/1970,191,170,181,133,134,152,139,152,137,162
04/1970,189,165,173,137,135,149,142,158,146,158
05/1970,171,156,169,141,142,130,148,155,166,173
06/1970,166,159,170,142,141,144,136,154,165,171
07/1970,167,185,173,171,154,153,155,188,183,178
08/1970,164,173,168,162,162,145,173,186,173,196
09/1970,163,173,170,162,157,151,157,185,171,209
10/1970,173,187,170,173,151,157,151,153,203,177
11/1970,166,177,163,172,160,153,159,174,190,183
12/1970,164,164,153,156,167,155,169,166,197,204
01/1971,160,159,158,151,159,162,170,173,189,213
02/1971,159,177,157,168,165,158,175,154,186,192
03/1971,161,175,169,173,165,170,155,156,182,183
04/1971,163,172,180,163,170,166,154,162,174,186
05/1971,161,156,183,171,157,173,160,162,168,192
06/1971,164,156,175,161,163,167,150,167,178,196
07/1971,182,178,186,172,189,168,163,169,192,215
08/1971,173,166,191,162,196,170,165,171,199,214
09/1971,169,179,173,172,186,173,159,180,194,225
10/1971,169,173,186,167,179,172,155,182,203,221
11/1971,167,170,184,167,171,172,167,174,214,219
12/1971,157,167,180,173,176,158,179,174,216,225
01/1972,165,153,184,175,181,156,166,183,214,224
02/1972,169,172,174,190,171,175,172,176,194,203
03/1972,169,175,179,194,173,175,164,182,183,198
04/1972,167,171,181,191,186,174,166,178,174,206
05/1972,164,175,196,175,199,162,161,182,172,210
06/1972,166,186,176,189,195,163,176,170,176,201
07/1972,185,194,198,200,202,181,176,194,187,202
08/1972,178,193,206,196,188,196,163,190,197,209
09/1972,169,186,211,195,178,188,170,189,202,220
10/1972,167,187,205,186,180,183,175,195,208,216
11/1972,165,188,197,179,175,187,179,193,204,235
12/1972,164,180,197,180,180,167,178,197,218,239
01/1973,159,184,191,182,173,170,186,192,223,247
02/1973,198,219,214,202,186,177,196,207,246,1020
03/1973,152,191,198,188,164,170,196,182,214,260
04/1973,154,187,192,192,175,173,183,188,212,263
05/1973,151,192,188,190,180,166,186,205,226,249
06/1973,157,192,174,177,189,165,211,215,222,245
07/1973,230,273,222,236,226,233,251,273,268,280
08/1973,245,259,233,256,225,229,232,258,270,288
09/1973,237,249,232,241,234,219,237,258,269,318
10/1973,228,261,208,255,223,206,227,241,315,330
11/1973,244,255,203,253,223,212,241,245,306,311
12/1973,227,265,219,237,197,231,229,274,288,322
01/1974,227,258,217,214,187,228,240,262,316,336
02/1974,229,264,222,215,221,214,221,262,294,329
03/1974,230,243,241,214,206,226,220,260,284,337
04/1974,235,257,233,217,218,215,251,239,270,329
05/1974,232,250,260,233,207,221,222,238,275,311
06/1974,243,262,240,237,220,222,222,247,272,284
07/1974,329,378,294,305,276,274,272,281,329,362
08/1974,323,382,288,276,281,265,304,278,336,360
09/1974,338,358,286,283,259,275,272,317,310,374
10/1974,320,362,299,286,234,268,289,300,326,370
11/1974,315,315,302,294,256,254,291,283,358,370
12/1974,289,310,311,268,260,263,322,305,325,378
01/1975,286,300,299,266,239,285,298,324,313,415
02/1975,296,321,294,264,255,255,302,297,310,426
03/1975,281,330,292,268,267,247,305,293,325,415
04/1975,299,310,307,271,258,264,297,292,311,416
05/1975,310,320,277,289,283,242,297,302,301,401
06/1975,339,313,293,258,261,268,285,301,313,384
07/1975,341,350,310,337,269,234,320,353,359,464
08/1975,360,354,327,327,284,268,307,334,369,413
09/1975,357,340,309,330,268,255,353,331,377,426
10/1975,343,344,309,318,292,266,310,344,371,438
11/1975,345,326,302,294,266,287,342,351,392,436
12/1975,346,316,283,306,270,292,319,371,393,439
01/1976,346,321,282,277,265,301,322,364,401,455
02/1976,369,322,289,301,265,250,316,316,392,448
03/1976,392,307,327,308,309,251,305,326,350,462
04/1976,385,323,325,284,294,265,288,334,346,441
05/1976,377,338,305,294,274,274,301,324,388,431
06/1976,402,342,290,303,275,262,289,321,396,436
07/1976,352,350,309,284,299,283,287,322,398,472
08/1976,368,326,301,307,284,268,297,328,394,488
09/1976,361,301,315,264,256,273,244,310,380,441
10/1976,351,318,322,275,264,271,296,324,437,500
11/1976,347,330,302,269,270,258,307,312,441,495
12/1976,360,342,296,240,246,296,290,324,427,525
01/1977,374,331,294,228,262,283,297,332,409,522
02/1977,421,320,271,258,253,283,272,319,408,477
03/1977,435,309,291,252,260,280,282,316,425,461
04/1977,439,323,255,264,267,284,262,322,395,493
05/1977,436,315,261,265,250,281,279,314,415,479
06/1977,479,305,246,276,232,276,289,309,387,490
07/1977,453,317,287,239,257,253,294,315,385,541
08/1977,457,337,292,252,240,246,296,332,365,519
09/1977,457,344,289,248,260,249,267,331,376,504
10/1977,447,328,292,279,243,247,282,323,398,470
11/1977,476,306,280,283,237,254,276,349,392,448
12/1977,478,313,278,279,240,251,265,335,374,482
01/1978,490,304,320,228,246,250,269,325,384,470
02/1978,504,332,292,260,252,236,236,330,376,437
03/1978,516,338,291,264,266,229,257,309,358,426
04/1978,535,329,280,274,254,237,259,296,334,438
05/1978,495,320,290,283,276,254,260,284,322,440
06/1978,540,321,284,300,244,254,280,274,309,398
07/1978,513,335,317,287,276,279,241,286,343,380
08/1978,511,335,295,312,281,259,247,255,345,410
09/1978,540,309,333,301,266,259,250,244,336,390
10/1978,539,333,306,291,282,256,246,267,322,381
11/1978,491,312,352,287,246,251,282,274,328,393
12/1978,502,330,324,259,268,260,274,239,341,401
01/1979,515,334,283,276,271,258,247,269,317,417
02/1979,526,334,303,273,253,270,229,242,305,433
03/1979,534,349,285,280,244,264,230,249,302,412
04/1979,557,322,263,293,243,242,270,246,294,413
05/1979,537,319,277,283,253,234,293,244,275,420
06/1979,566,299,293,262,258,246,260,259,280,386
07/1979,555,316,283,292,271,255,284,273,277,436
08/1979,564,294,294,252,290,262,278,261,267,458
09/1979,557,299,296,251,281,270,273,261,257,457
10/1979,558,271,296,265,255,303,270,269,263,437
11/1979,541,299,284,249,299,264,291,267,287,405
12/1979,536,278,290,264,269,270,305,257,269,440
01/1980,548,276,298,265,255,257,315,239,269,436
02/1980,580,274,297,271,261,283,241,281,257,385
03/1980,569,284,304,259,264,283,270,263,261,361
04/1980,536,280,297,282,248,267,291,252,265,382
05/1980,524,283,296,274,258,246,260,253,295,404
06/1980,559,272,286,279,240,266,239,263,284,388
07/1980,643,318,319,270,252,272,265,263,322,402
08/1980,637,320,318,267,257,259,286,270,286,418
09/1980,665,316,301,271,263,268,277,273,281,397
10/1980,645,330,287,300,250,259,290,267,274,380
11/1980,681,315,280,296,262,256,275,298,251,374
12/1980,678,297,265,281,299,245,289,242,297,372
01/1981,662,311,269,263,293,244,285,248,279,403
02/1981,669,321,271,285,247,273,253,262,267,397
03/1981,658,304,288,275,259,246,266,287,265,385
04/1981,655,300,294,259,264,246,256,286,270,376
05/1981,669,293,275,277,260,256,250,277,285,362
06/1981,709,288,284,283,240,267,216,275,274,358
07/1981,841,308,288,298,248,232,248,283,269,398
08/1981,855,279,291,313,246,228,258,271,282,383
09/1981,832,281,291,303,267,237,253,251,284,382
10/1981,775,299,295,295,286,228,231,280,260,399
11/1981,772,327,267,297,282,249,260,240,263,394
12/1981,772,299,283,289,267,236,259,252,259,427
01/1982,751,302,286,284,247,258,265,234,282,405
02/1982,754,305,317,265,222,261,269,247,268,397
03/1982,739,310,319,276,209,295,244,246,268,391
04/1982,726,305,321,265,234,259,267,234,278,379
05/1982,677,313,332,286,229,276,251,223,293,371
