date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.012825691,-0.035516117,-0.001748713,-0.002738954,0.0123697286,0.0041105724,0.0033457889,-0.005243663,-0.005872806,0.0079655331
08/1963,0.0671884838,0.0751049999,0.0658327714,0.0594404861,0.0502194491,0.0438074554,0.0520634776,0.097552693,0.0462652515,0.0692051547
09/1963,0.0272541733,-0.036060547,-0.025226688,-0.021122024,-0.031046987,-0.020265815,0.0067035342,-0.001180204,0.0008097212,-0.001218134
10/1963,0.0008349528,0.0186037965,0.0519908413,0.0287290113,0.0228728774,-0.002549711,0.0337855826,0.0209201791,0.0688801131,0.1389223984
11/1963,-0.007417414,0.0067917801,-0.00604624,-0.013141109,0.0005646679,-0.012780168,0.0200394726,-0.004044847,-0.008319211,-0.065160148
12/1963,0.0073150442,-0.008877448,-0.003314214,0.0405619376,0.0568545181,0.0342265163,0.0132322178,0.012254597,0.0319227831,-0.002145961
01/1964,0.0478996381,-0.01652679,0.0320073993,0.0191126711,0.0412709936,0.0311318877,0.0358244406,0.0245263249,0.0483509781,0.0153925479
02/1964,0.020824887,0.0419824279,0.0198355953,0.0038523215,0.0179504166,0.0140463109,0.0035577738,0.0432760404,0.0368745253,0.0126177303
03/1964,0.012370827,0.0339997172,0.0078519395,0.0274810086,0.0127626601,0.0153757408,0.0120331296,0.0352211217,0.0473162814,0.0106887453
04/1964,0.0140555463,-0.022595773,-0.027647616,-0.010565447,0.0241771947,0.025427635,0.0167429535,-0.012142364,-0.028807186,0.0389537617
05/1964,0.04974527,-0.012514259,-0.015518925,0.0075060981,0.0207095211,-0.002878289,0.0074146533,0.0155654746,0.0371999593,0.0313839344
06/1964,0.0337094762,0.0238946876,0.0244961475,0.0074897614,0.001607111,0.029501359,0.0360267217,0.0113798276,0.0024438508,0.0153730741
07/1964,0.0242161831,0.0065997632,0.0228133168,0.0273309959,0.0147584426,0.0287466201,0.0229890409,-0.011359614,0.0203371484,0.0334809083
08/1964,-0.004346316,-0.018764051,-0.028126325,-0.006469353,-0.016471197,-0.019210181,-0.008372198,-0.015720228,-0.012453547,0.0192747071
09/1964,0.0402409721,0.0446557652,0.0332865061,0.0273371431,0.0348786039,0.0312174246,0.0317209627,0.0096501578,0.0388132352,0.0493864946
10/1964,0.0150426252,0.0080939068,0.0192879292,-0.00546104,0.0317494017,0.0141088181,0.0027462911,0.0028067593,0.0100604683,-0.002693121
