date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.006106749,0.0028012844,-0.002008267,0.007340247,0.0142725087,0.0061447481,0.0073166814,-0.014985798,-0.020268755,0.0116771631
08/1963,0.0586076362,0.0521880387,0.0510624281,0.0385925856,0.032951957,0.0618482244,0.0514797719,0.0640523627,0.098205804,0.0574506552
09/1963,-0.007483181,-0.016951595,0.0055807317,-0.030968926,-0.024142839,-0.004004841,-0.027006143,-0.023912245,0.0146255257,-0.028796514
10/1963,0.0385606572,0.0226124844,0.0396685855,-0.005155232,0.02320644,0.0817600661,0.0042245233,-0.001497958,0.0243814625,0.0274578991
11/1963,0.0030981602,-0.014857351,0.0227792176,-0.005103661,-0.002605697,-0.045836378,-0.01434491,-0.012800679,-0.014021892,-0.0022349
12/1963,0.0266854007,0.0248684192,0.0110644305,0.0306717641,0.0368435793,0.0108769081,0.0159162926,0.0511182449,0.0048601957,0.0122205122
01/1964,0.032494948,0.0141346363,0.0292188702,0.0166208896,0.0423876333,0.0203638463,0.0254793949,0.0149711852,0.028238719,0.0283774152
02/1964,0.0214518527,0.0243672207,-0.00344552,0.0196990514,0.0127044122,0.0152505771,0.0355757429,0.0175040949,0.028683585,0.0530590323
03/1964,0.0130635957,0.0027964676,0.0033148898,0.0140227117,0.0167651893,0.0239257757,0.0426615617,0.0306069573,0.0621988513,0.0235832466
04/1964,-0.015779068,-0.00657262,0.0072876041,0.0171209237,0.020962471,0.0305150173,0.0105860694,0.0036703097,-0.02806137,0.0234276331
05/1964,0.022584183,0.0111615761,-0.003395775,0.0127323263,0.0097104698,0.021921946,0.016465082,0.0200006576,0.0359046087,0.0271707237
06/1964,0.0057954476,0.0248352805,0.0433162887,0.0171517174,0.0090290931,0.0139287391,0.0186419438,0.0283774775,0.0093717822,0.0052035798
07/1964,0.0038633568,0.0344864543,0.0017294714,0.0382146645,0.0221059786,0.0266111013,0.0260738438,0.027052809,0.0216300139,0.02009648
08/1964,-0.021412961,-0.011967741,-0.014259912,-0.005261846,0.0066064345,-0.01880622,-0.021612649,0.0048905463,0.0019112699,-0.020307694
09/1964,0.0296877106,0.032402655,0.0066030613,0.0311366366,0.0342277186,0.0327415461,0.0286144175,0.0458904939,0.0552167621,0.0561458086
10/1964,-0.008138068,0.0046519259,0.0017500324,0.027156543,0.014003682,-0.004242489,0.0127270884,0.0128188721,0.0013366014,0.0278481571
11/1964,0.00827503,0.018688966,-0.012601782,0.0058913036,0.0015876203,0.0133389401,0.0239004448,0.0154524755,-0.028194194,-0.004507968
12/1964,0.0099399445,0.0102633254,0.0196279867,0.0036887994,0.0006629477,-0.000760244,-0.007068064,0.0066033171,-0.018365867,-0.01443634
01/1965,0.0695474765,0.0540281793,0.0164478543,0.0135932184,0.0459119772,0.0323807762,0.0288510643,0.0291331855,0.0475147564,0.0496425946
02/1965,0.0150622455,-0.000312831,0.0131646715,-0.01133017,0.0184529853,0.0142896062,0.0005012392,-0.005252765,0.020997342,0.0173305389
03/1965,-0.012019443,-0.013001752,-0.016138198,-0.014261853,-0.003537125,0.0033805486,-0.027164157,-0.013339743,-0.004068637,0.0029326874
04/1965,0.0562304142,0.0174912952,0.0274101439,0.0401995746,0.0215718579,0.0298777338,0.0299712764,0.0180616993,0.0453442454,0.0407226193
05/1965,-0.004843159,0.0088915636,0.0142773988,-0.013558382,-0.017512153,-0.008143054,0.0107231461,0.0044876956,-0.006484709,0.0013457919
06/1965,-0.047347091,-0.050250058,-0.046150448,-0.040421621,-0.048560043,-0.06575306,-0.046689203,-0.051939979,-0.059286016,-0.059367709
07/1965,0.0228699292,0.0196731759,0.0063497213,-0.002177081,0.0113447664,0.0221159597,0.0477873151,0.0303270329,0.0429044258,0.0346736366
08/1965,0.04406309,0.0298111632,0.0142370452,0.0254149529,0.0295685592,0.0391915855,0.0403969221,0.0300336489,0.0181475432,0.0298335131
09/1965,0.0301668146,0.0362363363,0.0509950422,0.0200650484,0.0122052104,0.0208461481,0.0368783651,0.0476055236,0.048521368,0.0447919831
10/1965,0.0260126193,0.0254991902,0.0335133715,0.0078159366,0.021642353,0.019598906,0.0487663618,0.0514957741,0.0514357863,0.0694811522
11/1965,0.0254235584,0.0011932944,-0.020855557,-0.027808775,-0.001087018,0.0212149804,0.014741513,0.0304462393,0.0435776749,0.005926174
12/1965,0.0275308599,-0.005942887,0.004810394,-0.002781821,0.0152509939,0.0202392932,0.0189225505,0.0220998265,0.0150439582,0.0381971306
