date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.018132361,0.0124311061,-0.007450208,-0.008026753,0.0068774747,0.0072439982,-0.001812713,-0.000907995,0.0041492042,0.0023923024
08/1963,0.1133385908,0.0233195029,0.0600216667,0.0764020338,0.0469099266,0.0757651162,0.0517874703,0.0479593031,0.0458093305,0.0641872076
09/1963,0.016326662,-0.031165858,-0.011159328,0.0021514507,-0.027578404,-0.027129047,0.0084821185,-0.015259098,-0.005654358,-0.007152983
10/1963,0.0520568355,0.0003219934,0.0135470948,0.0204880891,0.0285248041,0.0151289863,0.0175658188,0.0152526392,0.0323921766,0.1186080104
11/1963,-0.025229506,-0.030666249,-0.011505907,-0.008956904,-0.005086709,-0.002346885,-0.005410224,-0.005863874,0.0118373168,-0.061533234
12/1963,0.0056449216,0.0026601013,0.0256931438,0.0145223591,0.0438424867,0.0302570818,0.0371640827,0.0208120115,0.0234088877,-0.003328358
01/1964,0.0053119215,0.0415056331,0.0196823575,0.0421014969,0.0353065262,0.0175025217,0.0183857838,0.0234169476,0.0387454056,0.0141721642
02/1964,0.0558263826,-0.004967519,0.0268938065,0.0257990766,0.0103567579,0.0153478811,0.0281888767,0.0045350016,0.0153850641,0.0142566764
03/1964,0.0215959078,0.0148196232,0.0292643229,0.0246435855,0.0301162662,0.022019587,0.0240695602,0.0111321391,0.0076919516,0.0046364416
04/1964,-0.026085717,0.0502210063,0.008351459,0.0003943229,0.0039982132,-0.007830749,0.0079174307,-0.004562401,0.0059938688,0.0404650002
05/1964,0.0317939258,-0.013142945,0.0028306086,0.0225709842,0.0156589673,0.0127744846,0.0213447454,-0.003380476,0.0108194133,0.0343547656
06/1964,0.0081454391,0.034929515,0.0313770727,0.0255672357,-0.000048563,0.0247336579,0.0168059221,0.0205637295,0.0246023419,0.0159727858
07/1964,0.0168157972,0.0423501218,0.0180041133,0.0371897659,0.0113753248,-0.009331273,0.0286034019,0.0174010133,0.0549952842,0.0126496235
08/1964,-0.009732545,-0.03493433,-0.013832071,0.0122743932,-0.01415274,-0.016718025,-0.001980843,-0.02214242,0.0124586078,-0.028481983
09/1964,0.0729990826,0.0479981178,0.0417840257,0.0530675791,0.0329891767,0.0018091213,0.0296045556,0.0202582492,0.0360983639,0.0175037626
10/1964,-0.022774166,0.0405008013,0.0148319485,-0.001840312,0.0120114023,0.0023658433,0.0071993702,0.0206919994,-0.000671797,0.0140709583
11/1964,-0.05653569,0.0073545229,0.0264193976,0.025595442,0.0122304103,-0.01020031,0.0154374613,0.008383763,-0.011543159,0.0100667717
12/1964,-0.008695787,0.0206055315,-0.018170828,0.0041272997,0.0147911593,0.0296777935,-0.001568311,0.0022288314,0.0127077819,-0.017090148
01/1965,0.0595314206,0.0615316648,0.0467508645,0.047520658,0.0256240867,0.0118310277,0.0417497565,0.0154775574,0.0392888071,0.0411504517
