date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.00021642,-0.013125053,0.0019123862,-0.004715472,0.0124400863,-0.005132987,-0.007398202,0.0165539841,0.0077759436,-0.003854403
08/1963,0.0603287016,0.0504810673,0.0528200828,0.0517100326,0.0395194402,0.0513228768,0.0618841044,0.0477406339,0.0695292105,0.0609101803
09/1963,0.0014537635,-0.017864764,0.0010922282,-0.010990989,-0.029492889,-0.014025264,-0.014469479,-0.031726296,-0.004087974,-0.021486119
10/1963,0.0474127205,0.032028018,0.0381754195,-0.005011346,0.002228657,0.0066438156,0.0184308339,0.0062878762,0.1184483036,0.0140956311
11/1963,-0.003127171,0.0060881746,0.0240693436,-0.011510201,-0.000778523,-0.022224217,-0.007686504,-0.023000346,-0.059228489,0.0034615047
12/1963,0.0271068853,0.0366052834,0.0090222474,0.0357169019,0.0367916033,0.011143213,0.009508555,0.038718278,0.0036347977,0.000821379
01/1964,0.036679734,0.0215100078,0.0316426293,0.0025992358,0.0401063929,0.0297317985,0.0039981793,0.0276243299,0.0180451906,0.020123546
02/1964,0.024458283,0.0102711195,0.0054215987,0.0191719138,0.0213253921,0.0067928536,0.0241640998,0.0304199809,0.0206620415,0.0577838101
03/1964,0.0172626495,0.009978671,0.0024680142,0.0125022684,0.0189736937,0.0349596163,0.0565629673,0.0475240445,0.0093611961,0.0229977364
04/1964,-0.015565425,-0.016894906,0.000857187,0.0138897359,0.0169769033,0.0002102184,0.008272146,0.0334717302,0.04711036,-0.016530907
05/1964,0.0338751181,0.0069916925,-0.000197344,0.0135947017,0.0121722876,0.0060212576,0.0101994585,0.028847798,0.0388577217,-0.002501357
06/1964,0.0102451547,0.0060036842,0.0429076854,0.0084786187,0.0131257805,0.0338515985,0.0113345187,-0.000689273,0.0119648628,0.012411427
07/1964,-0.000247192,0.0107739278,0.020840635,0.0231656166,0.0228938021,0.0241877891,0.052375104,0.0305087493,0.0209914616,0.0251995902
08/1964,-0.020519611,-0.01517127,-0.02413449,-0.004438693,-0.01580034,-0.011643074,0.005936932,-0.007162343,0.0037791233,0.0178842651
09/1964,0.0295548211,0.0172761992,0.0379721404,0.0334212114,0.0232166251,0.0382594968,0.0397669458,0.0307346232,0.0380957708,0.0666969474
