date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.023777219,-0.022291692,-0.019049385,-0.016802955,0.0083283617,0.0019543253,0.0041703297,0.0083231572,0.0007680347,0.0009229538
08/1963,0.0544139288,0.072139569,0.077657441,0.0669767746,0.0553181066,0.0375165821,0.0600705063,0.0525628231,0.0422731845,0.0522380506
09/1963,-0.035413164,0.007813006,-0.002962731,-0.024085529,-0.018384571,-0.017358008,-0.003607351,-0.024671003,-0.014949362,-0.001008213
10/1963,0.0285883953,0.0205503772,0.0026308964,0.0601280333,0.0758663663,-0.002292347,0.0200254492,0.0116201528,0.0188776733,0.0339453888
11/1963,0.0258298352,-0.017006418,-0.000092779,-0.006972926,-0.028245794,-0.015325567,-0.010991523,-0.017784481,0.015110962,0.0133374825
12/1963,-0.017903903,-0.006409013,-0.002343137,0.0049102857,0.0334873375,0.0351806022,0.034490431,0.0269571743,0.0178993909,0.0184592138
01/1964,0.020416208,-0.010236676,0.0282222443,0.0210283447,0.0284842526,0.0306083273,0.0175970539,0.0287073445,0.0247726182,0.0388605511
02/1964,0.0357855711,0.0402580209,0.0444805812,0.0124306426,0.0117668571,0.0091119362,0.0162239002,0.0159583266,0.0249127816,0.0135174985
03/1964,0.0397399615,0.047425303,0.0361387353,0.0449134399,0.0227043682,0.0206965354,0.0185968018,0.0324718525,-0.001496614,0.0011526888
04/1964,-0.019362605,-0.015011959,-0.006852678,-0.030897186,0.0179148787,0.0181626198,0.0237604754,0.0096482788,-0.006346498,-0.001786415
05/1964,0.0110644639,0.0398401725,0.0309802119,-0.007824825,0.018963255,-0.000662735,0.025579731,0.0108840735,0.014975889,0.0102335843
06/1964,0.0267812972,0.0086381964,0.0171213027,0.0250872913,0.0131074535,0.0210842554,0.0176127749,-0.002638187,0.0025354511,0.0335441608
07/1964,0.0249230732,0.0239291788,0.0137592009,0.0072455784,0.0505113864,0.0175387215,0.0148987176,0.03309955,0.027979951,0.0048233185
08/1964,0.0034986953,0.0072449806,0.0041465037,-0.008064651,0.0053040166,-0.0151677,-0.008442394,-0.007981923,-0.016073281,-0.024554588
09/1964,0.0492232916,0.0377646181,0.0594360805,0.0515539516,0.0434432465,0.0319775918,0.0356596495,0.0230989936,0.0344989115,0.0007110203
10/1964,0.0120690018,0.0145983557,0.0159003583,-0.001772989,0.0124569091,0.0305247956,0.0039895244,-0.00223831,0.0174482419,-0.009391128
11/1964,0.0094425078,-0.01460951,-0.01768768,-0.02031138,-0.013120815,0.0291322834,0.0266282839,0.0084427319,0.0171220238,-0.00899197
12/1964,-0.013649332,0.0047891414,-0.014148157,-0.000341209,0.0210603892,-0.001035426,-0.012422266,-0.007849657,0.0049484717,0.0214687235
01/1965,0.0407236185,0.0322866072,0.0526581091,0.0432231001,0.0391682489,0.0081999957,0.0410475128,0.0290521625,0.0644073712,0.0385043801
02/1965,0.0350848357,0.0135760241,0.0130606274,0.0196143268,-0.003033945,-0.007179574,0.0222968661,0.006455141,0.0052196246,0.006001776
03/1965,0.0096148544,-0.017252805,0.0013286844,0.0078818102,0.0100323046,-0.027003986,-0.018413524,-0.01366677,-0.021264985,-0.011379588
04/1965,0.0660388525,0.0411164353,0.0591061687,0.0333107495,0.0541338648,0.0229815371,0.0402072381,0.0304772797,0.027284346,0.0285959069
05/1965,0.0159249024,-0.025080527,-0.022638717,-0.003612247,-0.020072439,0.002209292,-0.004125922,-0.008412367,0.0073312316,0.0085292119
06/1965,-0.092546176,-0.062521638,-0.069280649,-0.066526952,-0.064183948,-0.033188457,-0.045941855,-0.040067876,-0.047460774,-0.041156253
07/1965,0.0701434986,0.0127566107,0.0412495076,0.0160673162,0.0413277176,0.0019266213,0.0077601781,0.0054045956,0.0126493796,0.0138699603
08/1965,0.0395148108,0.0466958429,0.0323950016,0.0338757601,0.039111379,0.0095481678,0.0231905665,0.0310910797,0.0260924184,0.0308687157
09/1965,0.0596337022,0.0426949471,0.0351889686,0.0506168655,0.0476499938,0.0439815602,0.0205223186,0.0148095208,0.039780712,0.0179740949
10/1965,0.0545945372,0.0425273581,0.0477142853,0.0550095323,0.0254425064,0.0228217524,0.0280356502,0.0301248661,0.0280309275,0.0089957222
11/1965,0.0746433558,-0.014867633,0.037803796,-0.023705991,0.0099559558,0.0012862379,0.0138989527,0.0010997303,0.0046437824,-0.01551235
12/1965,0.0110088542,0.0193304649,0.0298810946,0.0137627341,0.0243872334,0.0105127454,0.0095189258,0.0030593413,0.0213127618,-0.005562326
01/1966,0.0710872797,0.0455263316,0.0516065139,0.0068592217,0.0077934963,0.0181450758,-0.012464922,-0.01915473,0.0017073492,-0.005000044
02/1966,0.0051397706,0.002952026,0.0071146643,-0.014288978,-0.016071605,-0.02346004,-0.006985493,-0.017131311,-0.031857676,0.0029825309
03/1966,-0.031774085,-0.041228853,-0.021021147,-0.040372173,0.0047611437,-0.035285935,-0.018016042,-0.008696287,-0.005615007,-0.019507281
04/1966,0.0406361532,-0.003927071,0.0245816912,0.00333723,0.0359544148,0.0361255341,0.0187307402,0.0178256179,0.033695823,0.023705671
05/1966,-0.093646401,-0.066761384,-0.080310065,-0.072227956,-0.062965208,-0.05384891,-0.036738932,-0.04842849,-0.03188522,-0.032880314
06/1966,0.0063878666,-0.027387752,-0.021170652,-0.014257769,0.005000414,-0.014465109,-0.025347865,-0.012660474,-0.016557307,-0.003219263
07/1966,-0.03991337,-0.010817517,-0.03160872,-0.014450998,0.0061529914,-0.020312058,-0.011514425,-0.015224969,0.0055630212,-0.012523359
08/1966,-0.093843172,-0.064797386,-0.059782875,-0.07591718,-0.07613313,-0.082492657,-0.068508583,-0.061412147,-0.080551024,-0.0623298
09/1966,-0.034670477,-0.03141226,-0.04768747,0.0045864915,-0.008409008,0.0040523955,-0.002863671,0.0036434082,-0.014416068,0.0042846342
10/1966,-0.000215669,0.0075608965,0.0141065154,0.0096432361,0.0633258863,0.0723693015,0.034348135,0.0413378199,0.0550611747,0.0604019395
11/1966,0.0888098662,-0.00967192,-0.011827642,-0.018598061,-0.006870396,0.0169225287,0.0125144946,0.0130493155,0.0166220683,0.0422001286
12/1966,0.0170386744,0.0106072699,0.0155860161,-0.015747357,0.0000394126,-0.015922448,0.0186617908,-0.005768318,0.0146511002,0.0117106188
01/1967,0.1154301086,0.1429908534,0.150517793,0.1250429454,0.0524986397,0.076245926,0.0841472443,0.0759384224,0.0611950952,0.0561410237
02/1967,0.0194165201,0.0228484338,-0.002769366,-0.000328104,-0.007241264,-0.005411105,0.0059614169,-0.005360386,0.0131912647,0.0341498519
03/1967,0.0720208364,0.0516027734,0.0557791511,0.0362790877,0.0580986193,0.0350043723,0.0431867826,0.034139703,0.0357849327,0.0442529866
04/1967,0.0473279683,0.0495987452,0.0343521468,0.0961029809,0.0185020437,0.0412641895,0.0309142711,0.0641476298,0.0257297062,0.0414791931
05/1967,0.0041419242,-0.026672857,-0.02496251,-0.064495152,-0.053151157,-0.041599504,-0.021086857,-0.054789401,-0.043327911,-0.043630902
06/1967,0.1049833579,0.0360907982,0.0453524598,0.0080640292,0.0163979099,0.0147778466,0.0029006319,0.0186628084,0.0009493121,0.0399810955
07/1967,0.0648841338,0.0650321668,0.0817362198,0.0702110997,0.0844646281,0.0467797927,0.0643537704,0.0458504981,0.0482180394,0.0007384578
08/1967,-0.010159944,-0.011936723,-0.002614499,0.0122338164,-0.009764675,0.0086400998,-0.011848916,-0.0080937,-0.023190504,-0.007677135
09/1967,0.0407954403,0.0224294378,0.0511683989,0.0427351288,0.0462630073,0.0241732782,0.0380650393,0.0150766165,0.0327486455,0.0331731079
10/1967,-0.016980497,-0.042325212,-0.056569029,-0.020153799,-0.036583875,-0.037155221,-0.041123946,-0.03634023,-0.023515059,0.0069515229
11/1967,0.0028684293,0.0033880407,-0.008192683,-0.013129128,0.0002942253,-0.006462519,0.0038756253,-0.007602987,0.0345209006,0.0216827149
12/1967,0.0453002107,0.0405983097,0.0371414545,0.0212244865,0.0118536948,0.0458928247,0.0534182132,0.0327690818,0.0258639596,0.0213477358
01/1968,-0.060061994,-0.030400653,-0.033832902,-0.053160091,-0.030397822,-0.03677188,-0.05184118,-0.021917288,-0.046046707,-0.037501338
02/1968,-0.043654577,-0.038013864,-0.029562858,-0.030268785,-0.034845266,-0.038638733,-0.039352014,-0.012623725,-0.030475694,-0.032562212
03/1968,0.0290581006,-0.015581006,-0.003766735,-0.001274132,0.0066738618,-0.010700015,0.0045560805,-0.005060707,0.0142907155,0.0201436229
04/1968,0.1375904852,0.1326756275,0.091730718,0.1348749548,0.0751246106,0.0800538349,0.0926843091,0.0916752339,0.0757634062,0.0798090216
05/1968,0.04814522,0.0362268804,0.0139778487,0.0280410659,-0.003131802,0.0266558406,0.0193309106,0.0088722113,0.0273370468,0.0280349564
06/1968,0.0035587511,-0.016853336,0.000414885,-0.006380645,0.0081577945,0.0115960926,0.010979087,0.018108137,0.0163015273,0.015581649
07/1968,-0.047104827,-0.041076695,-0.02973668,-0.031281085,-0.011956869,0.03522762,-0.026695582,-0.029000944,-0.024326519,-0.02819962
08/1968,0.0148382538,0.0226708274,0.0228709892,0.0411319556,0.0200183125,0.0170451921,0.0162892536,0.0068748127,0.0227750483,0.0052448056
09/1968,0.0798440174,0.073255513,0.0594709979,0.0539557467,0.0586074773,0.0301253518,0.056074002,0.0590562703,0.0155107407,0.0164862091
10/1968,-0.002155589,0.025378682,0.0304777281,0.0139353003,0.0224376133,0.0395303846,-0.007281317,0.0043355318,0.0041816209,-0.015444304
11/1968,0.0478421628,0.0624864232,0.0115424156,0.0610614485,0.0745326247,0.0484783681,0.0672551645,0.0479604107,0.0682923807,0.0696983384
12/1968,-0.026408674,-0.012131266,-0.028886375,-0.026989163,-0.036761867,-0.037657479,-0.023915044,-0.037666742,-0.036103304,-0.04959538
01/1969,-0.020572242,-0.001030643,-0.010892953,-0.019211659,-0.020758116,-0.012924978,-0.00646979,-0.001328192,0.0002780045,-0.006724098
02/1969,-0.082218932,-0.071967293,-0.041765497,-0.05709982,-0.060964812,-0.043774451,-0.061399293,-0.048055474,-0.045403579,-0.036370966
03/1969,0.0142980458,0.0273756915,0.0407355405,0.038246438,0.0586052219,0.0412919922,0.0298000215,0.0230793733,0.0242791054,0.0306589328
04/1969,0.0071432711,0.0024495205,-0.000022045,0.0179325918,0.0347453772,-0.006921852,0.0086660383,0.0135734865,0.035042353,0.0464774276
05/1969,-0.028865615,-0.00336177,0.0129771703,-0.007415363,0.0047036145,0.0234055419,0.0022051858,0.0036644482,0.0027275625,0.0020154197
06/1969,-0.09330507,-0.082634133,-0.065978098,-0.10297834,-0.089904372,-0.08313614,-0.068406464,-0.056889446,-0.064768801,-0.017355642
07/1969,-0.112654762,-0.070909091,-0.069122041,-0.087356807,-0.066005911,-0.09722136,-0.064299975,-0.052375298,-0.044431309,-0.035418125
08/1969,0.0450720299,0.0401561275,0.0289112073,0.0542688777,0.052434663,0.0596912214,0.0425693582,0.04032039,0.0522435296,0.0535670649
09/1969,-0.039894142,-0.031275332,0.0032653874,-0.040235411,-0.017765469,-0.056841844,-0.023461511,-0.032329291,-0.028377431,-0.010482204
10/1969,0.0741164101,0.0634877018,0.0453513557,0.0653095129,0.0714413034,0.0240570219,0.0408850209,0.0711216818,0.0619360085,0.0519863759
11/1969,-0.06663061,-0.049299132,-0.033742277,-0.042759152,-0.040114091,-0.043253497,-0.035069353,-0.042362245,-0.032132667,-0.006467488
12/1969,-0.054648487,-0.046327378,-0.026717032,-0.032818178,-0.030654031,-0.033258212,-0.029650958,-0.01438745,0.0286627127,-0.004963161
01/1970,-0.083215791,-0.050590373,-0.060113325,-0.109144452,-0.075833857,-0.107963886,-0.076419178,-0.064704664,-0.086270421,-0.061541172
02/1970,0.0486609725,0.0682982862,0.0799316964,0.0678461069,0.0551419242,0.0660256857,0.0665747041,0.0522001336,0.050799087,0.0511771694
03/1970,-0.006157617,0.0017654388,0.0404897993,-0.009051637,-0.009531334,-0.002491982,-0.009720236,0.0078075495,-0.008987489,-0.011026232
04/1970,-0.141655873,-0.112666088,-0.091371584,-0.116265144,-0.097843888,-0.092992286,-0.094578557,-0.088327477,-0.094681386,-0.104132033
05/1970,-0.082125259,-0.052773135,-0.06890355,-0.090027198,-0.0972189,-0.000379877,-0.086306775,-0.041217421,-0.073403856,-0.060456161
06/1970,-0.113330141,-0.046372328,-0.036062781,-0.058466738,-0.039275706,-0.040141165,-0.039846049,-0.033592048,-0.037506697,-0.073054213
07/1970,0.0840126827,0.0493357722,0.0710535541,0.083807445,0.0831302486,0.1148011865,0.0775471754,0.0865062027,0.0784593422,0.0503051091
