date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.027875996,-0.021124619,-0.005404758,-0.001175798,0.0014344551,-0.021546175,-0.007282492,-0.008221396,0.0205102274,-0.007345337
08/1963,0.0492214666,0.0454407445,0.0536278524,0.0466822204,0.0467027714,0.0713949,0.0368257278,0.0691030229,0.069666702,0.0520132458
09/1963,-0.042277794,-0.035143609,-0.00322671,-0.005871744,-0.022776462,-0.016207757,0.0189899486,0.0043314363,-0.028424454,-0.009300098
10/1963,0.0082850414,0.0259135519,0.0237036851,0.0276271669,0.0075891118,0.0298151749,0.0611109584,0.0093893128,0.0229423861,0.0842335086
11/1963,0.0129725173,-0.010015511,-0.020010715,-0.010471161,-0.001227458,0.0197544694,-0.003804957,-0.012438329,-0.018414381,-0.041614345
12/1963,0.0009897348,0.019221878,0.0167322328,0.0257762165,0.0344131489,0.0239055282,0.0252325007,0.025105509,-0.004186672,0.0470404672
01/1964,-0.024530815,0.0047826696,0.0015776403,0.0145283421,0.0133225748,0.0402230501,0.0157342698,0.0176532917,0.0339140646,-0.005957287
02/1964,0.0500562929,0.0253956367,0.02909989,0.0108467802,0.0147339775,0.0181471755,0.0197290533,0.0158527288,0.0295858613,0.0147472509
03/1964,0.0053324962,0.0181814174,-0.003174548,0.0117356344,0.0383828318,0.0187953882,0.0154404628,0.0268360902,0.0116693148,0.0359613236
04/1964,-0.026789371,-0.022879887,0.0085662898,-0.007771774,0.0088234411,0.0092946689,0.023604804,-0.014930485,-0.018854675,-0.011587573
05/1964,-0.007793018,-0.007946855,-0.012082144,0.0142692914,0.0055459481,0.0210147293,0.0089994114,0.0164012907,0.0275693537,0.0445201756
06/1964,0.0060462462,0.0109196567,0.0418704177,-0.001484294,0.0208629455,0.0063041058,0.0166035293,0.012880895,0.0094723094,0.0099250011
07/1964,0.0156044068,0.0119088952,0.0070205036,0.0372926635,0.0010789274,0.023288802,0.0333236329,0.0303610854,-0.003377125,0.0156321789
08/1964,-0.011630592,-0.024188577,-0.011595078,-0.010635878,-0.031400562,-0.003411914,-0.01696799,-0.009516495,0.0027549951,0.0233971579
09/1964,0.0218372162,0.0175863785,0.0050446684,0.0393265947,0.0348058276,0.0474521935,0.0294614576,0.0316577901,0.0299818429,0.0481832245
10/1964,-0.009814205,0.0221134864,-0.003865972,-0.00020115,0.0121015264,0.0205359906,0.0111004664,0.0209136375,0.0035697955,-0.002833421
11/1964,-0.014246163,-0.009182321,-0.026526282,0.0101174859,0.0149646029,0.0200572515,0.0144812592,0.0114463887,-0.021440636,0.0002328425
12/1964,-0.013003708,0.0109541062,0.0012674317,-0.005759662,-0.014119978,0.0150015524,-0.005057627,0.0086260477,0.0008003211,0.0077699546
01/1965,0.0763717602,0.0247236019,0.0569893011,0.0541470765,0.0633065957,0.0958288598,0.0249379713,0.0440311639,0.0371936241,0.0404679423
02/1965,0.0127162151,0.0350739194,0.0158969441,-0.020651312,0.0002290418,0.0231662742,0.0136925375,0.022543094,0.0241720628,0.0306765041
03/1965,-0.013525737,-0.011529009,-0.000817511,-0.007275438,-0.002792551,-0.013106889,-0.025956125,-0.004738219,-0.0056746,0.0130255155
04/1965,0.0172536058,0.0426248503,0.0384253646,0.0135531595,0.0442735552,0.0634365723,0.0479036002,0.0434161936,0.0392909727,0.0713413771
05/1965,0.0033379986,0.0130834187,-0.010742549,-0.015905905,-0.02009233,0.0009480933,-0.010807412,-0.001316966,-0.014572229,-0.01317801
06/1965,-0.022046245,-0.037020296,-0.059512986,-0.057102281,-0.066014605,-0.057791024,-0.060898846,-0.062281671,-0.079993421,-0.08860334
07/1965,0.0196859506,0.0137919166,0.0128136761,-0.00203137,0.0123257893,0.0286360871,0.062268492,0.0419845784,0.0343371818,0.0513267274
08/1965,0.0238578516,0.0171033881,0.0174932661,0.0460066481,0.0292986581,0.0326337577,0.0506872737,0.0501982856,0.0580465629,0.0662890928
09/1965,0.0065992036,0.0263034015,0.0368695275,0.0201134209,0.0601024719,0.0284480764,0.0179325695,0.0334920522,0.0291038237,0.1118106305
10/1965,0.0377403792,0.0173043393,0.007228328,0.0240443446,0.0227202556,0.0256743156,0.0596690075,0.0428204932,0.0530331487,0.0857171753
11/1965,0.0082411544,-0.007843537,-0.020159399,-0.027508223,0.0075112415,0.0040223742,0.0256621884,0.0260444979,0.0571820096,0.1226617497
12/1965,0.0026248748,-0.003107443,0.016455877,0.0186507745,0.0078973032,0.0284147315,0.0570927618,0.010834847,0.025696948,0.000926587
01/1966,-0.02142026,-0.009522262,0.0053156018,0.0175660498,0.0218589028,0.0071802765,0.0455301517,0.0604769432,0.0419205704,0.1035552567
02/1966,-0.022227178,0.0115886848,-0.027924189,-0.009417583,-0.011744073,0.0349052242,0.0096752272,0.040248003,0.0365045448,0.0628682469
03/1966,-0.0258199,-0.025810586,-0.034808024,-0.029744609,-0.008883693,0.0093571734,0.0071089005,-0.011149097,-0.039664887,-0.006076802
04/1966,0.0150741106,0.0103772006,0.0553625835,0.0033912027,0.0437972622,0.049811411,0.0301446312,0.0464826931,0.052268337,0.0635178425
