date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,0.0509785069,0.0411042992,0.0550888253,0.0420606026,0.0512852058,0.0507317938,0.0654515137,0.0411569173,0.0586827524,0.0740406165
09/1963,-0.03235208,0.0089942396,-0.015737305,-0.009894147,-0.005289291,-0.020934148,-0.005178084,-0.016712139,-0.020741699,-0.012224347
10/1963,-0.002008145,0.0167834909,-0.005340922,0.0042678668,0.0302871216,0.0087422754,0.0455037333,0.0137411747,0.0916328224,0.0290513677
11/1963,-0.008171673,-0.009619081,-0.017648452,0.0221485943,-0.0047179,-0.0419534,-0.008778011,-0.004436663,-0.007555856,-0.00516426
12/1963,0.0100923605,0.0063047235,0.0392537957,0.0280143826,0.0353909688,0.0267172925,0.0366830697,0.0180530674,0.0163753324,-0.000038671
01/1964,-0.002025349,0.0079977632,0.0353925603,0.0309719685,0.0144313788,0.0204509967,0.0436202259,0.0274800559,0.0360669828,0.0048663081
02/1964,0.0107606878,0.0093045602,0.0113787367,0.0182454561,0.0231673329,0.0154347542,0.0135003989,0.0248957562,0.0163985417,0.0280747307
03/1964,-0.007750518,0.0162516373,0.0356379528,0.0141486817,0.0147229182,0.013320101,0.0233563122,0.0118713346,0.0166236356,0.0281236736
04/1964,0.0030297944,0.007411204,-0.000272912,-0.012442681,-0.018819327,0.0242243186,-0.008335354,0.0129978281,0.0023851496,0.0195706133
05/1964,0.0162592,0.0238634856,-0.00136362,0.0213209008,0.0036056492,0.0189783609,0.0151713546,0.0162848411,0.023019263,0.0334651444
06/1964,0.0080244668,0.0429740712,0.0045185087,0.0073974164,0.0143877646,0.0141293799,0.0077914422,0.007283412,0.0229217858,0.0412618153
07/1964,0.0347193424,0.0275610707,-0.005666848,0.0161723721,0.018644743,0.0305374742,0.0350845713,0.0289316021,0.0216397275,0.0371725404
08/1964,-0.020335385,-0.006127491,-0.015698423,-0.008586333,-0.015684018,-0.017851799,-0.003914548,-0.019418338,-0.004765506,0.0015034637
09/1964,0.0165952769,0.0120025885,0.01646986,0.0108367809,0.024322042,0.0456806254,0.0246449821,0.0304609374,0.0305583663,0.0610452165
10/1964,0.0223742501,-0.003737558,-0.003826412,0.01488324,0.002567472,0.0214284586,0.0134716934,0.0210363881,0.0111347619,0.0222421154
11/1964,-0.001018422,-0.007823907,-0.003801348,0.0157964837,-0.014409423,0.0065064593,0.0157398965,0.001827868,0.0169869696,0.0143586292
12/1964,-0.018273084,-0.012831406,0.0095790717,0.0145533673,-0.007421507,-0.01344537,0.0026700943,0.0159015149,0.0172690987,-0.001242179
01/1965,0.0024040718,0.0585339744,0.0337002652,0.055271662,0.0185330062,0.0339617916,0.0487408349,0.0138862078,0.0490808068,0.0542977451
02/1965,0.0048259127,0.0029639447,0.0008687242,0.0009450861,-0.000410058,0.0037897965,-0.012098575,-0.0019674,0.0278505032,0.0176668659
03/1965,-0.026946834,-0.002947345,-0.012781908,-0.000815213,-0.018024765,-0.009931182,-0.007082957,-0.014099793,-0.004396962,-0.012867868
