date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.012642157,-0.00524665,-0.000022333,0.0004536982,0.0076490306,0.0082508401,-0.002591583,0.0019856987,-0.019326839,0.0002074034
08/1963,0.0599895955,0.0455501274,0.0491215025,0.0481346612,0.0607804959,0.0458528231,0.0431201974,0.0771411522,0.0689971356,0.0597833785
09/1963,-0.004942126,0.0060320869,-0.034818279,-0.021975349,-0.011484669,-0.006244761,-0.024480364,-0.015535121,-0.002633393,-0.02506684
10/1963,0.0179054719,0.0334457563,0.000186518,0.0504373712,0.066125273,0.0270736635,0.0212159407,0.0277155036,0.015948849,0.003494455
11/1963,0.0219551526,-0.009287747,-0.002203485,-0.02565026,-0.019071345,-0.001935599,-0.018371389,-0.005919837,0.0006066558,0.0057622751
12/1963,0.0262839763,0.0066492154,0.0196880924,0.0339147951,0.0122980531,0.0462178637,0.0278680185,0.0236332008,0.0337477225,-0.008386226
01/1964,0.0207201958,0.0292568567,0.0328760706,0.0247330546,0.0488354573,0.0170284998,0.0147284287,0.013429819,0.0254454293,0.0459625574
02/1964,0.0198523905,0.0129378333,0.0255295078,0.0192795871,0.0089540165,0.014756515,0.0163796617,0.034126181,0.012766728,0.0275247846
03/1964,0.0193088836,0.0077210053,-0.001175868,0.0106616411,0.0362256729,0.0259937084,0.0368248939,0.0293201744,0.0565674415,0.0715476007
04/1964,0.0128011476,-0.005228008,0.0229212935,0.017724385,-0.00360666,-0.004489458,-0.018521275,-0.023381881,-0.002754979,-0.043134501
05/1964,0.0173168005,0.0211679509,0.0104828337,0.0340731034,0.0195929953,-0.007258812,0.0035860303,0.011163807,0.0161518819,0.0165603804
06/1964,0.0185038055,0.0163229478,0.0275065247,0.007243121,0.0088672843,0.0163545614,0.0133243133,0.0174990186,0.00230329,0.0199371367
07/1964,0.0216012509,0.026615701,0.0197243155,0.0115816204,0.0292850271,0.0272882322,0.0234448179,0.0268695644,-0.003879569,0.0181016665
08/1964,-0.007082761,-0.008970577,-0.009146573,-0.027057863,-0.009652516,-0.013744986,-0.021738272,-0.009638111,-0.009748289,-0.014879075
09/1964,0.0290965226,0.0241892701,0.0074252596,0.0376291654,0.0259748083,0.041042567,0.0509538094,0.0586928658,0.0558650255,0.0528704524
10/1964,0.0207554616,0.0020980938,0.0078664372,0.0127278977,0.0229491383,0.0140889183,0.0060579973,0.0156504367,0.0062675174,-0.028105968
11/1964,0.0145432899,-0.01081951,0.017294559,0.0155750084,0.0041625977,0.019330687,-0.000571233,-0.007797762,-0.016963017,-0.041944782
