date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.021574463,-0.018670489,-0.007191656,0.0020050773,-0.011478136,-0.008129533,0.0093665152,0.0051433248,0.0027452008,0.0114140965
08/1963,0.041862382,0.050457808,0.040410505,0.0621186384,0.0593717304,0.0429378361,0.0549443305,0.0678980701,0.0593886909,0.0999397996
09/1963,-0.026584335,-0.017919356,-0.014373716,0.0096680893,-0.010097311,-0.011359337,-0.031685607,-0.009397156,-0.026959387,-0.014093128
10/1963,0.0169383651,0.0050027004,0.0071400928,0.0285313865,0.010821748,0.0380457191,0.0106878287,0.0118450679,0.0787088332,0.0405297484
11/1963,0.0048512372,-0.011370711,-0.011128017,0.0180303612,-0.00649919,0.0099385137,0.0015675904,-0.013775275,-0.042846247,-0.007224887
12/1963,-0.024119574,0.0106990903,0.0289792275,0.024435161,0.0239964221,0.0229913902,0.0271125629,0.0262699813,0.0254051074,0.0045530591
01/1964,-0.015866271,0.000577205,0.0161806909,0.0117524709,0.0232378434,0.0284965703,0.0280601906,0.042365863,0.0280159229,0.0111980974
02/1964,0.0312525752,0.0319671746,0.0144101341,0.0317373803,0.0170590912,0.0204208096,0.0134903248,0.0194897987,0.0115893903,0.0285892561
03/1964,0.0186754066,0.0178473626,0.0067855686,0.0048735409,0.0134784631,0.0219918562,0.0186462635,0.0209843101,0.0167982909,0.0292105575
04/1964,-0.016365905,-0.010412749,0.0179191508,0.0142977094,0.0224563014,0.0169088163,-0.019848766,0.0130054323,0.0029596437,-0.01758572
05/1964,0.009276428,-0.002073504,0.0092856806,0.0206619912,0.0066903751,0.025301968,0.0032403249,0.0209424941,0.0190325345,0.0447034525
06/1964,0.018524646,0.0065248696,0.0080206396,0.0241740379,0.0298712008,0.0411328104,0.0112210123,-0.001272912,0.0073943559,0.0123090555
07/1964,0.0282956117,0.0165902376,0.0227463695,0.0096024124,0.0269992286,0.0464581245,0.0178337248,0.0149629497,0.006415946,0.0219261956
08/1964,-0.009159395,-0.009402417,-0.004659819,-0.002021325,-0.01445928,-0.019985719,-0.009032253,-0.018493895,-0.013473224,-0.006558121
09/1964,0.0343926825,0.0446594058,0.0071915215,0.0401448579,0.0192496407,0.0289038813,0.0339421612,0.0362969357,0.0337388129,0.0571606242
10/1964,0.0133779892,-0.000884249,-0.006062664,0.0019966205,0.0239283712,0.0171055596,0.0305829575,0.0012655831,0.0088108953,-0.003911158
11/1964,-0.016902176,-0.0018116,-0.017043333,0.0092782946,0.0165505058,-0.008177825,0.013994826,0.0184755473,0.0093131423,-0.016119462
12/1964,-0.003785216,0.0121822971,0.0019997793,0.004164904,0.0022504417,-0.000536957,0.0075193905,0.0051055671,-0.007472576,-0.005888489
01/1965,0.0743824891,0.0188086638,0.0530985992,0.0254159291,0.0495184916,0.0456750939,0.0333775686,0.0417224375,0.0107445366,0.0493275661
02/1965,0.0295301141,0.0151545989,0.0240538006,0.0015204702,-0.004523062,0.0008716389,0.0077371804,-0.002874148,-0.000697805,0.0331941664
03/1965,-0.001949442,-0.010936962,-0.024281949,-0.014138746,-0.012519307,0.0127225346,-0.015764516,-0.020727612,-0.0077018,0.0032637795
04/1965,0.0202703292,0.0200815248,0.0228137352,0.0462064991,0.0164120627,0.0548866425,0.0307807636,0.0466937002,0.0466971262,0.0601087737
05/1965,-0.017118833,0.0070152769,0.0113298643,-0.019130185,-0.002613747,-0.002410393,-0.002581207,-0.006958383,-0.004894994,0.0021599949
06/1965,-0.022308475,-0.041405969,-0.039056904,-0.055235912,-0.056562664,-0.062951987,-0.059638669,-0.05328738,-0.068474917,-0.105667127
07/1965,-0.005626712,0.012660179,0.0195533449,0.0041087185,0.004853173,0.020157566,0.0267823244,0.0336952352,0.0501432359,0.0749130578
08/1965,0.0235720209,0.0157081865,0.0291664052,0.0158866709,0.0240872782,0.0405341783,0.0257999391,0.0399907571,0.0572856778,0.0827376772
09/1965,0.0200764099,0.0433778776,0.0245342835,0.0168504957,0.0407499612,0.0197688234,0.0256188897,0.0416039689,0.0487957944,0.0583510657
