date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.030238174,-0.009332184,-0.010477366,-0.003783773,-0.009466404,0.0148453735,-0.006673981,0.006315745,-0.006717365,0.0071561688
08/1963,0.0599494473,0.0461522702,0.0575066087,0.0459682998,0.0580204192,0.049541366,0.0533861574,0.0394042423,0.0646234397,0.092268554
09/1963,-0.030605298,-0.029042235,-0.012878067,0.0155749513,-0.016833992,-0.013775958,-0.006129838,-0.028932202,-0.026634982,-0.019145047
10/1963,0.0185836976,0.0160772883,0.00103795,0.0185231776,0.0276570875,0.027872189,0.0098954569,0.0089201546,0.0822541306,0.0535808172
11/1963,0.0024099933,-0.014427238,-0.005005168,0.0190496062,-0.010836808,-0.010141854,0.0025120059,-0.037643343,-0.00989122,-0.001803338
12/1963,-0.025178633,-0.010107735,0.0198740642,0.0210578322,0.0230117749,0.0239875691,0.0216183092,0.0359086228,0.0283761108,0.0073669045
01/1964,0.0130283244,0.0115786334,-0.000760154,0.0167859721,0.0275917182,0.0232220669,0.0395780862,0.0404297858,0.0186814819,0.0196685566
02/1964,0.0176240908,0.0286525548,0.0100070892,0.0148100811,0.0203041942,0.0183416533,0.0214646002,0.0122497718,0.0173343167,0.0354211812
03/1964,0.0050339084,0.0193638187,0.0228707997,0.0173066636,0.0064475181,0.0149815162,0.0265218531,0.0097500254,0.0214100683,0.0331959953
04/1964,-0.004519533,0.0204111653,0.0048702456,-0.003890632,0.0114528387,0.0166223406,0.0016788636,0.0102041728,-0.004394961,-0.005201058
05/1964,0.0024223843,-0.003967191,0.0067857249,0.0068674911,0.0172025282,0.0049459947,0.0083114404,0.0327462161,0.0213667871,0.0391084326
06/1964,0.0100478967,0.0167575228,0.011057769,0.0146111373,0.019564994,0.0253933601,0.0012452678,0.0249504922,0.0025085742,0.0088946993
07/1964,0.0189601451,0.0190542552,0.0339579678,0.030487123,0.0344732054,0.0257405398,0.0010785826,0.0312483452,0.0203426858,0.0073194553
08/1964,-0.014907527,0.0041974283,-0.010587155,-0.00072981,-0.014304537,-0.017401194,-0.015318862,-0.010903078,-0.017051491,-0.008845418
09/1964,0.0576880224,0.030418243,0.0380796502,0.0300699476,0.0257737655,0.0233014415,0.0180838469,0.0372636464,0.0224926555,0.0632983793
10/1964,0.0152002328,0.0196794762,0.0091988422,0.0068965523,0.0076652947,-0.004801674,0.0189526645,0.007208568,0.0103209597,0.0007366611
11/1964,-0.030464489,0.0032909617,0.0074785671,-0.002215927,-0.002947004,0.0017918843,0.0000138039,0.017932575,-0.002075331,0.0001426196
