date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.0148384094,0.0101029367,-0.000196867,-0.011200162,0.0021869734,-0.003414058,0.001907668,-0.00787572,-0.007386655,-0.022916343
08/1963,0.0310653789,0.0525902415,0.0496268295,0.0480286566,0.0485504436,0.0516190972,0.0729535216,0.0742450058,0.0626107074,0.0835224652
09/1963,-0.032635504,-0.012890291,-0.008062186,0.0063955769,-0.022673229,-0.013493811,-0.024483877,-0.002612734,-0.017300904,-0.025529307
10/1963,0.0212754421,0.0424463586,0.0052686652,0.0196481416,0.0263613645,0.0259768067,0.0183998966,0.0489944064,0.0318400033,0.0232887091
11/1963,-0.017122028,-0.009753696,-0.005252719,0.013691233,-0.004830795,0.0080821757,-0.01131593,-0.010373446,-0.014117947,-0.008134478
12/1963,0.0354934005,0.0173480921,0.0252177041,0.0157708087,0.0215704592,0.0113230699,0.0239514308,0.0078984394,0.0160980639,0.0185051587
01/1964,0.0207157688,0.0292330606,0.0262931019,0.0250954024,0.0327581285,0.0339654115,0.0264844437,0.0110658906,0.0181879117,-0.010627005
02/1964,0.037062489,0.0074578556,0.0273529071,0.0173850235,0.009941412,0.0229490059,0.0172105664,0.0113458846,0.0233036204,0.0264464069
03/1964,0.0333332852,0.0048608773,0.0215312318,0.001547265,0.0218463588,0.0368146162,0.0070959119,0.028048458,0.0479167158,0.0424949157
04/1964,-0.00935341,0.0211423787,0.0137463547,0.0207185803,-0.003160965,-0.001953537,-0.00338244,-0.017549074,-0.00325738,-0.01030359
05/1964,0.0335102396,0.0226999532,0.0220775,0.0187320235,0.0251338029,0.0056315429,-0.000226675,0.0133207289,0.0041357374,0.0003252573
06/1964,0.0165199054,-0.001197715,0.009964263,0.0143450872,0.0174108035,0.0127297872,0.0039567932,0.0473057902,0.0136663227,0.0191171525
07/1964,0.0077383285,0.0459641816,0.0219265919,0.0089855839,0.0339791818,0.0277212677,0.002466189,0.0240298849,0.0297610776,0.0186667287
08/1964,-0.013665917,-0.010306224,-0.007000723,-0.014501513,-0.020103607,-0.00977488,-0.003479221,-0.013978934,0.0008791561,0.0008683456
09/1964,0.0602946806,0.0362020379,0.0345448343,0.026779136,0.0329128773,0.0231909639,0.0132371879,0.0324739856,0.0307144304,0.0380389211
10/1964,0.0104874631,0.0103353729,0.0212251009,0.00157743,-0.000925169,0.0058289014,0.0003106827,0.0197271648,0.0059824734,0.0197340405
11/1964,-0.003605546,0.0012200664,-0.006017828,0.0062976559,-0.003437922,0.0022699986,0.021746654,0.0203481385,0.0012339875,-0.013902246
12/1964,0.016108711,0.0048271386,-0.00137945,0.0098324296,-0.007222028,0.0069201044,0.0030254578,-0.010013301,-0.008850774,0.0028585782
01/1965,0.0508887316,0.0299691865,0.024101009,0.0307288472,0.0435576072,0.0470227679,0.04415565,0.0410097432,0.0677463711,0.0621842792
02/1965,0.0323794689,-0.00192596,0.0056537428,0.0017001784,0.0105308386,-0.009718411,0.007813947,0.0281493743,0.0344931343,0.0433045431
03/1965,-0.003244467,-0.019290181,-0.000176645,-0.012102823,-0.010615117,-0.012796124,-0.00449302,-0.014460697,0.0064486984,-0.002441092
04/1965,0.0656914332,0.0222963209,0.0597043947,0.0324122367,0.0271659358,0.0108881827,0.0214594508,0.0165664076,0.0325262791,0.0470151734
05/1965,-0.002566218,-0.010745023,0.0070564754,0.0102792447,-0.023127768,0.0047190049,-0.014282118,-0.001287805,-0.009227125,0.0010339587
06/1965,-0.078368066,-0.017203945,-0.048884045,-0.056523718,-0.04143842,-0.043631772,-0.054990023,-0.061669926,-0.071156118,-0.090546526
07/1965,0.0217704679,0.018445875,0.0091246743,0.0095253637,0.0179965574,0.0289916864,0.0023948002,0.0245162212,0.0292457116,0.0572087807
08/1965,0.0663427079,0.0252748545,0.0345418375,0.0196611103,0.0301303365,0.0200892805,0.0338862179,0.0209059827,0.0391850561,0.0840678845
09/1965,0.042063657,0.0304602655,0.0319585783,0.0277152968,0.0323447513,0.0291447795,0.0298691783,0.0109258663,0.0500202268,0.0854794182
10/1965,0.0589028851,0.0468440414,0.0122155221,0.0184572845,0.0278980421,0.0204392329,0.008694613,0.0377362419,0.039610876,0.0734739594
11/1965,0.0411692932,-0.01651701,0.0125952848,0.0030610099,0.0024797533,-0.009147403,-0.014460775,0.0298912515,0.0058139046,0.0509011151
12/1965,0.0357048556,-0.000599185,0.0049323034,0.0088615673,0.0250679555,0.0329884699,0.0109763667,0.0220392826,-0.010354454,0.0534740057
