date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.00203141,0.0008185959,0.0086696014,-0.007339991,-0.000873834,-0.006808271,,,-0.005265146,0.0164616259
08/1963,0.0532478387,0.0481787749,0.05237888,0.0606383888,0.0641265292,0.0484033314,,,0.0602923624,0.0373176889
09/1963,-0.02216577,-0.000215279,-0.0351766,0.0089211181,-0.010867479,-0.014063533,,,-0.021711874,-0.031453074
10/1963,0.0073138074,0.0254068777,0.0389360189,0.031857481,0.087965682,0.0095614881,,,0.013757959,0.0073495422
11/1963,-0.011293971,0.0256072819,-0.002605175,-0.011953672,-0.039734485,-0.001853947,,,-0.000702851,-0.014190642
12/1963,0.005601973,0.018837372,0.0407957094,0.0271497281,0.0077333185,0.0193446198,,,0.0398610174,0.013828809
01/1964,0.0198776019,0.0253010754,0.0354760874,0.0328791309,0.0187362466,0.0234999474,,,0.020808791,0.0338508322
02/1964,0.023586406,0.0041125646,0.0081081748,0.0264965484,0.0125777013,0.0263496357,,,0.0217206195,0.0265380432
03/1964,0.0205194529,0.004442781,0.0180424926,0.0216538235,0.0168573287,0.0180106927,,,0.0251795317,0.0303570288
04/1964,0.0016791394,0.0150705532,0.0029883123,-0.014737357,0.0241835116,0.0005122087,,,0.0005142564,0.0022547153
05/1964,0.0082636295,0.0064796873,0.0048886226,0.032529203,0.0286808868,0.0137823516,,,0.0127857158,0.0255031557
06/1964,0.0090506404,0.0402297071,0.0058986557,0.0170566501,0.0158065027,0.0091347146,,,0.022545279,-0.00522528
07/1964,-0.010296433,0.0229230534,0.0088196731,0.0444880785,0.0212750175,0.0299622373,,,0.0131465721,0.0177816146
08/1964,-0.016094589,-0.01184776,-0.022141,0.0027975619,-0.014425503,-0.009055422,,,-0.013289108,-0.023525112
09/1964,0.012318409,0.0381117288,0.0241858913,0.033991799,0.033236306,0.0356803134,,,0.0366716487,0.0234759156
10/1964,-0.003604615,0.0182963512,-0.010919865,0.0053908371,0.0077262613,0.0051588243,,,0.0425483811,0.0280121687
11/1964,-0.019173838,0.0026729651,0.0134574516,-0.001926227,-0.002296217,0.0073880648,,,0.0231867805,0.0068752928
12/1964,0.0239675481,-0.010489065,0.0035034009,0.0095651706,-0.004156895,-0.000264242,,,-0.009907406,-0.001905667
01/1965,0.0183259206,0.0610191426,0.0637643759,0.0300124676,0.0495976721,0.0430657068,,,0.0321824444,0.0124106847
02/1965,0.0170030772,0.0115958949,0.0207954494,-0.001463865,0.0167172141,0.0052727155,,,-0.00673301,-0.009562649
03/1965,-0.013186702,-0.009706643,0.0001380396,-0.004585902,-0.009667378,-0.008324543,,,-0.017881855,-0.028262475
04/1965,0.0381100207,0.0328277242,0.0529070447,0.0544441845,0.0364809802,0.0165329522,,,0.0305091288,0.0091761448
05/1965,0.0148122876,-0.005637289,-0.006824085,-0.01986532,-0.014162385,-0.001339794,,,0.0085409654,-0.00749035
06/1965,-0.049686317,-0.051000343,-0.056313296,-0.052305697,-0.053070415,-0.056541512,,,-0.036214855,-0.030465691
07/1965,0.0139205218,0.0081997516,0.0340287837,0.0329682221,0.0016441844,0.0204686341,,,0.0265513247,0.041264512
08/1965,0.0309617206,0.0163775794,0.0437739261,0.0455285893,0.017154558,0.0349706266,,,0.0389662758,0.0539462993
09/1965,0.0222927266,0.0303514855,0.0306405147,0.0668702266,0.0343802416,0.0245771471,,,0.0329787412,0.0370272478
10/1965,0.0255562126,0.0047873558,0.0315033449,0.0327064371,0.0363972592,0.0349273175,,,0.0459606508,0.0248294763
11/1965,0.0063411784,-0.013685228,0.0200360764,0.0116912456,-0.01297967,0.0066189018,,,0.0096571704,0.0535143198
12/1965,0.0157479044,0.0077073308,-0.000227496,0.018792667,0.0091112972,0.0254607625,,,-0.001068646,0.0192455177
01/1966,0.0081937358,0.0035964031,0.0147716143,0.025616088,-0.003685009,0.0136029893,,,0.0175063766,0.0431421649
02/1966,-0.010062041,-0.006113202,0.0225002482,-0.01094392,-0.023893101,-0.012447551,,,-0.015059421,0.011359801
03/1966,-0.026881447,-0.033663288,-0.008991316,-0.009798628,-0.026912443,-0.016012864,,,-0.0197634,-0.023516656
04/1966,0.0228650543,0.0187599407,0.0414861216,0.035883853,0.0104737891,0.0224117293,,,0.0354686231,0.0380381791
05/1966,-0.048441617,-0.043956192,-0.046882945,-0.07041536,-0.050933028,-0.053711966,,,-0.055832536,-0.067368075
06/1966,-0.004716972,-0.002043356,-0.023985285,0.0043644237,-0.024905545,-0.012217401,,,-0.000566426,0.0135726146
07/1966,-0.012192519,-0.021298033,-0.018479688,-0.014627164,-0.019637153,-0.01434443,-0.006131465,,0.0018129374,-0.008690864
08/1966,-0.09321205,-0.08036355,-0.060628174,-0.068353756,-0.071060507,-0.076100901,-0.087858381,,-0.068392197,-0.054529691
09/1966,-0.030680093,-0.006813782,-0.01669801,-0.019925679,-0.004885244,-0.004458197,-0.009369284,,0.0280750498,-0.000333826
10/1966,0.0039408113,0.0384748203,0.0689379314,0.0329085744,0.0333970468,0.0221720939,0.050278594,,0.0817425588,0.0397702528
11/1966,0.0727791123,0.07525982,-0.010942975,0.0240574962,0.0197828369,-0.01941476,0.0188552306,,-0.009393403,0.0212966153
12/1966,0.0257221686,0.0012327364,0.0244303059,0.0025853303,-0.021901371,0.0023623026,0.0215812731,,-0.017292972,0.0128124026
01/1967,0.1132820852,0.0906818188,0.0828650302,0.0927435437,0.0724419931,0.1043634001,0.0773637558,,0.0532976664,0.0958790444
02/1967,0.0282429202,0.0347285061,0.0152480513,0.0179586697,0.0019530732,-0.011924926,0.0130483546,,-0.004348239,0.0086126364
03/1967,0.0690414016,0.0588962596,0.0441682128,0.0345946564,0.0237053179,0.0434538906,0.0389218638,,0.0416613781,0.0454648201
04/1967,0.0460526001,0.056887875,0.0274682441,0.0503888589,0.0545960191,0.0687130376,0.0222584085,,0.0210513386,0.0358998541
05/1967,-0.039917203,-0.039848198,-0.052400817,-0.035826577,-0.050945592,-0.057111801,-0.027950084,,-0.027608066,-0.020315312
06/1967,0.0444033765,0.0372779272,0.0337575885,0.0249299425,0.00250103,-0.000019352,0.0364412912,,0.0126430316,0.0579632373
07/1967,0.0507730571,0.0359894019,0.0035152718,0.0421822309,0.0467244391,0.0635419212,0.0575184872,,0.0863492614,0.0810780725
08/1967,-0.008633515,-0.006392559,-0.00709611,-0.008497816,-0.006982885,-0.000495461,-0.008211939,,-0.002096677,0.0005712835
09/1967,0.0374084745,0.0200548718,0.0334815368,0.0580057288,0.0260243456,0.04270116,0.028770877,,0.0220914631,0.0342229707
10/1967,-0.025441618,-0.039762184,-0.022267869,0.0090923092,-0.023171569,-0.042908874,-0.032907779,,-0.043991289,-0.022463192
11/1967,0.0113801068,0.0270723098,0.0019608126,0.0135885744,0.0156274916,-0.005632003,0.0048330891,,0.0045088659,-0.008511819
12/1967,0.0491162659,0.0295406127,0.0211687414,0.0325423699,0.0340965976,0.0371259446,0.0361556024,,0.0098462471,0.0522364944
01/1968,-0.059346391,-0.046252019,-0.037361636,-0.049992634,-0.04814873,-0.040708921,0.0003660446,,-0.016983673,-0.041348344
02/1968,-0.0510304,-0.041695539,-0.032836669,-0.030399979,-0.032282355,-0.022997353,-0.028528355,,-0.034813457,-0.025155277
03/1968,0.0118611179,-0.001066446,0.0100054843,0.0360352819,0.0124460671,-0.004358789,-0.009020646,,-0.001676394,0.0041572461
04/1968,0.1073218102,0.1049402348,0.0845805416,0.1100621836,0.090340361,0.0820793359,0.0766806837,,0.1022856031,0.101248102
05/1968,0.0494163644,0.0137036659,0.0179497295,0.0410631822,0.0339024386,0.0128445876,0.0334430021,,0.0024307421,0.0350701808
06/1968,0.0140136746,0.0125062228,0.0067186435,-0.002880358,-0.00400653,0.0176265467,0.0239394585,,0.0194240146,0.0289671496
07/1968,-0.065505187,-0.045750986,-0.024063462,-0.034745305,-0.027633799,-0.02278479,-0.015216239,,-0.024994428,0.0370715068
08/1968,0.0166295181,0.0200137213,0.0184583659,0.0207269983,0.0103721155,0.0212753459,0.0185411704,,0.0132347412,0.0241925253
09/1968,0.0514343561,0.0383455067,0.0525749413,0.0353110512,0.0358770665,0.0542594172,0.0456440838,,0.0274797177,0.0396781119
10/1968,0.0081403751,-0.002457521,0.0044055445,0.013571805,-0.010488019,0.0010696487,0.0208283824,,0.0755372931,0.024983338
11/1968,0.0861612775,0.0620046536,0.0613049057,0.0640556035,0.067484672,0.0467710419,0.0440791156,,0.0452548674,0.0778244843
12/1968,-0.034282753,-0.025489635,-0.035948479,-0.019505984,-0.056986969,-0.032528306,-0.028558161,,-0.036590276,-0.036216429
01/1969,-0.022010935,-0.015188171,-0.024143565,-0.007245187,-0.019799478,0.0131390641,0.0019064785,,-0.007025588,-0.007823632
02/1969,-0.090808851,-0.073332571,-0.057838484,-0.048692915,-0.03677204,-0.053600509,-0.045033291,,-0.063491933,-0.050373331
03/1969,0.0190793398,0.0392133613,0.0210590683,0.0286956052,0.0377225361,0.0335807,0.0239606496,,0.0503234741,0.0563570344
04/1969,0.0173065246,0.0051885758,0.0170001737,0.0157450049,0.0471278124,0.0120555267,0.0146288706,,0.043876952,0.0133469408
05/1969,-0.014913528,0.0075854919,0.0112353885,0.0085238425,0.0001221976,-0.00170434,0.0067511589,,-0.022163375,0.016510747
06/1969,-0.101630464,-0.070941446,-0.075246705,-0.073859118,-0.02478765,-0.063166182,-0.073088163,,-0.05680674,-0.08075941
07/1969,-0.08507729,-0.075262258,-0.073658301,-0.058141347,-0.054564709,-0.056099982,-0.067285265,-0.063799195,,-0.065992628
08/1969,0.0963412158,0.0741921135,0.0713421597,0.0371583022,0.0625113211,0.0342954142,0.0499272643,0.0352588224,,0.0439709431
09/1969,-0.056555683,-0.017749299,-0.046779524,-0.021603036,-0.012770227,-0.004693871,-0.036419286,-0.023067379,,-0.036111824
10/1969,0.0563130064,0.0656152028,0.0757053379,0.0526164009,0.0537328035,0.0512242304,0.0302018339,0.0624817107,,0.045886532
11/1969,-0.036874629,-0.039526994,-0.041312896,-0.012480699,-0.014505516,-0.036957509,-0.036106149,-0.04274814,,-0.036295984
12/1969,-0.040113033,-0.03145868,-0.037429365,-0.044187784,0.0019369416,-0.007320342,-0.020032852,-0.015555633,,-0.015659091
01/1970,-0.130116064,-0.103789029,-0.077424394,-0.050154191,-0.077617909,-0.070733904,-0.09470347,-0.059231131,,-0.067410259
02/1970,0.0422109491,0.0731570929,0.0721509641,0.0511855138,0.0462513927,0.0468211512,0.0775180806,0.0679736119,,0.0350820304
03/1970,-0.049358155,-0.02091881,0.0023093296,0.0089596832,-0.024346546,0.0026946084,-0.004895736,0.0056327659,,0.031629136
04/1970,-0.171701472,-0.139447588,-0.11963265,-0.093985918,-0.1088994,-0.074145385,-0.085100909,-0.098237349,,-0.088142771
05/1970,-0.116023639,-0.084169473,-0.069358126,-0.061994486,-0.062591433,-0.060629564,-0.040254955,-0.073588268,,-0.013147283
06/1970,-0.10554374,-0.067183747,-0.053717862,-0.081630731,-0.066302926,-0.021870366,-0.052138911,-0.036725695,,-0.037709565
07/1970,0.0618003899,0.0990293133,0.0638019055,0.077028726,0.049021076,0.0754979333,0.0713876938,,0.1105243329,0.1013076756
08/1970,0.0540702602,0.0662828839,0.0587152569,0.0486815194,0.0530291899,0.0617863596,0.0375929682,,0.0022493279,0.056383939
09/1970,0.0839750831,0.039831556,0.0497665821,0.0727959665,0.0690790841,0.0287964695,0.0379506728,,0.0772343688,0.0193348659
10/1970,-0.026354008,-0.014780884,-0.023692229,-0.021978745,-0.007052303,-0.027625739,-0.021395169,,-0.043774346,-0.009434231
11/1970,0.0436661575,0.0580306232,0.0396848079,0.0455946993,0.0515256463,0.0578996873,0.0514260565,,0.0130532904,0.0563262209
12/1970,0.0596171645,0.055130448,0.0661785014,0.0638756405,0.0503472912,0.0650309853,0.0678151482,,0.0649787387,0.0646864665
01/1971,0.0771475985,0.0321358119,0.0639774006,0.0753773944,0.0305060373,0.0606357642,0.0599270287,,0.0332012847,0.0324471378
02/1971,0.004048801,0.0222902561,0.0229916611,0.0328197687,0.0297865432,0.007353472,0.0078674072,,0.0413499613,0.0161280385
03/1971,0.0624601127,0.0467329636,0.0413418854,0.0589813483,0.051675852,0.047822058,0.0406903662,,0.0156676457,0.0232192522
04/1971,0.0294808712,0.0121839205,0.0522351437,0.0482800859,0.0224241904,0.0508453754,0.0340471028,,-0.050393735,0.0503265907
05/1971,-0.04101614,-0.037041154,-0.037073151,-0.017066438,-0.049147934,-0.02554179,-0.038099707,,-0.058359611,-0.036766056
06/1971,0.0201590907,0.0107599129,-0.000791501,0.0125361568,-0.001736853,0.0196936145,-0.001842967,,0.0484608139,-0.007850051
07/1971,-0.045464365,-0.05119208,-0.027300288,-0.017781394,-0.052100815,-0.026825313,-0.053402809,-0.03971487,-0.053185085,-0.036062864
08/1971,0.0299303874,0.0345621838,0.0540186424,0.0518332672,0.0417306788,0.069335397,0.0183483273,0.0346088915,0.0385302044,0.0613391091
09/1971,-0.012506309,-0.002189508,-0.004659707,0.0091745574,-0.004308917,-0.005478092,-0.012020023,-0.002877106,-0.014781334,-0.011257537
10/1971,-0.042693181,-0.02960636,-0.03534398,-0.030403473,-0.042693203,-0.042801294,-0.03498446,-0.038830744,-0.054098034,-0.072507525
11/1971,-0.000531959,-0.011617326,-0.011457382,0.0043710608,0.0027891004,0.0103368698,-0.008024972,0.0019657362,-0.000406893,0.0040875003
12/1971,0.1030995807,0.0875302464,0.0987740023,0.0908643296,0.0917538607,0.0824020476,0.0790737429,0.0897171899,0.0997532333,0.0937219769
01/1972,0.0452900175,0.0302396488,0.0168456242,0.0271568071,0.0464225635,-0.007903845,0.0208871423,0.0299801034,0.0094884706,0.0298596922
