date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.00404798,-0.004438124,0.018098591,-0.001716708,0.0009986068,0.0176892293,-0.006096213,0.004821401,-0.008524134,0.0051279787
08/1963,0.0481207412,0.069999254,0.0391628251,0.049092311,0.0638694227,0.0386521245,0.0867600504,0.0461732982,0.0586974342,0.0721741524
09/1963,0.0199721554,-0.024963584,-0.028161395,-0.011154659,-0.015759538,-0.035018355,-0.033453845,-0.004253932,-0.019963895,0.0063597179
10/1963,0.0400270523,0.0144690326,-0.020222136,0.0482680141,-0.000390829,0.0312191733,0.0409301059,0.0740823552,0.0258843937,0.1375302507
11/1963,0.0485150719,-0.017253033,-0.006558421,-0.003336311,-0.032483902,0.0106979066,-0.010320261,-0.010021832,-0.008438931,-0.064531743
12/1963,0.0058691618,0.0616679042,0.0469252718,0.0230390245,0.0430222847,0.0484772863,0.0190588248,0.0286684869,0.01723156,-0.001833499
01/1964,0.0373907884,0.0090798662,0.0208025048,0.0266113943,0.0381293096,0.0675864299,0.0242097772,0.0596565802,0.0174145837,0.0112758161
02/1964,-0.002308114,0.0313624655,0.0322263555,0.0134912587,0.0109799144,0.0116559436,0.0241803063,0.0420786978,0.0175269032,0.0181477542
03/1964,-0.004621319,0.0045892079,0.006295434,0.0537102797,0.0361025258,0.0327191964,0.060444618,0.0279229832,0.0221902205,0.0061125706
04/1964,0.0074861602,0.1031898993,0.0438299014,-0.021885665,0.0093923708,0.0134824132,-0.019953118,-0.030615659,-0.016190774,0.0375426092
05/1964,-0.00871466,0.0393380741,0.0241732371,0.0077569915,0.0116707539,0.0176649824,0.0070273445,0.0325416007,-0.004136156,0.0349059018
06/1964,0.0541155251,0.0000227241,0.0148664243,0.0327693508,0.0069518381,0.0036978173,0.0290061817,-0.001674379,0.0029705651,0.0151266614
07/1964,0.0145927758,-0.021187521,0.0226718871,-0.001386357,0.0054136682,0.0185915227,0.0321703887,0.016954617,-0.017037045,0.0578193481
08/1964,-0.002221184,-0.01543191,-0.017325259,0.0088813779,-0.012919933,0.0129112485,-0.011492319,-0.037285239,-0.032697221,0.0072215376
09/1964,0.0252071826,-0.012097256,0.0320639992,0.0371034469,0.0618438883,0.0303356025,0.0390025895,0.0398361252,0.0179037067,0.0375674321
10/1964,0.0186032348,-0.009413243,0.0572595229,-0.027336682,0.0166682605,0.0255478225,0.0045701245,0.0041991776,-0.015235725,0.0030235873
11/1964,0.0272311295,-0.027059663,0.0409259226,0.0059501632,-0.028758332,0.0119208032,0.0253195763,-0.00115796,-0.013722208,-0.009578798
12/1964,0.0127232573,0.0311687852,-0.012642637,-0.012128428,-0.013656074,-0.029377929,0.0124953124,0.0004925605,-0.006733794,0.0295936262
01/1965,0.0333172203,0.0004869791,-0.012987618,0.0452681328,0.062818514,0.0582858288,0.0495008313,0.0589039088,0.0755934043,0.0384693144
02/1965,0.0159552744,0.010326274,-0.010552761,0.0156666655,0.0170274881,0.0419326292,0.0040086497,0.0202906482,0.0161566187,-0.00203668
03/1965,-0.015561501,-0.019369806,-0.037567861,0.004087265,-0.002433529,-0.012203308,-0.028093572,-0.001487703,-0.005812461,0.0058401517
04/1965,0.0744554443,0.029660826,0.0043580168,0.0534605907,0.0179620124,0.0346053175,0.0238253443,0.0342920854,0.0485404912,0.0630979544
05/1965,-0.000164967,0.0301462642,-0.001070461,-0.019112148,-0.015010025,-0.01729748,0.0278476117,-0.009358405,-0.011720134,-0.02599749
06/1965,-0.046444444,-0.037514367,-0.018142923,-0.05073076,-0.072006301,-0.06240604,-0.056519565,-0.067635673,-0.050756511,-0.061456508
07/1965,-0.001986318,0.0346423876,0.0233509525,-0.009663502,0.0336653675,0.0261006611,-0.005471729,0.0115727308,0.0169495323,0.03208041
08/1965,0.0166166059,0.0317790123,0.022538535,0.0314150437,0.061187812,0.0407051935,0.00396199,0.0407166766,0.0181557638,0.0387976841
09/1965,0.0129433499,0.0318657318,0.0591940927,0.0350665379,0.0595584047,0.0240515155,0.0577342216,0.0158785245,0.0318711798,0.071922777
10/1965,-0.006469775,0.0348111103,0.0158952886,0.0388610934,0.0682005312,0.0304690625,0.041839846,0.0518966725,0.0285089157,0.0521319935
11/1965,-0.040802978,-0.00155362,-0.006221217,0.0061489828,0.0219433492,-0.004793981,0.0347187776,-0.002918848,0.0027076231,-0.028636152
12/1965,-0.00066359,0.0197651272,0.0028507444,0.0346086935,0.0261744264,-0.024529256,0.0138962697,0.0496195965,0.016160343,0.0218763514
01/1966,-0.007978631,0.0125393556,0.0101197686,0.0007819419,0.0779131464,-0.004933578,0.0170663269,-0.001442849,0.0094033807,0.0106307936
02/1966,0.0045658127,-0.03757363,-0.008162047,0.0286604203,0.0397085815,0.0243142848,-0.012017005,0.0110543587,-0.037812074,-0.026882713
03/1966,-0.049412523,-0.023043946,-0.046132211,-0.035551089,0.032129027,-0.012413562,-0.025200367,-0.007368938,-0.039436472,-0.017944272
04/1966,0.0193747362,0.0107374834,0.0340950181,0.0432446627,0.0033180288,0.0626590709,0.0497007264,0.0022057984,0.0049717214,0.0141176069
05/1966,-0.040712061,-0.052949223,-0.04360589,-0.06153741,-0.096585772,-0.029342701,-0.05669049,-0.043082727,-0.048542558,-0.065647059
06/1966,-0.002365369,-0.043748301,-0.024415812,-0.017377515,0.0217909712,-0.013586633,-0.015593487,0.0030614508,-0.025477075,-0.010109682
07/1966,-0.016710716,-0.008172242,-0.021630615,-0.032627709,-0.033219496,0.0086469356,0.0081464144,-0.025421312,-0.049783946,0.0078033424
08/1966,-0.107937079,-0.057413493,-0.08346188,-0.050019587,-0.089601313,-0.090821546,-0.061840233,-0.056945716,-0.08347956,-0.073878508
09/1966,-0.0391975,-0.005644381,-0.059383649,-0.001953492,-0.004381096,-0.013329039,-0.037270815,-0.009290572,-0.014081056,-0.0055301
10/1966,0.0293204989,0.0835523794,0.0358128867,0.0400486002,0.0263128515,0.017711489,0.0527337314,0.0442511889,0.0628589491,0.0165435341
