date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.0130154659,-0.000396962,-0.002734852,0.0090047922,-0.004622427,-0.016464068,0.0057015898,-0.007561675,-0.00104798,-0.003606954
08/1963,0.0412537748,0.0554491424,0.0471223348,0.0393508762,0.0646833667,0.0521345285,0.0632990656,0.0511736803,0.0655518502,0.0682537539
09/1963,-0.027812716,-0.016159392,-0.019607883,-0.009465374,-0.011661456,-0.005354919,-0.008635111,-0.012334329,-0.003847653,-0.019873272
10/1963,-0.001795228,0.0046412129,-0.001979427,0.0208532911,0.0223708683,0.0271777003,0.1116341632,0.041398193,0.0462941089,0.0129959089
11/1963,-0.003390503,-0.004761063,-0.012221229,0.0204573254,-0.02261314,0.0130320938,-0.044543529,-0.006938799,-0.007577281,-0.014849295
12/1963,0.0229984793,0.0244046856,0.0169998461,0.0307247238,0.0236452838,0.0308685038,0.0045007153,0.0370548448,0.0177634312,0.0063217845
01/1964,0.0186291524,0.0212848613,0.0319821441,0.0433167011,0.014674662,0.0224046441,0.0244401188,0.0039824094,0.0460129163,0.0091366109
02/1964,0.0108447627,0.0125021911,0.0172049629,0.005313022,0.0410603906,0.0328769866,0.0174272308,0.0121369905,0.022652808,0.0171159516
03/1964,0.0010095965,0.0216485434,0.0263161827,0.0026186348,0.0396490069,0.0307444737,0.0263561903,0.0219476297,0.0222540136,-0.002114488
04/1964,0.0077400066,-0.010236408,0.0220061162,0.0265828325,-0.007124584,-0.001561742,0.0188349834,-0.026009339,-0.011983636,-0.002216563
05/1964,0.009506951,0.0079827666,0.0089905484,0.0086246454,0.021013662,0.011886696,0.0220774449,0.0064800358,0.0248688357,0.0199076705
06/1964,0.0261248111,0.0250881793,0.0175836971,0.0290735621,0.0112905928,-0.002268536,0.0140253063,0.0067553789,0.0131976657,0.0244523842
07/1964,0.0269413318,0.051748101,0.0266738864,0.0082102919,0.0128603543,0.0141416251,0.025022858,0.0429151853,0.0013024186,0.0223395478
08/1964,-0.00761739,0.0044568028,-0.008919174,-0.020332078,-0.009467574,-0.00591594,-0.003997648,0.0019734162,-0.026196963,-0.015054396
