date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
12/1971,,,,,,,,,,0.1965317875
01/1972,,,,,0.1562969595,,,,,-0.03167421
02/1972,-0.012203285,0.0187223702,0.035662359,0.0373100892,0.0055377113,0.0990683801,0.0181047443,0.0935460487,-0.006195426,0.0954397022
03/1972,0.0629393991,0.015363488,0.0148955297,0.010457142,-0.028943514,-0.049895945,-0.005551454,0.0655337962,0.0150422226,0.0010916147
04/1972,0.0807458209,0.000993398,0.0186300519,-0.012631192,0.022652484,0.0152004405,0.0074180025,0.0039552409,0.0052850016,-0.002066716
05/1972,-0.005858008,-0.049957118,0.0207441559,-0.031753196,0.0215495295,0.0193915286,0.0319616336,0.0583375815,0.0549983444,0.0459967659
06/1972,-0.114361338,-0.051114005,-0.072159555,-0.02093542,-0.037070684,-0.034652881,-0.043468116,0.0008237433,0.0068308459,-0.002647352
07/1972,-0.07735991,-0.020040732,-0.013874119,-0.02514109,-0.009483005,-0.008171112,-0.02381545,0.0019351717,0.0093004966,0.0250784563
08/1972,0.0128313413,0.0559595683,0.0657636851,0.0725971029,0.0078269815,0.0487218495,0.0315630625,0.0258853364,0.0225504711,0.0052865487
09/1972,-0.075761079,0.0018274063,-0.102948401,-0.004862773,0.0009572778,-0.01177942,-0.026556644,0.0144971241,-0.009021237,-0.015684456
10/1972,-0.108608286,-0.080590709,-0.044596173,0.0390486558,-0.011720569,0.0489963574,-0.019540285,0.0568261545,-0.021379057,-0.063415166
11/1972,0.0888374982,0.0081723751,0.0331879382,0.0883811312,0.0328445324,0.0399306643,0.0904256617,0.0182547434,0.0336988637,0.0320197533
12/1972,-0.032225911,-0.079753821,-0.035746081,-0.015987929,-0.050592458,0.0078589171,0.0419883229,0.0236238532,0.0033107935,0.0065358651
01/1973,-0.030597593,-0.096258224,-0.106837561,-0.031798372,-0.130984382,-0.033562007,-0.043873085,-0.036500882,-0.049447306,-0.011349413
02/1973,-0.074699226,-0.110676641,-0.040726127,-0.098258467,-0.072488035,-0.093520222,-0.088473796,-0.025375,-0.030405863,-0.083720897
03/1973,-0.048796193,0.0134868351,-0.025864722,-0.015830923,-0.034987065,-0.009589786,-0.065864755,-0.034931786,-0.068955103,-0.018328825
04/1973,-0.105121718,-0.060783818,-0.076332496,-0.053217538,-0.070785828,-0.064102591,-0.126947891,-0.053249728,-0.053171674,-0.087558725
05/1973,-0.084607163,-0.032222843,0.0060130494,-0.040278251,0.0000203262,-0.031122375,-0.055085881,-0.039663186,-0.016598461,0.004929469
06/1973,-0.052804753,0.0018320382,-0.021532516,-0.025693689,-0.014342761,-0.01627088,-0.003999476,-0.010582773,0.0063097234,0.0005970717
07/1973,0.0898114657,0.0996481814,0.0952311208,0.0700733361,0.0706982208,0.0694234061,0.053760844,0.0401005506,0.0419289714,0.0340727397
08/1973,-0.064905841,-0.075123566,-0.046098816,-0.055223712,-0.031189532,-0.025067998,-0.0352285,-0.043659532,-0.028377866,-0.018903954
09/1973,0.070083976,0.0962417121,0.1621017912,0.1000946648,0.0949787714,0.1047920463,0.0384049584,0.1786711337,0.0983742397,0.0579241315
10/1973,-0.074341207,-0.011631339,-0.067924993,-0.048733254,-0.019875996,-0.000276492,0.0380774768,-0.048692547,-0.041194868,0.0253778351
11/1973,-0.178623818,-0.179802863,-0.207500701,-0.159574889,-0.155978568,-0.181423507,-0.129949814,-0.168185318,-0.120235829,-0.263579249
12/1973,-0.02334803,-0.004556049,0.0054541707,-0.016237783,0.0583995329,-0.078736079,-0.01553873,0.0950212603,-0.03252153,0.0034679077
01/1974,0.1720618186,0.2467974366,0.0468274154,-0.020046784,0.1491821216,-0.024748909,0.0128503855,0.0768875294,0.0138592678,-0.029749953
02/1974,-0.031499919,-0.010878255,-0.032405316,0.0157079543,0.0243359021,0.0403802,-0.010256844,0.0030781765,-0.00316003,0.0235491969
03/1974,-0.038727954,-0.025048776,0.0697304419,-0.01540737,-0.046179693,0.0189322756,0.0028292919,-0.005195622,0.0391895337,-0.004241084
04/1974,-0.058439888,-0.143350763,-0.080734277,-0.037105853,-0.020471484,-0.040376319,-0.058009541,-0.036198507,-0.05935937,-0.072710733
05/1974,-0.106880248,-0.005921118,-0.06366605,-0.062758705,-0.059600715,-0.050138482,-0.031868688,-0.019108318,-0.014078992,-0.03724707
06/1974,-0.122015295,-0.045429927,-0.058015445,-0.044107566,-0.011330621,-0.008308964,0.005571855,-0.006966964,-0.017991407,-0.006193671
07/1974,-0.057737174,-0.076945842,-0.091256834,-0.070489404,-0.087498248,-0.062690109,-0.064881398,-0.054701255,-0.066751219,-0.084237057
08/1974,-0.117585249,-0.103321232,-0.127807511,-0.088502364,-0.08979519,-0.090685769,-0.102437248,-0.118293324,-0.107183816,-0.090235418
09/1974,-0.081747984,-0.080781197,-0.034066266,0.0076379905,-0.010009937,-0.040181902,-0.07491981,-0.094767868,-0.146373508,-0.186954704
10/1974,0.1868438459,0.2107019728,0.0786366613,0.095127508,0.1377276305,0.130634073,0.0597324926,0.1565522816,0.1717653201,0.1877029364
11/1974,-0.044794869,-0.014112448,-0.020520083,-0.022593152,0.010271621,-0.020264465,-0.006760321,-0.003021671,-0.037558589,-0.000597848
12/1974,-0.052430283,-0.059009579,-0.000435531,-0.040727841,-0.015194755,-0.012593968,-0.029616233,-0.01968893,-0.066629014,-0.034719282
01/1975,0.2851261828,0.2366685955,0.2311431295,0.2980151189,0.2632422724,0.2036416259,0.2253201168,0.1894187401,0.1130760262,0.1438653739
02/1975,0.0171654732,-0.04348404,0.0271516777,0.0147366012,0.0171882103,0.0337903645,0.0894297314,0.1043131134,0.0380907076,0.0987515977
03/1975,0.0756773594,0.0019078204,0.0237185871,0.0048537345,-0.019019318,0.0162397756,-0.005408473,0.0529914558,0.0490140238,0.0219294273
04/1975,0.0133333132,0.0670891619,0.0459767568,0.0027227962,-0.016234381,0.0024982763,0.0183196146,0.0247879341,0.0990176585,0.0849354744
05/1975,0.0661803825,0.0292472524,0.0349210461,0.0923002511,0.0673292881,0.0658991039,0.1083194627,0.0820160154,0.0452700594,0.0528078854
06/1975,0.0837368282,0.0819042089,0.0621061261,0.0931687941,0.0963469631,0.0661543751,0.053358147,0.0433724552,0.0283527452,0.0178869197
07/1975,-0.02073273,-0.079016511,-0.049874563,-0.075541097,-0.050788401,-0.044970125,-0.053869418,-0.065762613,-0.064887217,-0.090025878
08/1975,-0.065391295,-0.042659358,-0.012789312,-0.024980142,-0.019801531,-0.016219314,-0.002998571,-0.008663689,-0.019227269,-0.02112777
09/1975,-0.058748856,-0.092209825,-0.057433546,-0.027425589,-0.037302926,-0.019578631,-0.03761977,-0.014996087,-0.02982705,-0.032359768
10/1975,0.0067550725,0.0619655931,0.0821632793,0.0632749397,0.0703723123,0.0631948169,0.0459874559,0.0558841596,0.0578390674,0.0762534477
11/1975,0.0332935152,0.0430171406,0.0562485179,0.0518083484,0.0381526069,0.0241110519,0.0060683034,0.0137158004,0.0207439667,0.0438721409
12/1975,0.0079238433,0.0153509952,-0.003611985,-0.011177166,-0.005722807,-0.009145099,0.0013272261,0.0014651078,-0.032366434,-0.019483795
01/1976,0.1859104619,0.1274968875,0.1632748711,0.1226832814,0.103953625,0.1516595082,0.1563930032,0.0947735607,0.0981659892,0.1234586354
02/1976,0.0285322702,0.0390941621,0.0481119156,0.0127659261,0.0118647322,-0.007866133,-0.014630338,0.0002268371,-0.003676622,0.0008748242
03/1976,0.0322202877,0.0230739354,0.0029152129,0.0125622075,0.0471086664,0.0457442807,0.0458005788,0.0268863246,0.0143254979,0.0355326919
04/1976,-0.013177977,-0.008425264,-0.011462069,0.008847916,-0.0043698,0.0055308946,0.005745105,-0.008052048,-0.003471227,-0.035928974
05/1976,-0.017097732,0.0008037807,-0.005396469,-0.027124838,-0.025553227,0.0047128993,0.0175206106,0.0023154341,0.0178394887,-0.004108193
06/1976,0.0654201687,0.0619574492,0.0483971794,0.0501241928,0.0601717484,0.048171426,0.061059361,0.0264127498,0.049578834,0.041803416
07/1976,0.0009808192,0.023269536,-0.003389099,-0.014096438,0.0023187714,-0.007045803,-0.016216851,-0.002386209,-0.003367185,-0.016620763
08/1976,-0.037834954,0.0136447849,0.0410985264,0.0238242035,0.0001745528,-0.009047035,-0.013383993,-0.009980546,-0.020112232,0.0058037761
09/1976,-0.006702291,0.0308248984,0.0289668991,0.0174462017,0.0288974591,0.0398458342,0.0289926149,0.028804841,0.0167428969,0.0327988665
10/1976,-0.002290733,-0.025168321,-0.008887198,-0.018248274,-0.007940642,-0.026425321,-0.020439134,-0.017777404,-0.028709384,-0.028985899
11/1976,0.0088099418,0.0220899204,0.0383188134,0.0213870871,0.0201649601,0.0137001689,-0.009997638,0.0243043742,-0.025956833,-0.011696114
12/1976,0.115725823,0.0703287974,0.0709219491,0.0752093964,0.0460592777,0.0803008704,0.0571532769,0.0388315679,0.0569665318,0.0397831198
