date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.017962401,-0.007701976,0.0015975931,-0.00541196,-0.004459339,-0.00029268,-0.015521927,0.0120912138,0.002572011,0.0047024576
08/1963,0.053186112,0.0625557584,0.0515142816,0.0530575624,0.0502580244,0.0472880641,0.0680790854,0.043228872,0.0613463459,0.0522315035
09/1963,-0.03434796,-0.015548001,-0.015666344,-0.016615789,-0.022256398,0.0035508203,0.0059603985,-0.034311087,-0.007012857,-0.012717062
10/1963,0.0254377736,0.0142667398,0.001440736,0.0172845528,0.0299902465,0.0276261548,0.0218078442,0.0182657487,0.0288048821,0.0591107902
11/1963,-0.015299273,0.011929009,-0.016824145,-0.01586269,-0.009160377,0.0260044413,-0.005634484,-0.005541655,-0.008336073,-0.019438059
12/1963,0.0162272912,0.0226346461,0.011754084,0.0193602149,0.0216708975,0.013473585,0.0216472394,0.0459420607,0.0281863863,0.0195098227
01/1964,0.0041953803,0.0275919021,0.0182070976,0.0115871013,0.0148493889,0.0264486853,0.0046676475,0.0450062954,0.0277867228,0.0326596145
02/1964,0.0613187109,0.0128838473,0.0180911572,0.0210354304,0.0090168584,0.0038276512,0.0325873308,0.0170140026,0.0085811442,0.0265339431
03/1964,0.0389046955,0.0449186347,0.0267348613,0.0097891871,0.0221049911,-0.003174463,0.0254392795,0.0284020654,0.0227688224,0.0119542705
04/1964,-0.012473937,-0.029226167,-0.005277582,0.003378058,-0.010171461,0.019048817,0.0032149647,0.0082810104,0.0088094528,0.0088281407
05/1964,0.0109379151,0.0200372487,0.0161093986,0.0083040133,0.0013723468,0.0070817636,0.0163130558,0.0181058549,0.0141404766,0.0220048953
06/1964,0.0111929265,0.0285493019,0.019383588,0.0171040175,0.035943663,0.0395392182,0.0225059579,0.0062751323,0.0166260613,0.0026175822
07/1964,-0.003849589,0.0280928835,0.0139830381,0.0463500843,-0.001485347,0.0244686847,0.0286651527,0.0184562863,0.0172359492,0.0277918209
08/1964,-0.025207811,-0.006399935,-0.006592706,0.0000652331,-0.011602426,-0.01807325,0.0013953673,-0.000972149,-0.025658315,-0.010457737
09/1964,0.0277400709,0.0449475186,0.0390455348,0.0307905083,-0.002745967,0.0403144922,0.0455445015,0.0460286297,0.0362785188,0.0263815295
10/1964,0.0227560465,0.0155421936,0.0154487431,-0.00438665,-0.001800016,0.0124203411,0.0126169848,0.0125391764,0.0131287172,0.0048535301
11/1964,-0.025147758,0.0066335851,0.0005447978,0.0038253211,-0.018987582,0.0154627389,-0.009334917,0.0116592157,0.0228832633,0.0046202023
12/1964,-0.021112066,0.0042542267,-0.006849913,-0.009031907,0.0251712925,0.0020243189,-0.001412167,-0.002574398,0.0074777483,0.0074476627
01/1965,0.0552295666,0.0513161789,0.0469018217,0.0436102669,0.0117988237,0.0339546858,0.0468113394,0.0319959733,0.0218300961,0.0513510125
02/1965,0.0266030351,0.0317512971,0.0220538052,0.0103244002,0.0100098342,-0.00679406,0.0224439582,0.0060996307,-0.00178682,-0.001037521
03/1965,0.0018468609,-0.00765215,-0.00026254,-0.005104987,-0.0149772,-0.001500917,0.0051995164,-0.021826751,-0.024751393,-0.010907457
04/1965,0.0304869593,0.0467434615,0.036071847,0.0094930572,0.0251730787,0.0275822314,0.0317039314,0.056434466,0.0283256664,0.0463395523
05/1965,-0.008847891,0.0097286944,-0.010315041,-0.00245703,0.0186947415,0.0110027902,-0.010611962,-0.013577509,0.002115592,-0.012062105
06/1965,-0.073208493,-0.072432235,-0.051735961,-0.047221572,-0.042651092,-0.043711226,-0.068857095,-0.050661909,-0.039616083,-0.045598043
07/1965,0.0254770225,0.0307382821,0.0209975043,0.0175245367,0.0051097561,0.027575325,0.0114639441,0.0027425516,0.0190857857,0.0223189797
08/1965,0.0712893254,0.0379789651,0.0187463255,0.0233363284,0.0114970319,0.0224724597,0.0315296481,0.0302141853,0.0203295097,0.0438020991
09/1965,0.0303602852,0.0206549285,0.0204177533,0.0296176686,0.0156211315,0.0260669523,0.0470383376,0.0431007152,0.0318400487,0.038979504
10/1965,0.0483945206,0.0446950602,0.0302733863,0.0297221538,-0.009205639,0.0304391074,0.0225950197,0.030907099,0.0131507906,0.0491339836
11/1965,0.0565935433,0.0066688568,0.0024762247,0.0072957259,-0.029651869,0.0176615131,0.0047441051,0.0032765994,0.0241344013,-0.007524058
12/1965,0.0388268091,0.0192133033,0.0096785567,0.0086919885,0.0006857322,0.0169995017,0.0227267915,0.011063196,0.009136806,0.0068766642
01/1966,0.0447888115,0.0380307299,-0.010665155,0.0036290999,-0.004682518,0.0225149684,-0.006710284,0.0057531046,0.0222235475,0.0094177118
02/1966,0.0365500577,0.0006947171,-0.026174343,-0.029667393,0.0057869494,-0.006062455,-0.010439341,-0.024512582,-0.013084079,-0.008045632
03/1966,-0.028621051,-0.013675754,-0.021146383,-0.010898959,-0.038796302,-0.006229962,-0.023056354,-0.024166738,-0.024240339,-0.012991622
04/1966,0.045123355,0.0341541222,0.0235675094,0.0295819869,0.0132807759,0.0129528007,0.0316562124,0.0266347347,0.0199123272,0.0209333454
05/1966,-0.096152381,-0.078331924,-0.048134739,-0.046405751,-0.040988544,-0.044809118,-0.058315378,-0.056323615,-0.052627311,-0.040900326
06/1966,0.0199618949,0.0004978413,-0.01231318,-0.007989583,0.005953236,-0.006772618,-0.005735743,-0.034677785,-0.015093328,-0.015834069
07/1966,-0.028197872,-0.020989045,-0.005784407,-0.008458563,0.0087972762,-0.02577278,-0.010199585,-0.026743823,-0.010442343,-0.00784633
08/1966,-0.09007771,-0.085167417,-0.089710096,-0.062494837,-0.084202106,-0.063110818,-0.064370699,-0.075634444,-0.071461836,-0.075221993
09/1966,-0.018396908,-0.002374784,0.0091273255,-0.001067639,0.0300662673,-0.026877472,-0.021243262,0.0087239906,-0.007292598,-0.012241178
10/1966,0.037194828,0.0444207985,0.0869723177,0.0817366001,0.0560528376,0.0165537492,0.0486060242,0.0581399928,0.0613213832,0.0124829889
11/1966,0.0449641749,0.0291134198,0.0081381673,-0.023094712,0.0108703457,0.0090871026,-0.010028334,0.0084128978,0.0333473872,0.0479547396
12/1966,0.0318184436,0.0138447401,0.0206629725,0.0293691884,0.0019873182,-0.00658612,0.0025461103,-0.014581643,-0.008222745,-0.001605323
01/1967,0.141108969,0.1023531665,0.0663922237,0.0599833953,0.0741984567,0.0989526648,0.0705236394,0.0738030436,0.0842924288,0.0879929095
02/1967,0.0130003382,0.0185685203,-0.014607236,0.0044914823,-0.010271533,0.016283912,-0.00230377,-0.004410945,0.0101562715,0.0315367871
03/1967,0.0400217875,0.0313977399,0.0441984341,0.0375922287,0.0434256606,0.040459389,0.0480927596,0.0408421174,0.0426755631,0.0505874549
04/1967,0.0236216341,0.0385792903,0.0278267944,0.0032361044,0.0399548121,0.0603874998,0.0344472664,0.0446577825,0.039596808,0.0708634389
05/1967,-0.023608583,-0.025823434,-0.053169492,-0.048109044,-0.042120008,-0.04441817,-0.034501421,-0.04632774,-0.030975881,-0.050322537
06/1967,0.0585698705,0.0265749444,0.0027667055,0.0233993396,0.0250385729,0.0327167725,0.0214870626,0.0124662471,0.0159401772,0.0244861311
07/1967,0.1151125481,0.0592109871,0.0317809269,-0.019546189,0.0776956346,0.0799748767,0.0603230435,0.0555510875,0.0474494417,0.0483079445
08/1967,0.0009091235,0.0034425239,0.0036701981,-0.010330186,0.0019760454,-0.011206478,-0.015382955,-0.006816367,-0.013746375,-0.003918436
09/1967,0.0423680687,0.02288457,0.0012036866,0.0137466077,0.0362845799,0.015626569,0.0382726202,0.0386380441,0.0667789665,0.0402393883
10/1967,-0.029434815,-0.021988997,-0.048406535,-0.033822189,-0.042840071,-0.036881377,-0.034263888,-0.020516849,0.0136437343,-0.029447033
11/1967,0.0057560023,0.004045129,0.0240234244,0.0052512477,0.0135431844,0.001398216,-0.00274893,-0.001399576,0.0044521018,0.0126669175
12/1967,0.0432008094,0.0398017758,0.0263253663,0.030563274,0.0448579482,0.0152165924,0.0305643668,0.0296924573,0.0370280914,0.0249095715
01/1968,0.0086034283,-0.033972634,-0.018905883,-0.008618035,-0.033169467,-0.034900905,-0.029314597,-0.048592787,-0.059655926,-0.057123246
02/1968,-0.046526711,-0.045643031,-0.031942707,-0.029681894,-0.024708068,-0.031742814,-0.031355287,-0.029834964,-0.026536305,-0.034898492
03/1968,0.0183674531,-0.009223171,-0.026047513,-0.013021929,-0.005219572,0.0148490147,0.013974074,0.0022548918,0.0207704236,0.0183779716
04/1968,0.1269064909,0.0900645069,0.0747710124,0.047545027,0.0932483765,0.0977543088,0.0930310547,0.0809878783,0.1016559306,0.105799567
05/1968,0.0672549485,0.0231717449,0.0175136045,0.0043551416,0.0169809975,0.0157824251,0.0143243746,0.0179223376,0.0492841844,0.018021398
06/1968,0.0229735723,0.0195003181,0.0362109029,0.0331562474,0.019539327,0.0118891236,-0.001388847,0.0130216011,-0.003449973,-0.002315537
07/1968,-0.013243061,-0.015830978,-0.026189448,-0.024194037,-0.009596874,-0.023687569,-0.0193368,0.0207620306,-0.032097177,-0.046563846
08/1968,0.0232617138,0.0212283907,0.015699674,0.010566118,0.0231084665,0.0219714836,0.0099561024,0.0253157568,0.0012778715,0.0216563159
