date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1971,,,,,0.162499994,,,,,-0.03125
09/1971,,,,-0.043988269,,,-0.010752688,,,-0.012048192
10/1971,-0.1267081,-0.059508547,-0.091085637,0.0070389986,-0.024434928,-0.014331949,-0.030535992,-0.017517673,-0.050770128,-0.108157865
11/1971,-0.01639224,0.0091875885,0.007865652,0.0057983713,-0.004793162,-0.011497735,-0.010758849,0.0023449219,-0.003842683,-0.004077223
12/1971,0.1538397268,0.0873949937,0.0946839288,0.0857667602,0.0955905968,0.095936618,0.080647339,0.0774158961,0.0951596138,0.0927063758
01/1972,0.0797225443,0.0579167022,0.0132970415,0.0128882724,0.0265417358,0.0180357109,0.0370178134,0.0095780418,0.0197477299,0.0713212496
02/1972,0.0344415122,0.0620280796,0.0388889805,0.051658071,0.0398792509,0.0336132136,0.0450775617,0.0039531133,0.0142894401,0.0402693747
03/1972,0.0022966849,0.0329878515,0.0099272573,0.018583784,-0.000209686,-0.025445716,0.0180317128,-0.026887719,-0.040086972,0.0197195295
04/1972,0.0067999216,0.0232887592,0.0134376405,0.0085949332,0.01416944,0.005121782,0.0026919571,-0.013217255,-0.002540113,-0.014164144
05/1972,0.005043466,0.0535634642,0.0343179468,0.0208428735,0.0174060269,0.0092700997,-0.009197556,0.0223163449,0.0037200965,-0.010668969
06/1972,-0.070498111,0.0002135695,-0.0077926,-0.026349223,-0.026171208,-0.019576258,-0.031154006,-0.03283687,-0.021659724,-0.034324206
07/1972,-0.035836035,0.0135963293,0.0219223011,-0.014142798,-0.011770933,-0.018065853,-0.015157493,-0.026827894,-0.007889976,-0.008801774
08/1972,0.0037666502,-0.005156963,0.0270715121,0.0413370122,0.033426433,0.065826487,0.0668616315,0.0775483382,0.0762788775,0.0659540293
09/1972,-0.011028494,0.0060248358,-0.013889073,-0.020245662,-0.028081962,-0.017423742,-0.019145874,-0.01318753,0.0119033768,-0.028495565
10/1972,0.0221457363,-0.002228983,-0.000378345,-0.003754249,0.0045333476,0.0201323925,0.0063247387,0.01835957,-0.00322361,0.0135917286
11/1972,-0.005568809,0.0269229371,0.0462276285,0.041228971,0.065219546,0.1067392238,0.0788574775,0.0766963134,0.0752565672,0.0696571472
12/1972,0.0368739241,0.0344096487,0.0182710964,0.0160495876,-0.009175932,-0.004044802,-0.009264578,-0.013585189,0.012053829,-0.044922461
01/1973,-0.031234433,-0.003029418,-0.028884116,-0.053678854,-0.05437821,0.008025087,-0.033161555,-0.0151268,-0.062817051,-0.082151356
02/1973,-0.075039063,-0.014943634,-0.030096464,-0.0401506,-0.056318207,-0.065970914,-0.054575697,-0.052041211,-0.057937693,-0.062304604
03/1973,-0.00447821,0.0015719007,0.0043590243,-0.001770713,-0.005102784,0.0050076303,0.0152764232,-0.009359713,0.0075354025,-0.048316086
04/1973,-0.063835633,-0.059329297,-0.065384274,-0.061620079,-0.048535199,-0.035184083,-0.000348991,-0.035493691,-0.038717945,-0.041540394
05/1973,-0.002590658,-0.016217673,-0.008565519,0.0023613331,-0.038280194,-0.032708747,-0.026028761,-0.057876072,-0.048091116,-0.062131191
06/1973,-0.00777081,-0.006461618,-0.000599708,-0.023524817,-0.03323033,-0.022243355,0.0067501272,-0.021064908,-0.028524478,-0.026505342
07/1973,0.0386861458,0.0587280506,0.1038927546,0.0602394237,0.0587935251,0.0285794304,0.0259511125,0.0896270623,0.0606966994,0.1031241257
08/1973,-0.038921259,-0.040642595,-0.009359412,-0.029084929,-0.040134102,-0.01536166,-0.027914356,-0.034672005,-0.000802174,-0.01602612
09/1973,-0.029938616,0.0518221938,0.0984581326,0.0787082357,0.0948917108,0.0990205481,0.1166420996,0.0837242929,0.145369753,0.1108923289
10/1973,0.0083261005,0.0127833545,0.0092350791,-0.012956349,0.0009847449,0.0137421343,-0.040240277,-0.009276951,0.0202155596,-0.048879835
11/1973,-0.11664553,-0.104776306,-0.125229472,-0.136012845,-0.091429403,-0.113046959,-0.151792268,-0.155458514,-0.146285317,-0.16963604
12/1973,-0.031434299,-0.023668648,0.0111541156,0.0431395957,0.0503794957,0.0516815367,0.0659475968,0.0725083001,0.0639928718,0.0266666612
01/1974,-0.011409855,-0.020747953,-0.011430993,0.0146574291,-0.004951938,0.0100242218,-0.005914142,0.0147972598,0.0686224556,0.1165761614
02/1974,-0.014088066,-0.006125013,0.005861093,0.0317006597,0.0072372569,0.0250178873,0.006465033,-0.009697934,-0.015084382,0.0211963591
03/1974,-0.012153438,-0.010071412,-0.025656896,-0.028917808,-0.041400013,-0.028202917,-0.021217446,-0.013691216,0.0006178593,-0.013876943
04/1974,-0.027416733,-0.032312635,-0.045165365,-0.060995377,-0.056134898,-0.061914948,-0.038034722,-0.023815029,-0.051147784,-0.025951494
05/1974,0.0050300222,-0.022952871,-0.040802643,-0.068246181,-0.043785781,-0.049697374,-0.065612636,-0.065421873,-0.042346518,-0.05839308
06/1974,-0.019999268,-0.012088975,-0.035439537,-0.013565675,-0.012763293,-0.029230182,-0.027499869,-0.031808101,-0.022904291,-0.019653007
07/1974,-0.145782563,-0.121410743,-0.059254367,-0.049139888,-0.044867967,-0.063445474,0.0093085651,-0.023366945,0.001448519,0.0017042373
08/1974,-0.091112375,-0.106645866,-0.084843296,-0.086233422,-0.040154263,-0.083917009,-0.088450324,-0.066690389,-0.079227483,-0.06175464
09/1974,-0.186821606,-0.141456427,-0.09881761,-0.058830186,-0.077951338,-0.065917678,-0.075619853,-0.070740075,-0.086551509,-0.072174913
10/1974,0.1852517115,0.2132003677,0.1594241068,0.1505159798,0.1266069315,0.155288502,0.160519076,0.1282589944,0.1284131182,0.1429074051
11/1974,-0.062381164,-0.045475964,-0.017736074,-0.038550197,-0.041657669,-0.02596803,-0.028301748,-0.048179205,-0.029993587,-0.01202602
12/1974,-0.042092988,-0.045367897,-0.029004601,-0.00621976,-0.021419475,-0.019549662,-0.004325751,-0.010905851,0.0031996926,-0.04212675
01/1975,0.1423663089,0.1248134354,0.1207202723,0.1424601788,0.1207447274,0.1522177187,0.1362678953,0.1666167712,0.1578686562,0.229503368
02/1975,0.0480916258,0.1047741989,0.0567013583,0.0314970297,0.0206318831,0.0135074341,0.0467163309,0.027554464,0.0177867895,0.0379499734
03/1975,0.0347722735,0.0163415372,0.0467992433,0.0077117408,0.0278658664,0.0285833716,0.0142104311,0.012188653,0.0586353498,0.0823426232
04/1975,0.0309282942,0.0402432398,0.0530061064,0.053943983,0.0465114881,0.0203694046,0.0640076543,0.0363846927,0.0715064885,0.0876267808
05/1975,0.0432064694,0.0408326278,0.0579256806,0.0451895463,0.0611069357,0.0860300187,0.0773702135,0.0592995869,0.0348875725,0.058532921
06/1975,0.0830719401,0.050738697,0.0201998648,0.0556259257,0.0572715777,0.0651652135,0.0673781435,0.0888092572,0.0906895701,0.06718393
07/1975,-0.021929079,-0.080066337,-0.085133717,-0.067312729,-0.050149759,-0.047116812,-0.046657674,-0.042991436,-0.043621073,-0.032625
08/1975,-0.047547722,-0.028208569,-0.021138499,-0.018834725,-0.024890342,-0.003675154,-0.017266181,-0.019865199,-0.014955334,-0.035839051
09/1975,-0.084006443,-0.062169476,-0.037040583,-0.035944096,-0.018007455,-0.019968467,-0.00860144,-0.042541088,-0.025213018,-0.025984577
10/1975,0.068139302,0.0870187228,0.0799678269,0.0575755607,0.0559522189,0.0407561806,0.0307051742,0.0346786615,0.027294705,0.0288097098
11/1975,0.0070832661,0.0419967202,0.0379172629,0.0230866408,0.0345447219,0.0081831033,0.0269204367,0.0310329067,0.0205880353,0.0607441581
12/1975,0.0038556031,-0.046103261,-0.008009887,-0.006671233,-0.000191095,0.0005822683,0.00742832,0.0090432946,0.0088631197,-0.00074361
01/1976,0.1946504834,0.1099884085,0.1240780063,0.1450487715,0.0962076333,0.1537714264,0.1258927939,0.1260383622,0.1397225803,0.2206974342
02/1976,0.0553076901,-0.015512029,-0.007521888,0.0185277147,-0.01231336,0.0045953327,0.0179423306,0.0294363772,0.0594097878,0.1030439425
03/1976,0.0539440049,0.0253806469,0.0107779453,0.0209805247,0.028672464,0.0311257808,0.0478699525,0.0209531398,0.023564753,0.0327056013
04/1976,-0.018759422,-0.037060767,-0.023688644,0.007905441,-0.003476063,0.0087273527,-0.006681148,0.0045297902,-0.00430462,-0.008478849
05/1976,-0.037754506,-0.017516327,-0.007905521,-0.009837942,-0.01729333,0.0144659833,-0.004950957,-0.004654468,0.0120340409,-0.012282735
06/1976,0.0192177762,0.0433170566,0.0442351742,0.0587375179,0.0468106781,0.058714606,0.0403861073,0.0474018618,0.0582948209,0.0458166002
07/1976,-0.036145176,-0.012669505,-0.008916661,-0.010299797,0.001300879,0.0032772008,-0.002953341,-0.001686138,0.0100829329,0.0027254795
