date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.028828729,-0.005020131,0.0113629348,0.0052570291,0.0066157559,-0.00667181,-0.004634236,0.0033574882,-0.016941154,-0.000490076
08/1963,0.0672543033,0.0620190158,0.043370714,0.0604446987,0.0468954876,0.0489271905,0.0390299615,0.0627358456,0.0652121242,0.0901389216
09/1963,-0.036094798,-0.024663599,-0.01445826,-0.028376417,0.0040926489,-0.032355648,-0.002173277,-0.015167976,-0.019478568,-0.004294478
10/1963,0.023713717,0.0119993092,0.0396188933,0.0071335347,0.0790336031,0.0326173977,0.0239568551,0.0307222868,0.0103629601,0.0100036354
11/1963,-0.030970185,-0.002730939,-0.040801726,0.0337975371,-0.0115081,-0.013465543,-0.011439757,0.003751234,-0.005184685,-0.002113425
12/1963,-0.023495034,0.0100582186,0.0238992765,0.0267670755,0.0144111294,0.0197451882,0.0083009324,0.0498583586,0.034152072,0.0072845816
01/1964,0.0251456569,0.0292303681,0.0221527033,0.0406627447,0.0306752731,0.0291343588,0.0226651238,0.0062565835,0.0253644983,0.0333219159
02/1964,0.0122566491,0.006314952,0.0142399997,0.0171637853,0.0360387522,0.0219499868,0.0211975556,0.0095834134,0.0319505054,0.011182838
03/1964,0.0232092134,0.045910653,0.0459525688,0.0298557498,0.0071118836,0.0024985241,0.0120547787,0.0316848562,0.0123975825,0.0284417082
04/1964,-0.013402382,-0.006110296,-0.016088856,-0.002122322,-0.009193523,-0.002982038,0.0117658852,0.0178599793,0.0155139479,-0.005951836
05/1964,0.0254502166,-0.001471533,-0.002552676,0.0111266341,0.0201832038,0.0147232094,0.0140229164,0.0376968486,0.0191629353,0.0242260606
06/1964,0.0039443965,0.006889135,0.0185036173,0.0456415499,0.0121761693,0.0047598645,0.0089686187,0.0249953114,0.0210800084,0.0172193517
07/1964,0.0126565434,0.0345791593,0.0051919363,0.0253228489,0.02190006,0.028899102,-0.005866293,0.0291608926,0.0315543713,0.0488815894
08/1964,-0.008160992,-0.019358287,-0.027523645,-0.01505994,-0.018680336,-0.016382525,0.0079103221,-0.009383311,-0.00526997,0.0068467074
09/1964,0.0515706164,0.0417998739,0.0368509215,0.0336610624,0.0269487363,0.0320508128,0.0362300558,0.0002038905,0.0413389126,0.0311621096
10/1964,0.0095277179,0.0056141165,0.0028661985,0.0215511661,0.0139332169,-0.003915478,0.0112315089,0.0188407082,-0.000685045,0.0155273817
11/1964,-0.010249014,-0.011163595,0.0089369033,0.0222283288,0.0110848758,-0.006020826,0.0019627553,-0.005587224,0.0139919059,-0.000841584
12/1964,-0.024136897,-0.005798844,-0.001657904,-0.010346032,-0.002010817,-0.005502439,0.0103428138,0.0125014252,0.0245527917,-0.008305957
01/1965,0.0558418549,0.0254377339,0.0397273059,0.0410902631,0.0319491335,0.0433163224,0.0114137319,0.0477720508,0.0678802518,0.0674385294
02/1965,0.0081769746,0.0079378904,-0.020474307,0.006759271,0.012677396,0.000362964,0.0046089336,0.0170776785,0.0103922815,0.0319151985
03/1965,0.0022080207,-0.007645342,-0.017851787,-0.008678041,-0.014417424,-0.004980448,-0.012752009,-0.010539577,-0.021778214,-0.006832508
04/1965,0.0251211483,0.0461258053,0.0247099477,0.0282515776,0.0350701091,0.043295621,0.0392839707,0.0410141861,0.0243989999,0.0186700759
05/1965,-0.001563389,-0.006269331,0.0148645139,-0.014950621,0.0107033424,-0.010604649,-0.020712457,-0.013286743,-0.002969006,-0.009576796
06/1965,-0.065800667,-0.072612463,-0.058633364,-0.063369632,-0.0534905,-0.041167547,-0.050782963,-0.037698461,-0.036806953,-0.047969571
07/1965,0.0163014988,0.0111819031,0.02998508,0.0221012191,0.0060297314,0.0274869622,0.0122217951,0.0177521957,0.0175345968,0.0252893417
08/1965,0.0320595947,0.0523386604,0.0182385923,0.0448029771,0.02262386,0.0139175041,0.022815919,0.0261957354,0.0238794854,0.0804034907
09/1965,0.0571872027,0.0401673734,0.0449451351,0.0464594797,0.0278912591,0.0176504473,0.0396909584,0.0448232966,0.0346557399,0.012574188
10/1965,0.0619989076,0.03735226,0.038675174,0.0412997194,0.0274435913,0.0404332354,0.0103499595,0.0274023623,0.0312462918,0.0223289278
11/1965,-0.023355561,-0.039783449,-0.002140427,0.001130341,-0.015517151,-0.002173357,0.0126166187,0.0122012885,0.0508987271,0.0713735331
12/1965,0.0101748649,0.0201740822,0.0159824989,0.0150671107,0.0059699538,0.0150582297,-0.012935529,0.022274611,0.0188385785,0.0093204437
01/1966,-0.024668634,-0.014082099,-0.003463801,0.0099538562,0.016684302,0.0010579599,0.01700521,0.0610389753,0.0576335174,0.0674033454
02/1966,-0.021913545,-0.024834477,-0.00798459,-0.004984623,-0.028742187,-0.008274072,0.0036065532,-0.014002212,0.005821315,0.0352510952
03/1966,0.0070257459,-0.038569297,-0.015812549,-0.024752452,-0.025054673,-0.015030133,-0.032590704,-0.012392809,-0.015738769,-0.019924379
04/1966,0.0415159639,0.0282260348,0.0276457955,0.0347501478,0.0325195644,0.0074169719,0.0140569035,0.0128526575,0.0224107477,0.0242221504
05/1966,-0.052166969,-0.050110394,-0.047740323,-0.040373156,-0.03727642,-0.043258018,-0.063951602,-0.069171796,-0.046758457,-0.06965403
06/1966,0.0376686883,0.0092885106,-0.017595757,0.0022991745,-0.01999458,-0.007920513,-0.021494372,-0.007438802,-0.024358263,-0.027911932
07/1966,-0.01992878,-0.012739418,-0.010924402,-0.012691046,-0.015539715,0.0060518419,-0.007425465,-0.004850951,-0.017216183,-0.026342596
08/1966,-0.083605651,-0.072520666,-0.057856616,-0.075380166,-0.069229194,-0.074277938,-0.077939437,-0.082258502,-0.072749646,-0.089045001
09/1966,-0.031199998,-0.016485964,0.0026291552,0.0062236361,0.0018069322,0.0115597631,-0.013354279,-0.026107392,-0.021843196,0.0025120202
10/1966,0.0076387812,0.0656388947,0.0608545045,0.0604995496,0.0873300009,0.0717891956,0.0368426636,0.0516710175,0.0120942443,-0.017666444
11/1966,-0.043673489,-0.018534704,0.0344382025,-0.018050627,-0.000612863,0.0104656606,0.0418141406,0.0403281951,0.0559816492,0.1470064858
12/1966,0.0047667714,-0.009440309,0.009597073,-0.003126798,0.0051721229,0.0334165736,0.0144569297,-0.021069866,-0.001713756,0.0188186137
01/1967,0.0891922656,0.0723396992,0.0563569798,0.0451640805,0.0950100695,0.08338764,0.1217340767,0.1147694221,0.1332370026,0.1158473918
02/1967,0.0034254626,-0.002180408,-0.015262411,-0.009896377,0.0074324113,0.0443612541,0.0010273527,0.0269447701,0.0366104661,0.0097893297
03/1967,0.0629551025,0.0288792215,0.0419778191,0.034575366,0.0395559812,0.038938166,0.0405313988,0.0430793944,0.0695657949,0.0595147465
04/1967,0.0149744414,0.0243158143,0.0350536364,0.052711248,0.024552479,0.0373690477,0.081350708,0.0182399962,0.0543931635,0.0518725078
