date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.0034506398,-0.004515675,-0.014576154,-0.012217247,-0.020389402,-0.011862605,-0.007891339,-0.018110996,-0.005231774,-0.002937738
08/1963,0.0526561735,0.057825755,0.0570833088,0.055371091,0.0443775836,0.0605690674,0.0552169186,0.047899517,0.0340060095,0.0266857631
09/1963,-0.009390428,-0.020054569,-0.016335385,-0.028722471,-0.016459782,-0.016554549,-0.020931278,-0.017673357,-0.019222575,-0.001133991
10/1963,0.0351043132,0.0195719375,0.0090000849,0.016073257,0.0165714538,0.0088972085,0.0283300221,0.0279851346,0.0033792976,0.004927379
11/1963,-0.005357008,-0.002898128,-0.002969164,-0.001965703,-0.017278174,-0.013169689,-0.017186869,-0.005926512,-0.019984474,-0.020756135
12/1963,0.0255037153,0.0191299452,0.0120695097,0.0186699645,0.0056470846,0.0210013741,0.0026890808,-0.000035924,-0.011462721,-0.023203791
01/1964,0.0309682853,0.0117444393,0.0137154338,0.0106134343,0.0128333291,0.0230424468,0.0090185474,0.0258255753,0.0369290447,0.0446259356
02/1964,0.0146755508,0.0200871797,0.0315155146,0.0273250831,0.0232920734,0.0226001252,0.0339660652,0.0279961752,0.0246949213,0.0260030238
03/1964,0.0125959166,0.0189773382,0.0305980135,0.028192712,0.0318867475,0.0426845905,0.0339202989,0.0396124892,0.0228203212,0.023014746
04/1964,0.0090136756,-0.004642416,-0.009032571,0.0022704169,-0.004247037,-0.009993341,-0.007455264,-0.006243149,-0.006262517,0.0005798513
05/1964,0.017245043,0.0104753594,0.0207680313,0.0213454565,0.0083518634,0.0167896772,0.0270142421,0.0190862522,0.0029930802,0.0082662908
06/1964,0.016536482,0.0145595934,0.0119744941,0.016526952,0.0192162136,0.0088409768,0.0141344022,0.0121643026,0.0113484294,0.0113023641
07/1964,0.0167351397,0.0341035192,0.0212207778,0.020430047,0.0295250221,0.0188987107,0.0166458162,0.0373740799,0.0262503029,0.037320065
08/1964,-0.013133529,-0.013014516,0.0012913505,-0.006853156,-0.009669431,-0.00706261,-0.017463089,-0.007196593,-0.00889631,-0.005198452
09/1964,0.0277024339,0.0316316177,0.038052056,0.0363110284,0.0296660078,0.0283406421,0.0316915829,0.0286602321,0.0379401965,0.0513238538
10/1964,0.0064016301,0.0080272864,0.0174974799,0.0128471098,0.0264977248,0.0151084215,0.0120653002,0.0119267598,0.0181853108,0.0260738271
11/1964,0.0030376632,0.0024602263,0.0018862919,0.0003501234,0.0079304053,0.000582131,-0.015171557,0.0045782357,0.002912718,0.0006596011
12/1964,0.0073131249,-0.002143638,-0.002594074,-0.003658165,-0.006059036,-0.001717994,0.0016954682,-0.009812992,-0.023185896,-0.016483701
01/1965,0.0305628555,0.0459546147,0.0530850115,0.0519179683,0.0576350945,0.0559512191,0.0608977393,0.0630536092,0.0658549435,0.0827368279
02/1965,-0.003806733,0.0256155169,0.0283340574,0.0268393439,0.0314562337,0.0450423992,0.04095805,0.0370164358,0.0251715927,0.0318722387
03/1965,-0.015098676,-0.005913432,-0.001512096,-0.000622798,0.0034380398,0.0063789256,-0.000736329,0.0117492046,0.0251540541,0.0241228555
04/1965,0.0338010847,0.0277384707,0.0342631327,0.0377750627,0.0346449626,0.0486074548,0.0481900641,0.0347795803,0.0427258511,0.0526402797
05/1965,-0.003272212,-0.003775104,-0.008256943,-0.007392568,-0.003315809,-0.007247049,-0.003473227,-0.012615895,-0.014567705,-0.00207244
