date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.0012459509,0.0165960164,0.0033542864,0.0043704613,-0.002038729,-0.021690735,-0.013343932,-0.018733566,-0.020538889,-0.006043233
08/1963,0.0454846274,0.0411429043,0.0486606723,0.0597083291,0.0694526817,0.0715494664,0.057740146,0.0470633056,0.0834126727,0.0431303433
09/1963,-0.002030703,-0.029466048,-0.023706624,-0.004787137,-0.016817047,-0.015235613,-0.005142626,-0.021049045,-0.009069411,-0.033984103
10/1963,0.0330323111,-0.009433065,0.030700153,0.0604482997,0.0219971876,0.0337640697,0.0157337625,0.017600792,0.0388512023,0.0096021224
11/1963,0.0180277074,-0.0128953,-0.011324131,-0.029285906,-0.011137901,-0.007688018,-0.000037524,0.0111230484,-0.004889765,-0.003218087
12/1963,0.0213760248,0.0213261612,0.0367257327,0.0264160796,0.0377934128,0.0045069834,0.0067158911,0.0141189852,-0.014335265,-0.008943267
01/1964,0.0349319894,0.0296328164,0.0135383737,0.0348898551,0.0125601361,0.0270027872,0.0225694447,0.0010282181,0.0051632618,0.0049742302
02/1964,0.019348556,0.0051412947,0.0043264181,0.0128911248,0.0375432582,0.0165380451,0.0241277281,0.0213655052,0.075741357,0.0321765453
03/1964,0.0005248529,-0.004683298,0.0312202303,0.0218651325,0.027547951,0.0498795809,0.0529296856,0.0551905709,0.0270476552,0.0230954753
04/1964,-0.000806881,0.0355783777,-0.015218847,0.0230154686,0.0123318226,-0.03006952,0.0014623082,-0.030681936,-0.008596237,0.0284042407
05/1964,0.013453052,0.0046009065,0.0081547606,0.0189921915,0.0337025819,0.0097244962,0.0191436021,0.0142177838,0.0190268921,0.0449090424
06/1964,0.0233444932,0.0129139441,0.0020990426,0.0143685761,0.0187170931,0.0221271564,0.0278667688,0.0349975539,0.020989262,0.018715938
07/1964,0.0059808665,0.0319478758,0.0179247098,0.0458036255,0.0168981161,0.013250021,0.0283586927,0.0177950703,0.0162337343,0.0211466686
08/1964,-0.020675816,-0.01366337,-0.014894692,0.0033359277,-0.015558207,0.0011989257,-0.012275002,0.0237983017,-0.005026636,0.0117403784
09/1964,0.0159078491,0.0270705461,0.0288777496,0.0346056012,0.0473440679,0.0465976817,0.0384369102,0.0453122631,0.0613701711,0.041095359
10/1964,-0.002764226,0.0125168751,0.0121631441,0.0149773491,-0.000983408,0.0141578752,0.0193906561,0.0143250853,0.024055112,0.0187321098
11/1964,-0.009552797,0.0228887442,0.0238633272,-0.007647393,-0.00202485,-0.000083514,0.0008528428,0.008918876,-0.018648728,0.0078415758
12/1964,0.0166272636,-0.001274124,0.0034551002,0.0086346733,-0.007973647,0.0043710422,-0.011597298,-0.009164617,-0.009965418,0.0144263448
01/1965,0.0459592866,0.0194262924,0.0251814459,0.0405224379,0.0301814266,0.0521042086,0.0614544045,0.0327658236,0.0512759725,0.0435423773
02/1965,0.0061575623,-0.001062992,-0.004375834,0.0061089855,0.0081834991,0.0255136751,0.0186766146,0.0303656795,0.0223066181,0.0193088159
03/1965,-0.016375132,-0.017935165,-0.018566453,-0.008232151,0.0044731854,0.0086257165,-0.005190652,-0.003586771,0.0085737502,-0.01053494
04/1965,0.0344376176,0.0135563774,0.0350834831,0.0538119603,0.0219078268,0.0419343658,0.0432742549,0.0364054101,0.0655378216,0.0632646029
05/1965,0.0102498997,-0.009221248,-0.002525617,-0.016397906,0.0007939011,-0.00439623,0.0061744122,-0.014734648,-0.012364632,-0.000884181
