date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.0057071651,-0.00389653,0.00297048,-0.005377174,0.0043694397,-0.006317013,0.0105707157,0.0097559004,-0.00989813,-0.006959986
08/1963,0.0414973814,0.040851918,0.0439215939,0.0585356277,0.0472897005,0.0687639413,0.0699637468,0.0625072022,0.0602101269,0.0824351867
09/1963,-0.027700803,0.0066124823,-0.018659081,-0.019541457,-0.005964292,-0.019432795,-0.012106925,-0.029196774,-0.030423862,0.0030113315
10/1963,-0.009983706,0.029035001,0.0102503106,0.0069533808,0.0405248703,0.0410659439,0.0815664511,0.013026727,0.023385679,0.0410386207
11/1963,-0.004389103,0.0056425639,0.0329617617,0.002929703,-0.009184892,-0.042688914,-0.024645532,-0.009833656,-0.010684142,-0.015131114
12/1963,0.0321171828,0.0198511854,0.0327331831,0.0224709242,0.0419111306,0.0287881493,0.0020322341,0.0154691036,0.0092086605,0.0037684136
01/1964,0.0169456943,0.020044167,0.0145768254,0.0245306835,0.0450152324,0.0228613586,0.0378026979,0.0244700146,0.00766724,0.0097764158
02/1964,0.008419722,0.0141143179,0.0280775473,0.0315443195,0.006660794,0.0073031283,0.0239234018,0.0330619629,0.04511509,0.0509669242
03/1964,-0.003528991,-0.005043402,0.0356237433,0.0399126367,0.004857857,0.0226070285,0.0285008097,0.0321475891,0.0171042531,0.0594232843
04/1964,0.0036958934,0.018955357,0.0239979399,-0.004195029,0.0081554225,0.0060535875,0.0020998877,-0.014993222,-0.011793766,-0.021360465
05/1964,0.0107569827,-0.003302472,-0.002506414,0.0135750132,0.0207708273,0.0256981788,0.0183713858,0.026657429,0.0342015132,0.0331561287
06/1964,0.0196756505,0.0252909317,0.0333935827,0.0122410101,0.0104525578,0.0042931857,0.0020338781,0.0153905255,0.0175339892,0.0218180844
07/1964,0.0496529157,-0.002144642,0.0286072424,0.0226592037,0.0531841101,0.0121471402,0.0053742875,0.0246728255,0.0196433495,0.0095648888
08/1964,0.0046205383,-0.011410343,-0.0188049,-0.00709608,-0.008419096,-0.027502674,-0.003037873,-0.017257304,-0.005990344,0.0002303667
09/1964,0.0271264302,0.0141679999,0.0376206267,0.015574653,0.044691424,0.0347067792,0.0471619621,0.0518631678,0.0243445351,0.0330532631
10/1964,0.0093652502,0.0042293516,0.0164196479,0.010251356,0.0069831695,0.0031611668,0.0129964165,0.0094310208,0.0146971183,0.0410504188
11/1964,-0.014775145,0.0011322033,0.0146586266,0.0223865894,0.0197469016,0.0144646939,-0.011435127,0.0171095982,-0.00151095,0.0132146703
12/1964,0.0235758683,-0.002917397,0.0039713507,0.000793135,-0.000101419,0.0140527197,-0.001146485,-0.006582671,-0.007757578,-0.008762987
01/1965,0.0203496186,0.0563584384,0.0250984809,0.0277427401,0.0363642763,0.0455895648,0.0342330635,0.0384894084,0.0673756516,0.0577439908
02/1965,0.0099797675,0.0149889399,-0.011281401,-0.000067393,-0.001579187,0.0031143096,0.0202521747,0.0058519864,0.0027233856,0.0500898141
03/1965,-0.014667761,-0.024482078,-0.005036951,-0.020957802,-0.003747317,-0.016436578,-0.008515442,0.0030619262,-0.00624544,0.0084193992
04/1965,0.0152744615,0.0152182887,0.0532059899,0.0201526836,0.0523327946,0.038073765,0.0576784202,0.0524610387,0.0414396116,0.0601210002
05/1965,0.0114593664,-0.005711883,-0.019104255,-0.005966501,0.0038311594,-0.010144523,-0.000157671,0.0030637539,0.0019749101,0.0062133602
06/1965,-0.01952405,-0.039159123,-0.055011043,-0.049468627,-0.047185307,-0.054572367,-0.069981859,-0.068745127,-0.07677023,-0.093196821
07/1965,0.0035592426,0.0038440824,0.0066831717,0.0193879563,0.0102761805,0.033521345,0.0213019925,0.0459185105,0.0456827057,0.0491464636
08/1965,-0.000598672,0.0305952625,0.019296609,0.0336103935,0.0384790499,0.053724193,0.0363442413,0.0504923686,0.0411491117,0.061785836
09/1965,0.0383407865,0.0249258342,0.0321272979,0.0392064969,0.0200121965,0.0365691146,0.028458421,0.0393226563,0.0572402607,0.0692522842
10/1965,0.0145702953,0.0145457728,0.0074021308,0.0384201678,0.0144250426,0.0343619253,0.0554018844,0.0697675743,0.0405362391,0.0715164348
11/1965,-0.012879891,0.0063220567,-0.022536024,-0.021923953,0.0159102396,0.0109077657,0.0028618249,0.0358902651,0.0578462039,0.0938512411
12/1965,0.0070147712,0.0020213433,0.0096091186,0.0162775101,0.0191343969,-0.009742966,0.0357378843,0.0025320286,0.0153398625,0.0265962684
01/1966,-0.019488123,-0.00978803,-0.00970564,-0.002907444,0.0261461057,0.0239221733,0.0274690658,0.0517100714,0.0589175382,0.0518262911
02/1966,-0.04331744,-0.017335956,-0.026002641,-0.007112301,-0.02562535,-0.011974997,0.0177678694,0.0395684286,0.0166294003,0.0754080861
03/1966,-0.001588267,-0.042744393,-0.009342642,-0.011434376,0.0001148157,-0.026216518,-0.019131942,-0.000506579,0.0026100131,-0.006924752
04/1966,0.0184008704,0.0090485243,0.0131676055,0.042775876,0.0328735186,0.0348715827,0.0269932977,0.0478181713,0.0321080863,0.0730173585
05/1966,-0.032936766,-0.043499355,-0.045379232,-0.039253327,-0.047483894,-0.073008625,-0.069605602,-0.081383767,-0.086535317,-0.101939892
06/1966,-0.022323215,-0.024472852,-0.004902296,-0.02301066,-0.008471627,-0.002902151,0.0070152615,0.0176706826,0.0090557884,0.0597387735
07/1966,-0.002646337,-0.012127144,-0.020960581,-0.010517757,-0.00404555,-0.016732453,0.0006468029,0.0022871887,-0.006832214,-0.002000823
08/1966,-0.094541813,-0.083342453,-0.061637069,-0.051154858,-0.078072719,-0.062492871,-0.069575779,-0.071992696,-0.074368091,-0.093150239
09/1966,0.0231143427,0.0009770107,-0.0102687,-0.049950926,-0.000832063,0.0028946056,-0.017611083,-0.007597539,0.0080326153,-0.001538175
10/1966,0.0562216079,0.0541463027,0.0453125568,0.051767765,0.0645521592,0.0611210382,0.0272619672,0.0335262656,0.0337566232,0.0155757333
11/1966,0.0594896968,0.0076428214,-0.025765517,0.0151126904,-0.024723928,0.0224460212,0.0434776033,0.040861807,0.0086992263,0.0004985409
12/1966,0.0450563731,0.0178601688,0.001720534,-0.009151287,0.0257089635,-0.014084668,-0.011453977,0.0170185614,-0.00507127,-0.010856394
01/1967,0.1237504373,0.1013550892,0.082986885,0.0515412136,0.062180797,0.1030683714,0.0727198087,0.0737558865,0.0601463855,0.100896312
02/1967,-0.004691166,-0.006718589,0.0030887504,-0.014839052,0.0198576809,0.0053757809,0.0167248299,0.0412719729,0.0123459032,0.0343251733
03/1967,0.0240245364,0.045510543,0.0175991319,0.0539551578,0.0432423245,0.0457360966,0.0498469596,0.0629795012,0.0450402992,0.0545544365
04/1967,0.0444636395,0.0734748819,0.0365630588,0.0106240285,0.0128365966,0.0318308115,0.0533540563,0.0826675791,0.0554518381,0.0381397847
05/1967,-0.043887306,-0.057215378,-0.0483639,-0.031423601,-0.03760964,-0.033006317,-0.03341561,-0.044905426,-0.039858748,-0.011957213
06/1967,-0.023171198,0.011544599,0.006048668,0.0236045173,0.0289605332,0.0253296362,0.0527836282,0.0644305342,0.072016689,0.0766193737
07/1967,0.0292630446,0.0279461856,0.048196235,0.0753636394,0.0374560209,0.064567993,0.0561976386,0.0627941765,0.0779593011,0.0815182135
08/1967,-0.013094576,-0.011100967,-0.007655477,-0.006840191,0.0077218232,-0.012329263,0.0031845634,-0.000400757,-0.016981242,-0.002663637
09/1967,0.0078015519,0.0369544339,0.0353298185,0.043899319,0.0059989883,0.0594617566,0.0302504896,0.0382838844,0.051429368,0.0593418776
10/1967,-0.046602098,-0.030671553,-0.032399718,-0.034413814,0.0064977262,-0.030139706,-0.030112689,-0.046086128,-0.016186235,-0.001085115
11/1967,0.0454640748,0.0071294626,0.0064429621,-0.011787516,-0.012444651,0.0158512732,0.006094979,0.0087396101,0.0282538719,0.0046066202
12/1967,0.03155029,0.025347519,0.0257300101,0.0348526363,0.0094973081,0.0419314006,0.0329043741,0.0478765938,0.0586232429,0.0586060075
01/1968,-0.025610067,-0.016901548,-0.036070437,-0.050097751,-0.027430181,-0.052875923,-0.045913132,-0.074839984,-0.072635516,-0.023647506
02/1968,-0.033433255,-0.034112173,-0.037319641,-0.02947147,-0.016580194,-0.037889924,-0.032688458,-0.038628729,-0.030042896,-0.042333712
03/1968,-0.017144979,0.0004005015,-0.006104441,-0.005996944,0.0180247574,0.0212759776,0.0274513492,0.0134670381,-0.00526386,0.01119954
04/1968,0.0671581165,0.0919350806,0.0804381719,0.0821262153,0.076367691,0.0774784404,0.1039626548,0.1227057637,0.1537107976,0.1291377263
05/1968,0.0153345051,0.0048887992,-0.002444145,0.0249467214,0.0174019883,0.0310601927,0.0203424011,0.0329699658,0.0554943592,0.0687649123
06/1968,0.0160750034,0.0092590543,0.0241254777,0.0142582318,0.0046461225,-0.003846131,0.014622739,-0.006282068,-0.008895467,-0.002785183
07/1968,-0.037713744,-0.024037817,-0.032370223,0.0003254646,0.0015762078,-0.030603418,-0.040492009,-0.025238829,-0.005410057,-0.0204837
08/1968,-0.000500524,0.0108294097,0.0147593211,0.0158011744,0.0172038565,0.0072633861,0.025145998,0.0366013954,0.0342289399,0.0458303105
09/1968,0.0501657807,0.037489434,0.0438714787,0.0492613837,0.0408539135,0.043000415,0.0204707838,0.055227147,0.0641327356,0.0805268138
10/1968,0.0046268067,0.0186154345,0.0311252549,0.001949848,0.0086447694,-0.026074158,0.0264232896,0.0113673493,0.0244013149,0.0003687334
11/1968,0.0853402815,0.0765126501,0.0637335515,0.0418535176,0.0629095607,0.04408144,0.0404921093,0.070229886,0.0648493172,0.0739818483
12/1968,-0.040278031,-0.049049007,-0.047294079,-0.0340354,-0.02766236,-0.04187356,-0.021932213,-0.023530785,-0.022247504,-0.018547251
01/1969,-0.020156874,-0.027030021,-0.005164156,0.0047825178,-0.007638449,0.0006206657,-0.001146826,-0.002183331,-0.018055837,-0.022466657
02/1969,-0.08268461,-0.03511488,-0.025675401,-0.053462561,-0.053588058,-0.052251912,-0.040910651,-0.059914634,-0.076671826,-0.087435669
03/1969,0.0122162665,0.0279810121,0.0389119569,0.0359998834,0.023376527,0.0377504191,0.0704036991,0.0307660309,0.0322787288,0.0353096657
04/1969,0.0148472676,0.0288818736,0.0074203268,0.0085925199,0.0248677758,0.0303868268,0.0190800086,0.026360228,0.0193654472,0.0232524375
05/1969,-0.020006836,0.0045703232,-0.011867156,-0.006370061,0.0219433234,-0.00533179,0.0242934748,0.0115466695,0.0138142118,0.0004757684
06/1969,-0.098478602,-0.081588804,-0.082187468,-0.061001332,-0.055409587,-0.072578274,-0.028361277,-0.055852219,-0.063682844,-0.086647592
07/1969,-0.111539139,-0.081298951,-0.04687755,-0.055064297,-0.044829203,-0.062933508,-0.046526303,-0.067437619,-0.058626716,-0.063156691
08/1969,0.0750320315,0.0652740332,0.0502510434,0.021811332,0.0327883282,0.0402062965,0.0442866804,0.046548313,0.0548908089,0.0575475811
09/1969,-0.057772383,-0.039324453,-0.048479097,-0.039708199,-0.037169389,-0.023612366,-0.027730402,-0.011425773,-0.015739101,-0.02742087
10/1969,0.0952540907,0.0976224995,0.0772938233,0.0552019173,0.046901369,0.0451222628,0.0265464695,0.0519797216,0.0555050184,0.0504619205
11/1969,-0.068379659,-0.042031921,-0.051593135,-0.043148034,-0.04599011,-0.043293013,-0.038490372,-0.02240769,-0.009956279,-0.019519595
12/1969,-0.058206507,-0.016453571,-0.03378806,-0.030701919,-0.028069764,-0.027148529,-0.020031396,-0.003394209,0.0217163984,-0.013795535
01/1970,-0.126260971,-0.113566006,-0.09298362,-0.080598326,-0.085507583,-0.073852768,-0.066638363,-0.058550518,-0.068762194,-0.048401131
02/1970,0.0312858641,0.0831509454,0.0715200852,0.0468750165,0.0685615867,0.0806030528,0.0672347188,0.046424229,0.0500135951,0.0405363058
03/1970,-0.03519045,-0.000388316,0.0027095991,0.0264243322,0.0056223881,0.0052967564,0.005328733,-0.022377502,-0.027099162,-0.016465731
04/1970,-0.168446058,-0.113151884,-0.070442408,-0.113653347,-0.100485306,-0.10178524,-0.084311211,-0.091556142,-0.10289123,-0.095841606
05/1970,-0.072258203,-0.086017493,-0.019805937,-0.044290046,-0.069396891,-0.072290761,-0.064617876,-0.059189528,-0.058081064,-0.067892101
06/1970,-0.113878668,-0.078163033,-0.077547609,-0.102167347,-0.06714824,-0.020449457,-0.025943101,-0.039042581,-0.043416768,-0.007730386
07/1970,0.1013598999,0.0701568473,0.0722111234,0.1089040854,0.0344292073,0.0785059217,0.0814026569,0.0763153877,0.0915306008,0.0727805907
08/1970,0.08450044,0.0697172637,0.0603897532,0.0622341374,0.038129633,0.0369869149,0.0347738556,0.0460302642,0.0374528065,0.063585184
09/1970,0.1417819126,0.0534192421,0.0394935499,0.0671045469,0.0487137259,0.0602628051,0.053694915,0.0153580091,0.0087855016,0.0153032574
10/1970,-0.064407006,-0.060122396,-0.021692464,-0.009140975,-0.016527922,0.0064175928,-0.022746153,0.0017055554,-0.00413417,0.0043102437
11/1970,0.0523890337,0.0591223143,0.0555302241,0.0318070265,0.0484133591,0.0501770411,0.0618216864,0.0639992003,0.0442801224,0.0520629201
12/1970,0.0544016206,0.0878699649,0.0965592401,0.0810084199,0.0967356833,0.0461532002,0.050263914,0.0526095507,0.043951928,0.0520846243
01/1971,0.0693962876,0.0643539736,0.0665291632,0.0554005857,0.0436944562,0.0715840592,0.030329265,0.0280714323,0.0336247947,0.0628639373
02/1971,0.001793168,0.0100417047,-0.001086557,-0.008920304,0.0261531265,0.0134613066,0.0409895283,0.0459261395,0.0381624398,0.0401181021
03/1971,0.0384525064,0.0539919506,0.0254776726,0.029118897,0.0534371713,0.0395313292,0.0636140738,0.0616603144,0.0422867161,0.0617696784
04/1971,-0.00960741,0.0250562328,0.0420391535,0.0450427989,0.0241995381,0.0527561111,0.0509268191,0.0703425633,0.0499779501,0.0373038978
05/1971,-0.048864573,-0.034589653,-0.036753435,-0.041537439,-0.042252931,-0.02075113,-0.02215671,-0.032639862,-0.041016778,-0.04509937
06/1971,0.0127991336,0.0142303117,0.0011751905,-0.006083625,-0.003088374,0.0203635002,0.0086349349,-0.013441394,0.0068612641,-0.011684439
07/1971,-0.029456509,-0.035021593,-0.033687924,-0.029657205,-0.040220592,-0.067317098,-0.048699028,-0.053137358,-0.083758679,-0.071405896
08/1971,0.0262805001,0.0046814459,0.0155828888,0.0454605939,0.0650355739,0.0774406961,0.0737896316,0.0524485401,0.0502827041,0.0870089104
09/1971,-0.012583726,-0.028759062,-0.014752051,0.0013110206,-0.002005025,-0.006738948,-0.000409724,0.0030795584,0.0054837856,0.0046540565
10/1971,-0.019030984,-0.045024322,-0.034932231,-0.045831841,-0.052325514,-0.054399161,-0.03566985,-0.02901185,-0.040144685,-0.028529465
11/1971,-0.02984505,-0.007432137,0.009895487,-0.00223053,-0.005839146,0.0058699032,0.0056725328,0.0015425248,-0.000689115,-0.015585114
12/1971,0.1243473847,0.0828066519,0.0969895429,0.088581121,0.0871879864,0.0934380453,0.0858039379,0.0866699874,0.0980965124,0.0995527729
01/1972,0.0384098701,0.0214036251,0.0133371564,0.0098029365,0.0302002224,0.0391536672,0.0316986754,0.0002187397,0.0463739224,0.0399076698
02/1972,0.0442219451,0.005089598,0.0202807058,0.0269059573,0.0177131855,0.0220560786,0.0598511435,0.0631172416,0.0539518187,0.010471151
03/1972,-0.015794747,0.0073418238,-0.026398245,-0.001645391,0.017833099,0.010688983,0.0261769342,0.0110251735,0.0016363066,0.0040788424
04/1972,-0.018050634,0.0106535476,0.0041832765,0.0029774548,0.010109503,0.0052383235,0.0141992184,0.0170540662,0.0042736128,0.0049811009
05/1972,-0.018886442,0.006547945,0.0197552529,0.0086160239,0.0328972382,0.0170962101,0.0326370502,0.0251721159,0.0154808564,0.0278806578
06/1972,-0.028187947,-0.043719497,-0.017866625,-0.011524414,-0.020048306,-0.015225567,-0.0153333,-0.019043563,-0.030179841,-0.024621487
07/1972,-0.021025026,-0.017072265,-0.030713282,-0.004566062,0.0035471955,0.0238770936,0.0080575456,-0.006092861,-0.017635726,-0.023534436
08/1972,0.0733807756,0.0382771129,0.0690484232,0.0598263121,0.0306968348,0.0389149265,0.0154928978,0.0062713573,0.0072895092,0.0186270034
09/1972,-0.018453466,-0.025042148,-0.022269093,-0.006082027,-0.01329335,-0.008119375,-0.013179422,0.0048012716,0.0017062522,-0.01292611
10/1972,0.0119493799,0.032654983,0.019381868,0.0143641647,0.0202264671,-0.01792457,0.0082968576,0.0048868525,0.0240608103,0.0084241268
11/1972,0.0655625201,0.0730090549,0.0559777976,0.0628767428,0.0773631505,0.0629735606,0.0292558324,0.0412786911,0.0439575179,0.0473364333
12/1972,-0.026858453,-0.006150199,0.0038899899,-0.002620111,0.0071750658,0.0019239485,0.0096881234,0.0285551252,0.0306893639,0.0077545025
01/1973,-0.106225513,-0.084402968,-0.055833438,-0.030895774,0.0195969249,-0.032194153,-0.034462808,-0.006338932,0.0193054836,-0.030750936
