date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.0098891679,-0.000062061,0.0028265193,0.0009393784,0.0043239388,-0.01019866,-0.011175788,-0.011289543,0.0071690224,-0.005632492
08/1963,0.0449699443,0.037594182,0.0532440602,0.0563643003,0.0690389562,0.0746264049,0.0629718051,0.0686410296,0.0562975409,0.0567752736
09/1963,-0.030151566,-0.003422152,-0.016384668,-0.013203989,-0.001112949,-0.005711731,-0.030437534,-0.003543354,-0.019330033,-0.011258187
10/1963,-0.008229015,0.0210536806,0.0735478961,0.043099951,0.0066277504,0.0175569628,0.0158505687,0.0443403544,0.015603862,0.0120193092
11/1963,-0.007715102,0.0220025673,-0.022877538,-0.007401842,-0.011720941,-0.013495678,-0.014231476,-0.023366535,-0.008171599,0.000116575
12/1963,0.0269485544,0.0178996021,0.0332064668,0.0284248108,0.0104686228,0.0089139311,0.0417246011,0.0208991151,0.0126239507,-0.015123014
01/1964,0.0178204792,0.0286920545,0.0376488275,0.0382510148,0.0373417408,0.0058517155,0.0118252681,0.0039346008,-0.004214348,0.0244926713
02/1964,0.0138433226,0.0082466584,0.008527129,0.025480701,0.0214853884,0.0269614121,0.0423356193,0.0512665645,0.0206314458,0.0517877507
03/1964,-0.01102678,0.000940751,0.024408869,0.0332554209,0.0245740904,0.0315649456,0.0199752113,0.0221728445,0.0493199337,0.0268677165
04/1964,0.0091587538,0.0142344588,0.0159120872,-0.02565579,-0.006574644,-0.01134291,-0.002667429,0.0319439123,-0.007754925,0.0273534468
05/1964,0.0049066729,0.0025308855,0.0165989129,0.0129505557,0.0329891544,0.010519097,0.0243522878,0.0527919352,0.0226118152,0.0005951567
06/1964,0.023607936,0.0293649123,0.0073368325,0.00797875,0.0197609379,0.0124363718,0.0137933263,0.0180984019,0.0187553493,0.020081397
07/1964,0.0584899093,0.0001636086,0.032944432,0.010134486,0.0288123121,0.0226086633,0.022223259,0.0053065152,0.0198318792,0.0293886103
08/1964,-0.00538334,-0.011430408,-0.008196688,-0.021911524,-0.015495935,-0.01196572,-0.007216953,0.0088308665,-0.005043148,0.007617128
09/1964,0.0200969445,0.0121290336,0.0384399117,0.0236897256,0.0397282062,0.0278993775,0.0390274683,0.0178709546,0.0547349656,0.0422299046
10/1964,0.0051432532,0.0123443898,0.0154755757,-0.010179911,-0.001546723,0.0302430136,0.0090953978,0.0183566606,0.0262501887,0.0129309033
11/1964,0.0076760239,-0.001013149,0.0119232126,0.0029141602,0.0002676038,0.0133458626,-0.003034049,0.0076559634,-0.015457652,0.0113842686
12/1964,0.0014170832,0.0119393986,0.0126060691,0.0045659684,-0.004065729,0.0051399362,-0.009385651,-0.021318166,-0.012788689,0.0036743127
01/1965,0.0410776327,0.0114844,0.0298387356,0.0439966583,0.0567846639,0.0484356938,0.0526337559,0.0593946335,0.0561450436,0.0490710748
02/1965,0.0037823477,0.004066887,-0.006481501,0.0078106882,0.0145070559,0.0121089055,0.0150791964,0.0421165624,0.0128935193,0.0342024836
03/1965,-0.007226052,-0.015899072,-0.015627942,-0.015317676,-0.0137443,-0.002109767,0.0075216456,-0.016547494,0.0055866693,0.0051620969
