date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.008403252,0.0127338459,0.0010521556,-0.002349461,0.0128508226,0.0062540978,-0.00571158,-0.001734339,-0.01236688,-0.020016128
08/1963,0.0575519122,0.0529492565,0.0536571341,0.0392472871,0.0533995507,0.0636679064,0.0715419345,0.0455614708,0.0714060377,0.0605511265
09/1963,-0.007618919,-0.021232865,-0.028451351,-0.004113719,-0.004746053,-0.008233109,-0.02066739,-0.015022372,0.0004384234,-0.024665274
10/1963,0.0388619481,0.0672481683,0.0124695156,0.0256513894,0.0158998288,0.0086415933,0.0137056725,0.022062159,0.0123432769,0.0144567888
11/1963,-0.016768584,-0.005536852,-0.005461005,0.0168703009,-0.01274215,-0.018501521,-0.009673886,-0.000487886,-0.019992448,0.0095476759
12/1963,0.0190862817,0.0346180133,0.0297861153,0.0249088731,0.0161340035,0.0137203463,0.0170992025,0.0266051726,0.0240158042,0.0019084883
01/1964,0.0325659111,0.0211729744,0.0161122265,0.0358735166,0.0225895294,0.0287058575,0.0012573863,0.0236328238,0.0405072938,0.0177935577
02/1964,0.0221169535,0.0128570887,0.0219632154,0.0041192894,0.0196303598,0.0207709259,0.0389454512,0.0249807799,0.0427324337,0.0428435872
03/1964,0.0072749513,0.0147163114,0.0355709045,0.0032378173,0.0236989362,0.0528388589,0.030795822,0.0360078438,0.0364650134,0.0365560909
04/1964,-0.020101669,0.0182071466,0.028897346,0.005988546,0.0316626834,-0.006217595,0.0084174467,-0.017137644,0.0344563277,0.0030049071
05/1964,0.0188017022,0.0218485328,0.0109509012,0.005701219,0.0078473407,0.0033304215,0.0200461978,0.0296678167,0.0096059628,0.0289064228
06/1964,0.0063802002,0.0176383238,0.010671109,0.033477904,0.0135392181,0.0153070964,0.0223161623,0.0163973874,0.0205855447,0.0397757848
07/1964,0.025111713,0.0272584705,0.0383078656,0.0021158846,0.0234880988,0.0341103705,0.0162769609,0.029342983,0.03628909,0.0062434827
08/1964,-0.010984585,-0.021307988,0.0005285802,-0.01856599,-0.008027498,0.0082398614,-0.012470684,0.0043276793,-0.012840465,-0.01698448
09/1964,0.0291920694,0.0300887323,0.0313331239,0.0110794357,0.0294453979,0.0439370249,0.0366984385,0.041508661,0.0496436844,0.0714366175
10/1964,-0.000118772,0.0135921621,0.0153011987,0.0105563155,0.0183171364,0.0139720499,0.0123762997,0.0031879718,0.0118918506,0.0298892805
11/1964,0.0063342525,0.0245215952,0.012132368,0.0108082175,-0.009899101,0.0162235173,0.0025947423,-0.006587421,-0.04343079,-0.035553818
12/1964,0.0156480174,-0.007972085,-0.001403979,0.0033560021,0.0223862744,-0.009318899,-0.007452293,-0.02232137,-0.018768449,-0.020100977
01/1965,0.0554381361,0.0281665502,0.0346581579,0.0042746345,0.0285141031,0.0437794814,0.034850568,0.0478241791,0.0555470704,0.0611440541
02/1965,0.0047342924,0.0188899798,-0.001264361,0.0140431009,-0.004125075,0.0089899392,0.0054568182,0.0157243998,0.0199126845,0.0034371037
03/1965,-0.018781273,-0.001194104,-0.009969419,-0.002596264,-0.024219336,-0.017686302,-0.004439196,0.0010767321,0.0046298174,0.0100145736
04/1965,0.0583833205,0.0248290262,0.013839496,0.0243059899,0.0218818832,0.0400961189,0.034393328,0.0201009925,0.0365888198,0.0636988936
05/1965,-0.010882797,-0.008782861,-0.004394131,-0.004296264,0.0202609263,0.0017715745,0.0072453056,0.0041846971,-0.02290462,-0.037897537
06/1965,-0.04973979,-0.063700401,-0.032739444,-0.049744742,-0.04491959,-0.032405174,-0.059551044,-0.038377274,-0.046696698,-0.067755561
07/1965,0.0204050441,0.0077616288,0.0083577029,0.0252465978,-0.00013468,0.0088422182,0.03876153,0.0334380743,0.0254742595,0.0419206453
08/1965,0.0365688723,0.0317513504,0.0294999171,0.0242484004,0.0094878854,0.0464140322,0.0291288988,0.0338460343,0.0240353853,0.0220421789
09/1965,0.0408854607,0.0417978208,0.0315461042,0.0374399726,0.0258476903,0.0226373757,0.0199993595,0.0346851001,0.0291781129,0.0537770405
10/1965,0.0410339035,0.0329732875,0.0175938582,0.0167495957,0.0244801343,0.0013893421,0.0385599318,0.0389365401,0.0502690202,0.0637817901
11/1965,-0.000834179,0.0158742793,-0.000948902,0.0175945355,0.006022883,-0.030691276,0.0009837996,0.02752214,0.0013373097,-0.021618887
12/1965,0.0119382035,0.0031695703,0.004140999,0.0089399029,0.005808053,0.0008603093,0.0184608061,0.0257597391,0.0751707975,0.0298488785
01/1966,0.016783282,-0.015007812,-0.005512367,0.0136360209,0.0072670961,0.0034058496,-0.004384143,0.0252282976,0.0389731969,0.0414626
02/1966,0.0022906856,-0.011534581,-0.020487926,-0.021610299,-0.022044485,-0.026526788,-0.002074328,-0.013604636,-0.024226067,-0.010040036
03/1966,0.0052741128,-0.028262931,-0.017293868,-0.031472453,-0.02002611,-0.026383804,-0.044470696,-0.007414631,-0.021020208,-0.04436723
04/1966,0.0481158377,0.0018137246,0.0261751079,0.0225695082,0.0371309541,0.0250148137,0.0122622793,0.0118862855,0.0176419525,-0.002179753
05/1966,-0.056950519,-0.049419144,-0.04337084,-0.050180481,-0.045399339,-0.057006637,-0.04096648,-0.046644674,-0.062461882,-0.052032277
06/1966,-0.008819179,-0.007192148,-0.020925837,-0.019878704,-0.021007832,-0.024859236,-0.001121663,-0.006934086,0.014568912,-0.016704565
07/1966,-0.015888718,-0.019489932,-0.00954319,-0.010979016,-0.022748342,0.0024400164,-0.005081622,0.0071150502,-0.02066348,-0.020583338
08/1966,-0.067801835,-0.07764651,-0.083628404,-0.079252695,-0.085478562,-0.071039053,-0.04606793,-0.080611497,-0.052300288,-0.072835208
09/1966,-0.034065915,0.0059117771,0.0001791386,0.0075642244,-0.006574634,0.0080983208,0.0033843199,0.0213497772,-0.026047613,-0.027832429
10/1966,0.0171452036,0.0233651023,0.0512030301,0.0566579679,0.0823181998,0.077125386,0.0675758987,0.0553457875,0.0232904229,0.0359798316
11/1966,0.0912775444,0.0167844738,-0.018374241,0.0288353725,-0.023706481,-0.01823791,0.0066545003,0.019320364,-0.024254508,-0.029863024
12/1966,-0.003350843,-0.023289084,0.0030084306,0.014532181,0.0209346813,0.0077951286,0.0122965517,0.0240297963,0.0145273362,0.0002510506
01/1967,0.0758788767,0.056215941,0.0932041619,0.0705650445,0.0793020971,0.0446341601,0.0827417089,0.1569235631,0.1482803935,0.1807506045
02/1967,0.0554349115,0.0082712482,-0.002601445,0.0012723093,-0.007885195,-0.004410878,-0.001842735,-0.006265439,-0.011335286,0.0026966285
03/1967,0.0465312769,0.0500961656,0.0451065791,0.0304977635,0.0373048454,0.0229642954,0.0423484203,0.0417055642,0.0466952799,0.0675862136
04/1967,0.0646871241,0.0706600627,0.0812117774,0.0091983901,0.0375259871,0.0212115253,0.0082901809,0.0427605013,0.0325471409,0.0305819617
05/1967,-0.046755727,-0.057377319,-0.054514764,-0.018070861,-0.050423929,-0.035516509,-0.042276163,-0.031996801,-0.028596708,-0.030231896
06/1967,0.0435911878,0.0197189775,0.0049342338,0.0030527285,0.0121275261,0.0318712496,0.0207591362,0.0217088804,0.0354249248,0.0228065156
07/1967,0.0327350311,0.0782199562,0.0654937152,0.0338222232,0.060240471,0.0372169751,0.0130972113,0.0548604326,0.0818490123,0.078283212
08/1967,-0.010697806,-0.010664555,-0.004473792,-0.006627401,-0.007485073,-0.008382756,-0.01609812,-0.008810716,0.0049625652,0.0183834632
09/1967,0.0554381954,0.0386105126,0.0303434947,0.0043987796,0.036854223,0.0290813841,0.0050161408,0.0366403184,0.0276130678,0.024696292
10/1967,0.0255843416,-0.030184198,-0.031873301,-0.046099916,-0.069949437,-0.035067022,-0.03174873,-0.03550767,-0.038021074,-0.069448958
11/1967,0.0226188739,-0.005815361,0.0036519411,0.0070678834,0.0103566408,0.004994172,0.0002285422,0.0034623905,0.0032077109,-0.004377956
12/1967,0.0278566529,0.0089997331,0.0279120685,0.0393752207,0.0300569155,0.0418355467,0.0441766318,0.0205988962,0.059603102,0.0390083608
01/1968,-0.084173314,-0.065354463,-0.044079024,-0.034434286,-0.012865569,-0.036196981,-0.023991299,0.0070941505,0.0572181087,-0.003847244
02/1968,-0.041892455,-0.037791428,-0.025917209,-0.039883059,-0.0274299,-0.033809357,-0.011996364,-0.021662968,-0.030912555,-0.024437227
03/1968,0.0494813132,0.0140674411,-0.00232473,-0.009722148,-0.011869475,-0.016942607,-0.006087256,-0.008124246,-0.010079425,-0.01424882
04/1968,0.1231379722,0.1261993957,0.1094294138,0.0868024199,0.080305536,0.0500188703,0.068030355,0.0296196566,0.1070212996,0.0998796401
05/1968,0.0507500622,0.0255212809,0.0193433364,0.0089115974,0.0124348155,0.0136162572,-0.008300032,0.0084418432,-0.004845456,0.0433583231
06/1968,-0.012586927,-0.016077584,-0.001243989,0.0071908755,0.0172471131,0.0468095059,0.0276186772,0.0475935011,0.032107037,0.0033281827
07/1968,-0.055223535,-0.057237646,-0.024376901,-0.022940405,-0.004691355,-0.033462904,0.0094930021,0.032003086,0.0165075454,-0.006264391
08/1968,0.0136052986,0.0122381389,0.0144696779,0.0077310963,0.0078761993,0.025644299,0.0059163253,0.0291009405,0.0223677725,0.0132017242
09/1968,0.0189781419,0.0617388085,0.0419504594,0.0570318604,0.0390610257,0.0280708329,0.0428954253,0.0525726011,0.0501436289,0.0873592351
10/1968,-0.031471123,-0.013614528,0.0248639367,0.032307622,0.0124679296,0.0107274239,0.0165384364,0.027153307,0.0294419997,0.0322471512
11/1968,0.0733266801,0.0631644744,0.0518967771,0.0069888217,0.0637059877,0.0563753979,0.0581924894,0.079901098,0.0615840378,0.0291396153
12/1968,-0.049725458,-0.029992647,-0.04314292,-0.03913507,-0.037585015,-0.033033569,-0.02066348,-0.029118324,-0.03972979,-0.007661035
01/1969,-0.026380724,-0.027376699,-0.019773873,-0.002778095,-0.001040708,-0.003085778,0.0006451877,-0.006057441,0.0046161542,0.0230459445
02/1969,-0.046920052,-0.066817348,-0.044457643,-0.062663632,-0.04614727,-0.044195406,-0.044337882,-0.060357534,-0.047152892,-0.059004137
03/1969,0.0492547815,0.0480044086,0.0238139491,0.0174235772,0.037881867,0.0250285008,0.0286785751,0.0339801425,0.0208331993,0.0256706807
04/1969,0.0338957227,0.0474174203,0.0290851717,0.0081994381,-0.002278963,0.0206961068,0.0022047795,-0.003942454,0.0443830949,-0.006146002
05/1969,0.0027360795,-0.014439494,-0.002208603,-0.011519047,0.0157049676,-0.013948662,0.0192660626,0.0255856252,0.010115906,-0.013325324
06/1969,-0.022306924,-0.066182132,-0.072482826,-0.062690084,-0.077733621,-0.072625817,-0.099258794,-0.080974149,-0.060332706,-0.083449345
07/1969,-0.045319246,-0.058018617,-0.055725884,-0.070583755,-0.070809319,-0.094996537,-0.061302289,-0.048340094,-0.093771394,-0.059138605
08/1969,0.0765749167,0.0584980883,0.058325052,0.0258001191,0.0422536569,0.0278527809,0.0517592368,0.0277890739,0.0152244379,0.0326661299
09/1969,-0.004786916,-0.007700727,-0.016600925,-0.01754371,-0.02485628,-0.061504954,-0.044108758,-0.042509819,-0.038278955,-0.040334818
10/1969,0.0671543624,0.050476918,0.0670005978,0.0387272316,0.0700561398,0.0806647248,0.011463689,0.0318991267,0.0666216055,0.0609261309
11/1969,-0.013649989,-0.0305447,-0.041193163,-0.037788571,-0.03063107,-0.048408395,-0.046069094,-0.023016491,-0.053556716,-0.057461558
12/1969,0.0169730031,-0.016640019,-0.02072676,-0.029201127,-0.023347878,-0.025677361,-0.012082607,-0.05192134,-0.052215093,-0.046429491
01/1970,-0.082832429,-0.075631939,-0.07555547,-0.074064363,-0.076710982,-0.075958118,-0.106811116,-0.055022211,-0.053038055,-0.049515333
02/1970,0.040803297,0.0401014572,0.0513514016,0.0689059622,0.0701669215,0.0939323132,0.0582015975,0.0795861493,0.0741037125,0.0792013523
03/1970,-0.032232766,-0.015391643,0.003176392,0.0295780167,0.0087340456,0.0062898805,0.0152085303,0.0230898001,-0.003973703,0.0085924026
04/1970,-0.114027408,-0.117069549,-0.09686003,-0.077698038,-0.107128825,-0.102942186,-0.081634663,-0.081120905,-0.094907493,-0.081032608
05/1970,-0.08468256,-0.086590843,-0.059990813,-0.067515926,-0.062682174,-0.064050786,-0.018096797,-0.008702002,-0.029532252,-0.057095563
06/1970,-0.058392704,-0.030099267,-0.043815741,-0.043139377,-0.035872125,-0.04014626,-0.071669284,-0.029837951,-0.07939755,-0.096289765
07/1970,0.0296279617,0.0845024318,0.0793337371,0.0915904061,0.0980772893,0.095662085,0.1054265662,0.0901298002,0.0797068252,0.0675928359
08/1970,0.0390164338,0.0371191014,0.060661216,0.0538925102,0.0566239166,0.041277367,0.0570889345,0.0774488124,0.0948922079,0.0695149006
09/1970,0.0770388898,0.052865523,0.0121183871,0.0161652368,0.0165016289,0.0411826761,0.0097336507,0.0513965129,0.0846454368,0.0789977327
10/1970,-0.000753982,-0.008404481,-0.016862218,-0.048579573,-0.001683326,-0.01302494,-0.024395781,-0.010855531,-0.049560923,-0.061374786
11/1970,0.046152055,0.0533143725,0.0657276281,0.0468231613,0.056624662,0.0527092383,0.0532633157,0.0585789157,0.0355866764,0.0440938291
12/1970,0.0468195986,0.0519490135,0.0665156224,0.0696423567,0.0468952438,0.085897742,0.0718893687,0.0885235281,0.0886474059,0.101436212
01/1971,0.0340479447,0.0517868959,0.045279593,0.0601800907,0.0188670182,0.0188525886,0.0735812239,0.0964846546,0.1028076302,0.0961304424
02/1971,0.0274925891,0.0267404861,0.0003054978,0.0183662426,0.0072718772,0.0332853992,-0.017610689,0.0163529712,0.0366317659,0.011081786
03/1971,0.0608952299,0.0587433116,0.032407607,0.0471224563,0.0290054238,0.0383894692,0.0185578034,0.0132029595,0.0323027561,0.0381104723
04/1971,0.0321847638,0.0460553714,0.0601012575,0.0190972197,0.0105600447,0.0248738843,0.0416635112,0.0277284102,0.0401961591,0.0768193061
05/1971,-0.027853174,-0.028300762,-0.033108847,-0.038902574,-0.040647966,-0.047196878,-0.04556943,-0.050582747,-0.045774336,-0.041010346
06/1971,0.0093161139,0.0070024585,-0.01157622,-0.004341696,0.0170739231,-0.001974517,0.0106338614,0.0013564195,-0.019402192,-0.025001578
07/1971,-0.05310892,-0.033318532,-0.040487332,-0.046470422,-0.051636821,-0.026213342,-0.038181707,-0.042029584,-0.034676081,-0.056925509
08/1971,0.044305091,0.0697069555,0.0667785393,0.0310851549,-0.002789158,0.010877135,0.0059005255,0.0230746141,0.0836373835,0.1162964881
09/1971,0.0112367784,-0.003997687,0.003575042,-0.025456796,-0.001697038,-0.014642449,-0.008463693,-0.009688132,-0.032811745,-0.044321208
