date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,19406993,42676890,65324533,86529289,34542800,40678267,27708139,15159498,12335797,6246786
08/1963,19611802,41719656,85179103,67033730,36127921,38695025,27967656,15202914,12590171,6380814
09/1963,20894690,44667522,88536194,71195849,36273018,41536193,29170943,15943500,13315701,6577891
10/1963,20157331,44139934,90514821,57633841,45970870,40332400,28828735,15375148,13036415,7023585
11/1963,21810216,46030871,96011957,57703228,47522320,39331985,29179161,15372310,13335400,6911841
12/1963,22685490,47620508,91614071,64909374,42038042,34153149,27816271,16519870,12958234,6954309
01/1964,23079022,46221757,94695005,67239316,43345254,35612262,28695418,16555686,13686615,6950098
02/1964,23100377,49458453,99354458,67972508,45131003,35855325,28699957,16670100,13797428,7201402
03/1964,23403305,49370141,102862245,69011467,44730621,37129554,28472920,17459939,13806581,7305459
04/1964,24536899,50325077,103495036,71254143,43922818,37446067,28457393,18909759,14158463,7468612
05/1964,22942673,48391641,99609830,76857769,46832562,37717061,28397190,18970261,14344130,7480502
06/1964,22617180,49325185,100169626,78361211,45220550,39914377,28483320,19397500,14615638,7825656
07/1964,23583518,48867887,103469662,73951830,50549488,39763892,30240592,19286163,13949881,8764189
08/1964,25784851,49213422,105450986,78804300,47464750,42571370,30356791,20184333,15884274,7995573
09/1964,25114216,48133350,102686672,78263491,47069983,42011337,29473271,20024483,16193601,8231182
10/1964,26578291,49854756,104413759,80829489,48339015,42868774,30915251,20678006,16479648,8406112
11/1964,25736571,49027436,104146131,84206545,44694868,45576837,34528878,19697904,16843036,8415900
12/1964,25199845,40303754,107758811,84337092,43211084,48315331,31938664,22604272,17004844,8663745
01/1965,25549260,39883249,111702537,80269630,51596799,44607201,33184938,22415995,16100839,9590789
02/1965,27505704,43166435,114330961,82496987,54663517,46178572,32533266,23204917,18256256,8880758
03/1965,28146937,43595956,116959646,84135928,48080392,49241088,31521728,24503714,17279711,9860290
04/1965,27573434,43459245,116822641,82911287,48900207,46255786,32859390,22383562,17824865,8752675
05/1965,28578063,45872205,122332966,81307546,54066000,47578172,33587460,22197429,18661332,8892285
06/1965,28799610,45774108,119934655,81268968,54520914,45240560,35197742,21434416,17851839,9612979
07/1965,25775038,39943099,112746955,69217804,60736500,47214496,30461706,24297770,16679233,9480356
08/1965,24486881,45136013,113634131,70190312,63530726,52197207,32755577,29525455,18883483,14534508
09/1965,26705134,48039153,114415219,74152793,64915663,49777571,34944343,29176073,19804212,14823273
10/1965,28047201,49912118,119482701,77753005,64195155,52185760,35275663,29904234,19387560,15276021
11/1965,29871842,52797814,123648099,80269065,62869727,55224424,34511479,29634295,20485506,15630324
12/1965,32306851,53932397,117631333,79661498,62288565,54644107,37249159,28119980,20959158,15563396
01/1966,32868446,56275024,120118016,77800872,68151948,49445941,42376754,29073973,20946157,16721488
02/1966,34974940,57689296,117817992,79587723,67464233,49993996,43124723,29612300,21767362,16240464
03/1966,37998186,57075942,117038006,76862102,65375773,47351645,42498777,29599851,22002689,15546885
04/1966,38564481,56882431,109804693,67017284,72889989,46923285,41496013,30089321,21612625,15151428
05/1966,40952392,61320937,109290613,77536785,65004455,48015735,40498794,32807097,22061993,14834314
06/1966,38258662,55085819,52259671,116524343,66591519,44681721,41463340,31428129,21339423,15399467
07/1966,39606569,52028393,54887484,113580639,66135645,46734570,36713262,32389242,20479524,15035716
08/1966,38730965,48456970,54759454,112004109,66193779,45936152,37279966,31977503,20686633,15150528
09/1966,33532433,45188065,43957813,105185925,59855237,38624772,46478731,21527938,25453351,14054838
10/1966,32162399,44896161,41530651,104082307,66926334,30846324,47732283,22943493,25173112,14346306
11/1966,31722874,45074026,41935516,107317576,74309840,43358139,38365959,26524687,26204021,14849741
12/1966,37610344,48845610,43468200,102697484,74211962,44964379,35145875,25840558,26192159,14805320
01/1967,39006706,49564838,43393435,101242675,71564620,51379602,34590380,28506237,26866470,14955149
02/1967,41720701,55475424,41121223,118870108,70272369,56691618,38941042,30056515,30043290,16684045
03/1967,40455654,59903298,39725702,121983510,64664168,59881117,39181736,30449453,29286229,17804467
04/1967,42096547,64163418,41045197,128632872,65371438,61128182,40783924,32886271,29684071,17956914
05/1967,47731512,68066972,43026225,135375891,66525915,63676611,43438165,31616069,31035019,18424149
06/1967,44124052,62239297,65058740,60545581,91723707,63854115,44836656,39227425,32038913,20739027
07/1967,46443144,38535783,90321793,54604738,107785278,59587100,47589534,33552019,36080407,21787428
08/1967,48701619,39952278,90136175,66099246,110256495,64242010,41154670,35822746,42761637,22045665
09/1967,48894704,41781439,84675588,67843003,105545965,65216515,37877428,39794749,41436146,21934761
10/1967,50663941,37488125,94865296,65432893,113744439,64958756,38356134,39280968,43305251,22222037
11/1967,48901866,36105189,87228594,67302527,111407056,58469472,41169132,43460709,38764810,21887311
12/1967,48700753,34935174,98530110,58213896,76507516,92163849,40075760,46042718,39574249,20864856
01/1968,51673058,37876974,100269079,64921954,84847643,90649600,43422493,42795045,44999655,21292182
02/1968,44939565,34494025,93476812,61128537,85161622,89442618,41806812,42975498,44338861,21739329
03/1968,42150608,30691491,87860927,62410953,76153620,90581640,41033421,38398154,47187739,22256568
04/1968,43379798,32220100,88380184,62445892,86325524,80594989,41212467,40438179,44614484,22284561
05/1968,50120057,36843728,100631673,66036808,92624253,86255594,45275393,41920253,47428595,23311775
06/1968,52013449,38595945,105561439,67377758,91903497,88189310,46113360,44109374,46402633,23523020
07/1968,49838381,37782599,103472433,67510897,90044524,93671280,45395052,44810910,54478600,23371577
08/1968,46135108,36821095,92264357,70029770,87782198,97984655,41735314,43869418,52616143,26197561
09/1968,46359365,37174243,70945358,95173919,87149399,95747237,47114172,42776394,51259571,28716520
10/1968,49179050,39690836,70624155,96342610,92534238,101520064,49856203,45231323,50024027,29623416
11/1968,47867000,38947356,67986297,100188974,95523235,91315608,58490537,50697447,46621878,30878622
12/1968,52454244,41462508,71468980,103287541,97921664,96841789,60413911,50150890,54283639,33050731
01/1969,52630160,40892166,72057947,100123214,83865610,108014200,57345481,58802891,45475371,33764698
02/1969,48960231,40375415,72657458,94314321,61542406,95655883,98729028,50636709,49028165,35184712
03/1969,44446241,36991372,66616756,88089701,62971543,91191731,92005319,45611251,49967483,33580980
04/1969,45281744,37443495,69632060,96101714,74863963,80461564,93120431,48234664,49146192,34211261
05/1969,45949766,36406481,73523319,99229088,74011201,82240319,99847023,43853278,51546842,34260571
06/1969,44229434,33868961,74660038,97780999,77880836,80471414,99463522,44270792,52378764,33738965
07/1969,42281387,30485918,72134064,89521520,72977704,69487901,95540860,43658717,49507148,31485272
08/1969,38208675,27207983,68924230,85950663,55188635,82156717,55727121,69226596,44060279,31948194
09/1969,41914534,28825373,73524147,83634949,55222678,84163937,69139461,72353777,44654777,30861940
10/1969,41031349,27764850,72357869,80876838,56734461,95401340,51590927,68842885,43437676,30439834
11/1969,43918389,29211215,78370589,86694331,58894000,95060790,54128149,78198865,43015207,31353569
12/1969,35070564,35306973,74866025,76652253,65058321,93576459,47496720,78602457,42008085,28236377
01/1970,33226214,35187665,77037597,81484112,57975585,82922270,62316540,70514576,46050445,27884492
02/1970,30145964,31802154,68847935,67605221,65070667,69330901,59083001,66320596,44453276,27770298
03/1970,31090192,34101696,70483889,71846721,68931150,77072603,59805191,72129022,45265857,28176691
04/1970,29899143,32867561,69931298,71592215,68387634,75260804,62414175,76408702,41917056,27955817
05/1970,23220332,26970956,62997977,64877960,61090936,71600214,56302088,67476356,39510125,26004386
06/1970,20127196,24716966,25770694,77184442,68667975,73933547,53759003,59758038,36144294,26053660
07/1970,16562357,21997980,52070077,43591930,60946848,77602369,51091127,57370620,34634917,25299004
08/1970,16543245,24539560,51559989,49215587,81648063,72237862,49696279,64811463,36757525,26525231
09/1970,18747940,27630758,54171076,50260783,96057563,68182196,53183972,62846473,36495603,27678063
10/1970,22109605,28877348,59893066,52292714,89472470,80619660,54446453,62209886,38331644,27730167
11/1970,19994605,27014745,58665147,49744155,90486103,80429140,54654615,59882099,37976073,28692433
12/1970,20403856,28028454,62029636,52145820,93981409,86872687,54280568,64941073,38849655,30408403
01/1971,21856523,30528754,65893167,57411271,106207266,81660057,63195381,71205429,41219978,32776927
02/1971,24690543,34617380,69466536,59081863,110616797,86668298,62013012,76315155,41138765,35726773
03/1971,24780917,34686162,72153257,63276952,103308701,86405373,71430294,74797160,41146293,36402947
04/1971,24691741,39627417,76135149,66681130,106541019,89994003,73866506,75697825,43131966,37149895
05/1971,28555883,39409720,77670438,68588358,122181344,92306363,74994896,74412190,41850571,36593680
06/1971,25234895,40581975,73318468,67151632,115581262,92827695,68834075,72875561,39021967,33753631
07/1971,21627724,44936190,70555909,68192705,118081479,89997833,73218059,67940242,42661359,32045643
08/1971,19605089,41621663,64729043,65109713,114546009,85056899,71601196,66318267,43533411,31570851
09/1971,20739050,36963715,74475357,68774681,107602587,90160095,83620222,70943225,37231436,36970957
10/1971,19975707,36686460,77547801,66308105,112205227,93601958,74959769,70201328,41340187,34415342
11/1971,18608227,33427296,78789369,46380266,119167214,69150501,92073311,70202302,41905874,33954113
12/1971,18529159,30860289,80664388,45212078,115233090,67647953,107697076,65387477,39410363,33561352
01/1972,20091094,36456132,90215314,51547989,125763231,72267931,121094357,50305697,69838316,34952536
02/1972,22603587,40348035,54363904,95202633,115385670,84136376,123739669,47880637,70976095,36080965
03/1972,23879202,42899564,99455281,50497708,127401357,83641209,124849968,52769753,68294074,38422516
04/1972,25038571,42623386,60492969,88680415,129464480,86791906,128260397,53408731,67227981,37931745
05/1972,24099764,44733930,60892362,93359508,127672342,85922170,130448991,55610946,66177223,37016996
06/1972,25387808,43852843,110680641,51053549,119099411,92969935,137690132,52126355,63980108,38450983
07/1972,23571696,42565724,61688210,93268193,121559521,90681793,133612741,54970827,65535120,35251679
08/1972,23248285,39754630,106597541,74126153,95902040,90792400,138831825,51577704,62035929,37891762
09/1972,24417758,39698597,110583006,75004663,109384030,88134942,140644195,54747560,69507665,34838736
10/1972,23419390,41744292,106875374,74286742,111585004,84602508,139699020,54486278,69940049,34898532
11/1972,22505385,41298993,110748920,70878577,89672863,106740397,143386782,55320005,71985661,35755615
12/1972,23476234,42979534,114349557,73713206,119891661,92669009,144721143,56188407,76999143,38289881
01/1973,23816239,43960581,119661427,79640663,123552118,100410177,141085121,60438157,74936042,39954202
02/1973,21164781,40853780,119336992,77009995,100914757,114958134,142685215,57690906,75495985,37421718
03/1973,19457743,38335503,114724921,74387889,110887002,94338864,133002160,59613374,71744110,37109379
