date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,5440169,8280307,19824949,27137806,37970296,19958274,20158936,18421471,81405267,27710583
08/1963,5339877,8381711,19646539,26866611,38214605,20056229,20083029,18389342,81614584,27770812
09/1963,5933370,8517893,20695968,28794671,39782002,21503910,21044305,19204542,84978815,29380376
10/1963,6021793,8247064,20452483,28831470,38599212,20877480,21199625,18854016,84471676,29147811
11/1963,6323076,8248190,20698785,29368806,39640971,21146215,21519969,19144325,87107294,32596176
12/1963,6148101,7936060,20320565,28946923,39207056,20973266,21308691,18961178,87728276,29995944
01/1964,6176553,7906452,20792749,28335024,40870503,21982830,22088748,19414378,90410660,30029660
02/1964,6202400,8233174,21171271,30999548,42298248,22343279,22564165,19856323,93821939,30447443
03/1964,6531211,8132312,21634465,31668272,42505548,22595494,23139928,19878549,95954038,30662901
04/1964,6658540,8246121,22212514,32421183,43689844,23038385,23645972,20034949,96662532,30785297
05/1964,6477452,8658809,22384160,32372126,43849156,22834363,23793180,19922661,97151076,32023045
06/1964,6666131,8485026,22319450,32973596,44306271,23032548,24218973,19792357,97712113,32766694
07/1964,10742504,5576808,26731986,21846350,17556619,62245532,35608066,45129364,47250633,45826042
08/1964,10918576,5804081,27182924,22639526,17736241,61417671,36607406,45842247,49805463,46399936
09/1964,10742756,5575897,26702093,22835071,17419789,60227396,36399684,44607023,50159393,44852098
10/1964,11509779,5830126,27759200,23979156,17938367,60316737,37408948,45470192,51921232,45620809
11/1964,11239457,6061269,28129130,23911688,18130376,60403690,37645528,46338160,51844256,46223597
12/1964,10521865,6073900,28768905,24435578,18281602,59438831,38065033,46448061,50577056,46469704
01/1965,10442885,6253636,28253411,24877087,18682508,62364585,38479445,46683490,51750018,46003421
02/1965,11082752,6648028,29534550,26047256,19140116,63035470,40066677,47329534,53739837,47889994
03/1965,11247206,6751777,30065456,26405305,19290800,62643907,40350562,46321608,53381856,47229560
04/1965,11296282,6717049,29549265,26190533,19018598,61395992,40302095,44986167,53640077,46657336
05/1965,11463847,7105998,30593573,27628088,19703108,62429406,41948542,46128981,57238574,48269173
06/1965,10951246,7011833,30941015,27231385,19690309,63606320,41223094,45462233,54760209,48127484
07/1965,13257551,5551057,33842598,56274629,39072907,37366595,41154466,71840481,40842020,63207286
08/1965,13883931,5885590,34379020,56213431,39500487,38375595,41554273,71609494,41626972,65071123
09/1965,14354815,6135499,35231230,57241862,40158365,39839473,42020400,72515007,42280107,67550813
10/1965,14664636,6417804,36147177,58139741,42334701,40788107,42565799,74502461,43848913,70949029
