date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,43665150,32040937,66145350,16525232,22759411,30690030,30794609,8768797,5869787,10531045
08/1963,43147846,32296452,66252772,16607011,22742248,30956888,30996288,8780356,5775436,10263750
09/1963,45829349,33603295,68958220,17624074,24036142,32212029,32770401,9245833,6140506,10932142
10/1963,45792280,32814068,69002438,17130424,23321269,31368812,32632626,9045082,6018240,11064278
11/1963,48617641,32735114,70833794,17171634,23568124,31831622,36160214,9104757,6191659,11093308
12/1963,47938435,32424139,71243134,17181078,23133418,31556628,33574112,8957022,6100726,10931534
01/1964,47668873,34273457,72880576,17723261,23855769,32992695,33893467,8970974,6225730,11037213
02/1964,51384329,35130993,75665987,18093057,23862177,34168897,34179087,9235172,6331139,11427881
03/1964,52433971,35782844,76578262,18449050,24168375,34587346,34444235,9412137,6627344,11788971
04/1964,53547448,35963722,76836838,18701938,24751393,35144500,34953071,9803979,6934735,12372351
05/1964,52349999,36642639,77177267,18733065,25304916,35663609,36174726,9769021,6875724,12346568
06/1964,53313446,37194479,76615437,19007713,25502047,36277139,36974294,9812280,6734005,12394600
07/1964,39917399,52519152,78223849,34212634,54322765,39990186,44499309,10730239,16141929,13217543
08/1964,39664389,53093228,78497761,35326830,55993418,41090204,46475900,10988363,16423010,13601190
09/1964,38543881,52148841,77114307,34678302,55003709,40132674,46808391,10829738,16443321,13509670
10/1964,39555374,53586570,78031345,35685696,57349070,41151841,48158197,11035761,16964824,14392539
11/1964,39171324,53597861,77912294,36984674,58234501,42165550,48110837,11274302,16843446,14198565
12/1964,38659332,54437824,77498290,37412943,57205847,41975019,46818823,11312447,16560711,13841104
01/1965,39281036,55644088,80573504,37738678,57596343,41953506,47442681,11233932,16154842,13812595
02/1965,42236070,57851949,82716257,38627309,59486823,42425371,49352336,11697068,16872365,14221401
03/1965,43294613,58792108,83278858,38272713,58374130,41537931,49079533,11967195,17130679,14048763
04/1965,42940540,57280975,82409400,37578354,57107737,40481192,49432279,11876446,17150368,14090142
05/1965,45405654,60705094,84199106,38390206,58156391,41173013,52123606,12305207,17739831,14597683
06/1965,45504293,60009174,85238953,38006377,58583368,40662930,49976064,12143266,17450924,14213342
07/1965,56292924,40307470,56371269,77313865,36983537,49306109,20951207,45178092,16797764,11340513
08/1965,57986776,40810964,57641774,77935443,37459729,48978444,21462109,46039378,17148121,11437050
09/1965,60644343,42815141,59237292,78380604,38502131,48801731,21745395,46757820,17830079,11643593
10/1965,62266079,44196047,61856821,80356809,39551564,50666442,22113090,48645927,17857863,12042523
11/1965,64325165,46164958,62486575,80094629,40874651,51681920,22504666,51493176,18771924,12430587
12/1965,66151325,46771915,62187276,78142346,41157689,51176969,22616996,48512085,18316833,12081757
01/1966,67112793,49065633,63280669,78848560,41241165,51747083,22986731,49399553,18745407,12485565
02/1966,67825818,49999954,63435699,78002552,41317288,52407658,23221617,49484681,19361724,12694947
03/1966,69745847,49586193,61618010,76382589,39885023,50527304,22758153,48142251,18822858,12384215
04/1966,69549928,50287677,59997561,73521671,39610645,48569974,21974119,45920528,18046913,12146856
05/1966,72495898,52035098,62932260,74690140,39829701,49119060,22173673,44929013,18125873,12040846
06/1966,68318846,50051447,59054414,71846027,38084568,46114298,20991474,41762949,16863135,11511002
07/1966,54325140,62177054,42715108,35358738,40237365,48071041,51981704,40120483,39839039,15671943
08/1966,53150260,60656289,41316110,35580254,39678559,48069051,51343021,40102246,39818238,15376271
09/1966,48635156,56345489,37481302,33044591,36386351,44498012,47732829,37218981,36356311,14289359
10/1966,46850020,54534624,37262119,32785053,37302632,45268543,48009049,36821544,36779004,14130530
11/1966,46994553,54837439,39706387,34824029,40380631,48207847,52011150,39670808,37222368,14477506
12/1966,53866616,56914437,40550160,34984206,39285536,47979650,50597283,37665271,34762869,13910788
01/1967,54254527,57708871,40912760,35550275,40019102,47658661,52351289,37661541,34706274,14263737
02/1967,59444674,62916889,43373340,37857029,42283232,49976195,55588845,40208757,39142962,16243908
03/1967,62358697,64717115,43797813,38300459,41920021,49012219,55174681,39165674,37962060,16198874
04/1967,66307960,67601771,45360014,39642147,43055683,50164653,57437729,41049148,39544361,16963454
