date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,6730406,50721747,64813434,39018764,29324817,25069808,20237788,12869017,9179967,7822277
08/1963,6602990,50972338,64620340,39357758,29243444,25400572,20091792,12752216,9097756,7691520
09/1963,7082390,53508556,67559779,40882118,30987846,26717030,21093489,13363108,9896672,8302235
10/1963,6839385,53190570,68028338,39772936,30165087,26027791,21100811,13015447,9928285,8155257
11/1963,7113808,58518445,70128252,39950670,30573000,26383500,21035462,13196763,10163576,8323791
12/1963,7021764,55642935,71184531,39610934,30229918,25863162,20455552,13116778,10112472,8086419
01/1964,7212475,57264877,72691893,39610473,31270468,26697528,21160639,13342879,10168992,8319915
02/1964,7171691,59145261,76122974,42233324,31680378,27498098,21298385,13610842,10368981,8593035
03/1964,7325108,60077274,77227268,42962230,32074398,27919310,21618648,13888785,10640679,8735111
04/1964,7519340,61079931,77373173,43180146,32247834,28675504,22345153,14617358,11213040,9102720
05/1964,7624299,61727988,78271487,44042583,32184259,28783856,22918767,14367423,10644022,8813826
06/1964,7538122,63356236,78617312,44240916,32032827,29272944,23012684,14401178,10706848,8936933
07/1964,22645990,40034006,28370077,73560665,84499278,43080311,32774559,19509411,11628623,25568799
08/1964,22887681,40028242,28699075,77190963,84496394,44004458,33279376,20439268,11833336,26375198
09/1964,23091155,38619445,28158749,76755194,82584479,42862426,33148338,20457809,11716676,25982240
10/1964,24034548,39387064,29082378,79373002,83578165,43947060,34465695,20924274,11878206,27130889
11/1964,24157987,39535853,29031536,81020575,83418189,44587362,34669315,21064705,12145700,27077245
12/1964,24438150,39541830,29158325,81070728,82767126,44496153,34530717,20865307,12171797,25106205
01/1965,25378622,40005435,29415486,82250705,85733285,44845971,34003276,20563812,12079945,25269297
02/1965,26307631,42739530,30826896,84222424,87613123,45575609,35440721,21530023,12722249,26522219
03/1965,26889413,43102435,31317707,82865253,88099837,44664675,35803290,21895263,12885790,26316239
04/1965,26274496,42677619,31328399,82321650,86255919,43721701,35284704,21778436,12890325,25837717
05/1965,28342727,44689602,32369405,86161090,88976926,44107398,36145810,22040646,13352820,26460027
06/1965,27997873,44401519,32279610,84221247,89447674,43506426,35921653,21721122,13239446,26742697
07/1965,32618175,36335811,42584214,72893312,43036046,20028798,84310979,36277103,17257827,21676226
08/1965,34029897,36069602,43139235,73524022,44301437,20367332,85381436,36566480,17720127,21936911
09/1965,35558705,37228056,44327613,75013185,45362790,20839654,86377863,37116153,18280696,22331679
10/1965,36749197,38067447,45860184,76831607,46644435,21229060,90526036,37876766,19248507,23158391
11/1965,38327515,38935054,47318773,77903486,47392184,21720214,93983214,38459205,19995482,24020273
12/1965,38679266,40755071,46875253,75290971,47923970,21837766,91162615,38080518,20051048,23979165
01/1966,38873998,42297369,48030361,77508600,48654678,22299685,92054136,38438578,20486297,24257476
02/1966,39295337,42044249,49324754,77478962,49572470,22179530,91862239,37872160,21466689,24566648
03/1966,40474946,42025737,48213325,77171664,48000482,21829516,88733143,36383982,21317737,23833347
04/1966,40101320,41663334,47124062,75063242,46692064,21173475,86084071,36198177,20954108,22819693
05/1966,42356786,43146345,48160377,76859051,47802354,21746267,86274479,36813004,21796807,22684283
06/1966,40364548,41468769,45401026,73015520,45215230,20649650,80332464,34961693,19955847,21536532
07/1966,33656759,22215202,50113763,87835173,41724840,53462051,57617947,47223501,24949844,11922864
08/1966,32693496,21451062,49012232,86796739,41668527,53095690,56935076,47339073,24890697,11750594
09/1966,29429384,20081045,45948078,80313489,37986172,48868533,52871396,43871585,22918997,10645407
10/1966,28560012,19135720,44510067,80360825,37870009,49238866,53314249,44045692,23020269,10504063
11/1966,29736102,18680651,44991102,83024574,38931549,52720831,57687749,47775473,24167170,10604581
12/1966,32411828,19585424,45981324,84166562,39541910,52051730,56558194,46079804,23869030,10674268
01/1967,32291400,20252873,46324533,85203957,40189972,52013967,57971744,46011402,24432992,11060365
02/1967,35155525,22576852,50929279,92748570,42988826,55338002,61475070,48144849,26510399,12199067
03/1967,35988563,22999424,51456595,95100177,42521133,54865328,61304424,46996447,26000181,12565120
04/1967,37758670,23924192,55058463,98763389,44518963,56540807,62816422,49198089,26702887,13055599
05/1967,40398607,25469379,58819644,106126978,44971050,58805333,63774808,49467091,27243164,13283983
06/1967,38002096,24602602,55807320,99769864,42781258,56427080,59654775,47994633,26283777,13154803
07/1967,34652187,56424581,47797792,61580105,54538173,42980781,64139276,52347461,52088505,14823941
08/1967,36638208,58752514,49624194,64289773,59302715,45130976,62210576,54984639,56171655,16013970
09/1967,35832728,58194861,48958475,64034699,59063192,44080406,61216190,54041770,55574075,15809960
10/1967,36569257,61551445,50858454,67090978,60588238,44721754,62790650,55786041,57036731,16113874
11/1967,36784366,62802204,49304519,65340007,58721432,42682970,60720935,53244836,54312456,15223283
12/1967,37498627,64279381,49153647,65033816,58875752,43478810,60716825,52640842,53150349,14966875
01/1968,41725681,67544684,51917607,68511101,60454868,45428738,62621393,54650076,55689095,15524558
02/1968,37933334,62477774,49266099,64424582,57814629,43476325,62800246,54516699,53790686,15613392
03/1968,35745944,60127733,46737305,62275244,55701804,42211669,60580038,52979803,52697550,15008011
04/1968,36832470,62699179,46288604,62866760,56349625,42391561,60000285,52360846,51923792,14793965
05/1968,41595922,69716367,51360176,69740552,60889389,45606048,62564925,55124501,56036809,16252953
06/1968,43085403,72550113,53077386,71415962,60096026,46342119,62054858,54791744,56210632,16774585
07/1968,38139818,65858307,80468225,51135356,59648146,58962133,86082690,34428482,53391197,25864528
08/1968,35572670,64345666,77163429,51186511,59966794,57692603,84231606,33593178,52072712,25758241
09/1968,36018832,65776586,78073923,51686707,59839696,58707385,84471803,33936259,52731870,26397161
10/1968,37957569,68368573,80523810,54562537,61360082,59658955,87343894,35579341,55760337,28351488
11/1968,37254480,68977530,77612559,55542262,63132914,60066031,88002477,36202254,57751966,28981565
12/1968,40352472,71901471,83290037,59375604,66982629,62491529,92708286,38570342,57601474,30051888
01/1969,42071582,70525306,81250112,59883189,64618560,61149381,89618996,38146659,56460854,30468828
02/1969,41056922,68629221,79421991,58963811,64884048,61552711,90088110,37821785,55522532,30111394
03/1969,37341531,65012570,76249256,55459737,61730434,58197662,85561940,35241662,53288620,28005779
04/1969,37730458,66728149,79742694,58882035,64262999,60112756,86767436,36458916,53470559,28595773
05/1969,38543887,68100831,82058101,59401686,65025970,61067802,91025555,36597515,52949303,29211892
06/1969,37479002,67808516,80338592,60842181,65534272,61633345,91416164,36723012,52615761,28337526
07/1969,26607961,37375207,79747276,61604850,79511143,65390887,60342720,88079631,34363991,20704649
08/1969,23810308,34760074,75596229,58148358,74639687,60051990,56853650,83094624,32120357,19386512
09/1969,25697489,37447913,79913749,61152970,78386261,62494251,58138251,84209821,33509592,19668392
10/1969,24987901,36595236,79250451,58486476,77389454,59578103,56038604,82168193,31819630,19474233
11/1969,27176089,38434707,83385688,61703520,82107820,61015379,59067946,85722545,32902555,20838464
12/1969,26016002,37258081,82137634,59339899,78351522,57988018,56097228,83857804,31353745,19574900
01/1970,26903426,37587606,82583091,61176667,78253102,57934027,55037273,80958420,30071509,18834816
02/1970,23520502,33927113,75359562,55186399,71928421,53011263,51714042,76957619,27999337,17723001
03/1970,24559436,35465762,77586500,58730581,77333502,56144052,53820672,82569648,29800651,18530399
04/1970,23710608,34344024,76532869,57717110,76468546,57078349,54088112,84528456,29912148,18680523
05/1970,19405748,29754583,67298598,52384152,68661731,52343139,50727307,77012058,27247808,16644926
06/1970,17040765,26775379,62460103,47906466,63709869,50754812,48776772,72253302,25567388,15718872
07/1970,27506680,28270691,22836416,33778634,43322949,108015378,44373622,66519860,29579374,11915237
08/1970,29458327,29853478,24232104,36185541,45469640,115113695,47634082,73074081,32348673,12809276
09/1970,31415471,31262320,25105294,37696873,46896085,118835823,49835872,77398031,33696117,13353563
10/1970,34358377,33859077,26362527,39075979,48176919,123588486,51410900,78142161,35153449,14034361
11/1970,32992710,32661006,25487607,38828028,47363401,122271938,50924789,77525728,34601145,13421224
12/1970,34360092,33830982,26772091,39686706,49778738,128483611,53273175,82130256,35688644,13907750
01/1971,37917317,37558631,29353044,43554592,54507727,136401258,56628556,86014070,38760864,14828429
02/1971,40908972,40061607,31213368,45040364,56267695,143196889,58300979,87942932,40772855,16398300
03/1971,41030928,41217622,31818570,46909789,56067640,142166689,59805281,88603776,42071472,16369297
04/1971,43641352,43876856,33040878,49420588,58697255,146668745,61196825,91265777,43359705,17007959
05/1971,45908823,46186310,33778225,51440555,60181433,149424257,64224854,95075077,45185745,17589863
06/1971,44105413,44487941,32570903,49861122,58387675,141829941,60967776,90521612,43531197,16952404
07/1971,50970550,47450047,115562395,60080753,87568651,87670623,63147252,28191257,19771485,35606842
08/1971,47797162,44934164,109247317,56862289,86561520,84892071,60139662,26841427,18753971,33878696
09/1971,49809290,46063634,112448818,58399790,88706138,86401091,64080030,28334538,19801692,36593938
10/1971,49663413,46162665,111817008,57993356,88080174,86330253,63365179,28161584,19364853,36115246
11/1971,46579201,44704470,109649315,56099234,84760276,82624107,59149227,26698687,18436324,33812425
12/1971,46658058,44685142,109377119,56248508,83706321,82458186,58321785,26129746,18298538,33596100
01/1972,55035339,50293023,121881863,62850972,92231254,90670806,63244092,29641088,19936196,35923102
02/1972,57782097,51733864,125606974,64223048,92876249,92082556,64196264,30679159,20959613,37238958
03/1972,60120489,54203190,127065476,66074651,97037063,95219171,65548558,31339474,21497900,37433502
04/1972,59949534,54093164,128340241,65417106,97001227,95312001,66186848,31401259,21125257,38793351
05/1972,61481275,54448585,129319933,65113971,96968964,96219176,66781473,31587120,21220024,37616255
06/1972,62656161,55516814,130794068,67140927,99258388,97500468,66649460,31477066,21238620,35931377
07/1972,65046558,90650080,115978546,114034581,93228850,69038316,39829896,36659794,27259244,14478070
08/1972,63729191,91787860,116676117,112900673,94019519,67842329,40311515,35781439,26225032,13986964
09/1972,65300289,92290389,120105485,117553619,94589893,71004134,42792987,37838879,27372615,14568982
10/1972,64366721,91926421,118412111,118726750,95250427,69474250,42450169,36678433,26118014,13954543
11/1972,63114644,95113287,117306411,120043040,96930136,70748634,43071475,36590272,25995035,14017929
12/1972,67042001,96555637,121919096,125995122,100153406,75285091,45757731,39352468,28349369,14815563
01/1973,70876157,101544869,127066134,130313348,103983111,76539173,46401714,38608273,28280454,14675972
02/1973,67264766,97276808,128364887,128051499,100155200,76511130,44713553,37441273,26867906,13896054
03/1973,62629459,95550197,124527428,122158260,95398286,71746515,42737293,35174009,25135654,12979841
04/1973,61404908,95094820,123694466,122386870,94523029,71953677,43030875,34861778,24650596,12780142
05/1973,57410896,90534015,116627316,119321607,90666251,69416912,41422679,33853462,23502280,11918509
