date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,3871335,7584287,68994941,85908892,28645493,16697155,30134651,33509049,67344040,42954871
08/1963,2466674,7185132,36164446,70700217,60919956,33301523,20875026,37008854,9346380,106717520
09/1963,3829510,6476312,6549061,115208985,21395053,47818524,13558702,40831303,98769902,49238800
10/1963,3957869,6009036,4008790,33597798,82079600,68780646,21818868,89662193,36403455,51709433
11/1963,3379012,6922678,9965878,55226230,93201875,82328829,55396286,29301694,22429245,50353678
12/1963,2067498,5073819,16879482,20507174,110220505,61085213,59931248,25640826,89781527,10737374
01/1964,3266703,8384176,9239986,13188260,47622117,116686870,44785545,62930851,94444594,11392611
02/1964,3183798,6689574,7757122,49609465,83708853,51028960,78430960,29152678,46469466,68981157
03/1964,2689877,8950649,49622218,8770111,25195211,105733727,54894375,57692446,94508037,23962461
04/1964,2014827,9973634,47056806,22146627,39676239,113653398,89655287,46479341,34009547,34409060
05/1964,3999603,6420840,20020465,88390359,20485724,34296401,89373430,39236060,122197134,18109081
06/1964,5794977,14646279,52971136,12844030,65361597,50504218,52064608,71268174,86165248,36591454
07/1964,4633339,13692260,11749023,85261359,85931072,41937483,64466999,80045048,48395691,18333926
08/1964,5048374,17031581,57564988,56690507,64940090,69520537,99773778,7331190,79487836,6674643
09/1964,10221805,11343255,87941741,68756490,31366249,31012414,58647707,80325667,30335252,46562579
10/1964,32094289,19279322,69952741,39307003,65485808,25663217,5590714,130901143,74779950,6874351
11/1964,27230320,75106464,31712942,10503832,65598098,30193028,140039158,42070567,44471967,6381671
12/1964,25359728,81677323,31879946,33445233,12055145,52530102,87303422,110687704,30133810,4699278
01/1965,24000418,81772439,35845656,22750152,21307227,8800320,161333013,49233943,62922462,7188272
02/1965,77193840,33803357,36897287,102859035,100022734,28259758,33352092,52992519,24938414,2838655
03/1965,59667058,173297755,73646462,12762637,26836587,50500804,37420942,34120501,20419781,6157626
04/1965,100499221,117973613,41584498,84278702,44060406,32279307,35232694,7838084,21665765,5126169
05/1965,84609249,74222320,77330228,108351789,25780767,59985221,32279344,32366705,8242130,4095717
06/1965,83295166,57275938,43990077,128022703,37792968,85410841,32534688,14359319,15245637,5843850
07/1965,76739378,50158493,104773198,66444850,75668908,40856419,7405711,30201035,13081336,11646284
08/1965,11985949,105527481,99618638,24465118,60644214,84030321,41850587,27949748,7970207,20611614
09/1965,5812557,87594566,95322306,135743196,32172374,40614027,21703612,46507742,17137684,14582016
