date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,20985181,25406756,25449325,67656603,22434198,37324820,44639393,45711501,18377384,21674081
09/1963,26371522,49944202,30065135,48801418,23278711,18904356,44243086,58266721,21680551,16680360
10/1963,9178190,24399983,23167163,28018734,72908978,27157592,46327306,44347169,40423586,15556844
11/1963,33704398,23092664,41354072,86567074,21052224,43879859,40490613,21891863,13247189,15900991
12/1963,10051544,15520947,36376707,43298750,33312681,47831840,23282113,61035112,43691256,17287593
01/1964,21284897,20217835,60783731,40487061,24201032,38892025,69752455,30804391,19968637,14621739
02/1964,13821138,41310816,37479466,33675604,28623954,46380228,86667372,22133400,27275400,20183164
03/1964,16938891,23003030,26273043,42990441,55246337,30505173,27611477,78790052,44143851,20574562
04/1964,15364224,21354929,30036878,35371249,23080248,110985851,36461361,56912191,26942092,13423934
05/1964,15625662,45252667,34501129,25095539,57647951,27779518,31053391,54387550,58601334,25806068
06/1964,20804905,59338401,26902359,49525092,27312593,48970857,36884585,68602252,23922549,18267929
07/1964,20341974,26662494,63052243,25025964,24995595,39202079,31351033,95093238,43633162,16081161
08/1964,23750931,26405873,79854404,29123805,40271286,20879248,79321224,44726558,29600068,17979329
09/1964,17009685,25544482,45874289,68448311,25332047,27228734,44785127,27221827,81142314,22130642
10/1964,19954998,52117912,75550170,39670675,32091330,39371195,18612595,42947893,52590379,18026085
11/1964,22690015,38711346,74880232,39032897,17306776,49840349,33208061,64168045,32365723,24990569
12/1964,20192068,36901764,30509001,75063799,37416264,32697400,37791638,85151653,19599682,19564783
01/1965,50927067,42288682,20976899,39205270,64623169,30014750,68490893,32659289,30323207,18222446
02/1965,28855160,54354005,72618511,30402558,52553149,39957069,39861268,49416943,26879105,16675323
03/1965,35068288,27504898,77024664,67952757,41679206,42415772,29279787,27857171,29689153,33566629
04/1965,37882405,25597073,24830891,125835849,44476952,30963031,36473612,34462338,29704043,22843670
05/1965,51268768,49080919,82963588,64639878,25823031,59944059,32564041,23727780,17371685,15191579
06/1965,46071770,41538591,43277277,68675947,71640464,40076964,21581920,55708295,16131816,15962704
07/1965,55991155,24378833,54860170,109047368,28734394,40195057,19739721,24622340,30138324,15624153
08/1965,37377077,20211638,31377270,76325910,41949636,27354017,91601780,42612434,22893421,12728985
09/1965,29351737,37575734,23906968,28193036,65118773,96669802,47795558,44606885,21244257,16194134
10/1965,21227716,30530223,30583657,44392949,84966249,73945399,52200087,32282127,33894723,15009399
11/1965,24407908,28409320,37619980,106303712,23836306,53459283,75025090,21472423,49855117,23452770
12/1965,33060977,36456943,21394119,30753003,94078619,57183405,57628711,39761928,44627453,18076371
01/1966,20241920,38500346,67135633,69120478,55072700,93125236,28655973,27427202,20115796,19281997
02/1966,14162453,26775271,24861999,59455447,68417721,88556057,54510627,48911728,42693127,14907234
03/1966,18942169,28333279,70805509,55110240,59195963,77286174,26114241,37483915,42736219,19210841
04/1966,28438371,35413389,52548735,87239303,70568107,48637278,37044038,22813985,18859671,16275527
05/1966,36345993,41764008,77805205,69204763,65906736,37483991,16194732,35986523,24515190,19681900
06/1966,47610836,42465221,48823796,46673732,44017477,28893383,65068709,32770239,30728938,16439313
07/1966,23880706,27140902,48409192,51466835,67715277,34377416,33823281,34008557,48413661,30848093
08/1966,19545647,24031898,62577737,23906478,31579995,54861013,63616567,25767729,61262684,26583555
09/1966,18399427,28619355,34177838,40107440,32595547,20324486,50206781,56202218,47259569,24489750
10/1966,13233328,23419020,41977782,30249775,27649417,18166481,50193769,66690857,35788747,32902422
11/1966,18044524,26938965,18725229,27536440,37599179,71125772,66204510,42876616,34847091,17425705
12/1966,17152240,52457343,24987835,31343410,33365740,56880755,49115793,34717518,30145953,31573003
01/1967,15630697,13366702,42395460,16669346,47838423,45312565,62793354,66489874,34751052,25698652
02/1967,12673990,44480586,41937346,18658564,38218218,32177346,36748876,101142074,34435885,52154235
03/1967,19604275,38518743,55673910,60923245,51434664,24100705,68402601,37124910,53426624,19607583
04/1967,29459827,38021429,67994603,36602132,76540057,42597848,29499320,49741540,52112983,21372183
05/1967,41936568,95077405,25197924,94689347,36006185,32913987,30426031,24091412,49180575,30631374
06/1967,21644474,30399292,26318689,53716982,66922795,25095153,37464383,90630031,61683131,24007741
07/1967,31043434,32019302,65593170,24112504,48988333,65322089,37209883,69064493,60929048,17159893
08/1967,37420739,37895076,46130808,38719426,121707310,31232346,37106958,38765749,54803333,21787782
09/1967,35603060,35712717,34280830,69080572,58300858,36091813,46464488,48904409,65717369,23772115
10/1967,22606361,78656691,58646238,38408908,34650893,36210723,66999420,54546234,57785890,15709880
11/1967,22531378,56438378,35048429,42987254,61892455,73342767,28342471,67902967,36029676,28003146
