date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,8036851,7405120,8905102,13986059,16831232,29885984,29043390,32394487,49299533,188748043
09/1963,8533800,10234583,9897617,15576777,21275079,23232257,31918736,44352955,48056583,190261082
10/1963,9418292,8998935,10611934,15157493,22446287,20272083,31347427,36181448,64996424,178232740
11/1963,11379426,8908807,11839388,15514874,19775447,27572345,25229473,45933442,98400714,143470104
12/1963,13219972,8405119,11489656,16562916,20613090,23420186,36932132,59606790,76084261,135267261
01/1964,12238139,9209643,13071327,14375442,22110792,26169200,52412679,43486225,103453406,114223101
02/1964,12051512,10500886,8679004,18554101,17748974,29960602,45377370,69799142,60713851,149197990
03/1964,11298597,10826074,10324473,13243662,20336787,25868627,30620608,67806942,94941005,144117470
04/1964,10477246,11748474,11093896,15810494,20099617,24995086,28681722,63995444,72605014,178082345
05/1964,9434583,10182373,12629104,13750791,20873917,27557188,25546086,47192090,60742543,212074878
06/1964,9848260,11665238,11811555,14257391,20230128,26564811,32173332,37582496,84809525,196306822
07/1964,9735938,12886374,12324555,14130137,20019418,21597639,41916300,40812584,72867294,205099536
08/1964,9839633,12009585,10797057,17219812,22381043,25531303,35948944,61459203,53849095,213652698
09/1964,8865772,12303537,10286257,17080081,23296541,26215053,31494950,49886546,53105839,223436581
10/1964,9059715,13383487,12257549,21870964,22459472,23814641,40457880,41815633,70838209,213008525
11/1964,9211095,11238720,13501775,16759807,25501001,27840873,34380216,56135138,61887979,216086614
12/1964,8283077,12137948,11805767,16149470,26609831,26022366,39349250,67952536,72678464,187874908
01/1965,11048592,11174305,10363404,22730111,22212422,24782013,37999663,49907383,85509942,199318562
02/1965,10221217,10816008,13243991,19636726,27800774,34324954,33349580,51872020,88830603,202795898
03/1965,10400436,9936768,15781961,20236240,26602867,25836875,40274651,51508544,70445859,223393494
04/1965,10245767,9360023,17706126,15563709,24755696,28506403,35829847,55372889,88696916,202752982
05/1965,10791177,9982020,15522156,23729996,24800990,28311217,46304795,45703895,79407970,221122337
06/1965,10610563,10161334,14587771,19782594,28033147,29844320,39138103,80508439,82840347,186065879
07/1965,9649109,9643509,12218310,20191972,22300817,26699263,30595045,76015020,85502511,182910198
08/1965,9928633,10653841,11621125,21574685,26856998,26606429,31211303,56366419,94172940,194364847
09/1965,10269336,12285743,14045195,21773343,28554209,34624759,35236603,47581483,71312084,221091201
10/1965,10449522,13639990,13935736,19965659,35137885,38869689,40331549,57174728,67253671,215216709
11/1965,10680782,12872080,17141173,18094596,24381065,49528480,48923702,60449700,73808873,210578582
12/1965,12033834,14241227,19568735,17374070,28944776,38775167,48857100,59199488,88324045,197126030
01/1966,13368099,16981254,15380477,24569033,27979396,33488808,41868562,65153832,83249178,213380437
02/1966,14647033,14817568,21922327,22376175,25682062,43016680,39604320,72691798,82666879,203691758
03/1966,17553526,14013087,21378640,21651496,25824562,41855930,50320544,62378024,87476565,192113984
04/1966,16176459,17526966,20201457,18118396,32906250,38780638,38129197,56851566,94451922,189340800
05/1966,17885253,18879326,19343665,23138223,30621877,36238576,55775219,50810497,69861799,212369095
06/1966,16212551,18663498,19411244,22553095,24859742,35912456,43584748,51820476,71360892,199833507
07/1966,17000737,14889958,22063282,24086235,21057071,34312955,45405068,56425574,99079173,163731435
08/1966,15668523,17539558,22727754,22018954,21161002,33532789,50284017,55833426,86297801,166021979
09/1966,12952778,17254467,20988623,23343029,26687165,28640293,35257371,53689406,61941284,171885098
10/1966,12506329,19691416,22273811,29917407,24782584,33169503,43313746,50267529,53219397,159376306
11/1966,11728199,23130441,18532238,23870375,29772450,39239348,40156581,47456087,90026566,144207378
12/1966,13085457,22658884,23401815,23754402,29366794,40367836,40925946,53567248,81586891,145137737
01/1967,11378112,16108989,17868096,28093252,35996378,34526870,54078736,45990348,71435588,164895167
02/1967,14197137,13707510,22557263,28525908,29626023,36509658,44724257,58746317,67057954,205384333
03/1967,14454510,14993067,15099763,26567195,25517694,39539303,46356323,55543312,104767757,181960223
04/1967,15883467,14829314,19397056,22843776,30568309,34913564,50706854,60662213,91625422,205505574
05/1967,17404379,13368431,20602727,25206432,33294227,41396632,52931535,66570871,102948874,195506521
06/1967,17207778,13698129,18084689,24054441,32806969,37840173,63060804,72783630,88416221,175308321
07/1967,17702946,16645204,17155564,22515438,31718396,46272559,70172990,75901241,76008076,182024314
08/1967,18550118,18743802,19122626,24529926,36209766,61013017,57972001,68258033,142590742,135302683
09/1967,19152014,16772237,19893188,27134163,39506022,51728488,47993713,55950990,162958570,134987062
10/1967,20175834,18001748,23743638,29986431,37840468,34820356,66548709,66244586,147796230,146909133
11/1967,20841775,18333886,21293329,27874984,37555049,40990954,46958394,59144406,92457553,210161946
