date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,77557326,64001420,70492540,29565446,22231236,19553801,15709193,15152972,11579394,5750569
08/1963,77090818,64675194,70274083,30025944,22246713,19502024,15644851,15072397,11249340,5702854
09/1963,81251438,67978194,72980439,31311845,23188721,20445008,16546477,15951033,11899730,6047863
10/1963,80693950,66460045,72944184,30923113,22701828,19825473,16074702,15736595,11895118,5730759
11/1963,83900756,70457322,75061931,31256104,22789194,19733447,16151162,15952640,12093725,6051389
12/1963,82316526,67078769,76055530,30585066,22508736,19634693,15963714,15819015,11776341,6023898
01/1964,83420397,68673189,78189425,31465211,22899603,20385128,16578159,16197125,11961545,6169884
02/1964,87743772,70238469,81058308,32355283,23159244,20514373,16945144,16381046,12017663,6432872
03/1964,89244655,70853755,82392892,32790435,23534238,20801110,17075044,16475855,12717623,6793222
04/1964,90439749,71711213,82886629,33632568,24014195,21211331,17588454,17105348,12893814,7143887
05/1964,88810414,74159486,83784509,33846058,23987175,21405793,17336508,17030786,12975020,7069184
06/1964,90612106,74911673,83710907,33933344,24027567,21630363,17612157,17621381,12941373,7222803
07/1964,94037881,73513913,92999867,28490458,29707919,26343998,18227060,14371079,13172199,5737144
08/1964,94588040,76756640,93303676,29520506,30767621,27065374,18484954,14553937,13318120,5780588
09/1964,92305232,76056027,91232342,29123684,30791297,26843771,18306156,14568835,13087727,5617457
10/1964,95101844,78620622,92252213,30048389,31540055,27929344,18936217,15155994,13845638,5790964
11/1964,94415091,80037698,93315440,29877790,32232936,28042340,19227486,14907107,14236392,5898535
12/1964,92946236,79577554,92363966,30097700,32372927,28387862,19051376,14552294,13955792,5805611
01/1965,94925992,80495928,94862655,29673248,33093686,28871447,19162006,14411137,13985125,5662056
02/1965,101288278,82520695,95458164,30737120,34612872,29722892,19946526,14930756,14764152,5973771
03/1965,102574620,81479279,94514218,31001772,35159350,29222123,20473745,15149674,14964668,6087027
04/1965,100487769,81117975,92447168,30459431,34782820,29154757,20477987,15101393,14876217,6108106
05/1965,105542220,84587430,94405725,31083728,35762203,29801044,21290342,15568262,15767588,6265520
06/1965,105244488,82239160,94944900,31327469,35394770,29662864,21107741,15322306,15474804,6177541
07/1965,144585734,60134279,38170678,68468138,36458305,22403965,18941003,15198570,15878890,7440134
08/1965,147296763,60218488,38635128,68519962,37416937,22848986,19505105,15622438,16475380,7633065
09/1965,151532014,61706606,39865092,69467976,37927807,23251961,20021183,16082388,16812093,8041547
10/1965,157313023,64452880,40756738,70889944,39226558,23392530,20463826,16612629,17442019,8198196
11/1965,162503846,66169453,41746013,70608327,40385019,23911941,21335409,17387283,18536006,8554648
12/1965,160707415,66418242,41695821,67928864,41277542,24148141,21589420,17387309,18247373,9023326
01/1966,163165843,67558178,42508218,68547655,41725467,24083827,22629263,18385225,19724103,9239625
02/1966,163082552,68095390,42519373,68611821,42047655,24594269,23135944,19142513,20251045,9815874
03/1966,160355601,67336405,41190473,67917872,40694354,24092649,22838348,19243609,20241659,10030764
04/1966,157921435,65486075,40641472,65275841,39679841,23929405,22346348,18981139,19597148,9655234
05/1966,161151625,67574645,41811029,65947996,39900206,24758258,22587160,19874416,20131560,9950752
06/1966,153416825,63455012,39351916,63039241,38136419,22961010,21275119,18384061,18655308,9041974
07/1966,141169913,50024740,56436169,31142411,70541482,27314613,26923755,16753167,15071314,13527803
08/1966,138495024,49376677,55914726,30743575,70205301,26754765,27066249,16389018,14850118,13230141
09/1966,127925484,45206067,51253739,28660319,65314772,24607065,24476392,14904133,13573868,12088343
10/1966,125593779,45018873,50699651,29402156,66171189,24556242,24049448,14656758,13191066,11859269
11/1966,127738677,47099173,53396955,30770842,71672280,25394224,25151699,15615070,13945393,12567599
12/1966,133354101,47643566,52514580,30913901,69726127,25633121,25504526,16020627,13636867,12446134
