date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,32075354,68510294,29474951,36048252,39918050,26907185,37141669,48654665,19058768,5269494
08/1963,44447832,56981263,43838987,22118885,37980984,35969501,47945147,25436943,21611913,5816809
09/1963,48783384,59042400,46468972,20656592,46299653,37742051,41951022,29083200,20519784,8343344
10/1963,32719857,75046933,48615754,18248598,61739131,43544732,19720577,28963746,16808564,8529423
11/1963,68069925,46437912,43419491,61025896,29634846,39101266,30097760,23559976,14638822,8229136
12/1963,47310027,67427788,36193190,44867149,51738801,42378118,26233761,21644183,14912344,7340660
01/1964,40739454,66552154,53235872,65585080,42833303,23277300,28009989,27286993,13636322,8227628
02/1964,31751644,92547167,47274847,61803753,46563565,30620325,22511481,24792042,14133416,8343849
03/1964,32993874,64625630,99126018,60508464,29695459,23796530,25064703,27913935,14472831,8619543
04/1964,46784811,57622141,95506047,65071958,29109452,18396938,34294855,24687691,13354713,8290439
05/1964,39317319,68786841,93986208,56205222,35111683,28113302,26167678,27881118,11511346,8249538
06/1964,37037215,45645495,118176912,60399927,38685338,33468755,17587333,26458281,12509346,9827209
07/1964,35819927,50300756,126747786,47265500,39916321,40151587,16550619,20348636,19705709,9084516
08/1964,50172466,74428298,109810096,27208121,39580413,44692864,16546638,29499365,12665853,9581275
09/1964,48886516,41200409,110492917,64920433,38221388,33120575,24912416,22699197,13041801,10281954
10/1964,50977228,77310290,98580264,43294901,43644237,30974865,30541978,15372078,17552333,10912584
11/1964,40758693,129484560,58157531,43434216,38855353,45177937,22519636,19290315,16350823,8771510
12/1964,75007458,100218461,54801254,40769569,41195208,32703912,29638329,20015460,16445341,8484419
01/1965,49315484,115515718,69367363,38220476,46423333,34114500,28587157,18343188,16237006,8219105
02/1965,65297339,145714226,40230651,46718306,41564048,26554843,28870009,19367814,20262365,5054425
03/1965,61109941,102328703,84833556,48095192,42557144,22521208,21893761,29303597,21909451,5527198
04/1965,38807244,118152924,83786354,48091121,36097092,34514503,18994118,28078005,20916923,7240669
05/1965,69067171,90129383,99975322,33960043,30153628,41321598,23263345,33138343,18995178,9906612
06/1965,115839707,40702096,94378745,35230607,26552700,36608677,32477616,31707242,21532250,11086582
07/1965,94245363,49557921,94312589,31963998,29518927,33234007,33591934,29907600,18861201,9617940
08/1965,96338756,48824311,83125465,52907891,29009835,27088478,35573277,28479694,20308963,9506985
09/1965,101139666,40108574,48047367,72899408,51878217,26729711,39546579,31781374,21581408,7706734
10/1965,92458325,51135006,54242975,71279813,53330552,34470080,45021948,21803735,22673287,8723108
11/1965,67992871,77195604,52757329,41265967,72970360,52226102,24564480,41775169,27331912,9252008
12/1965,91979011,58698521,48443385,40220464,67549146,52401556,35188092,32581947,25870834,11260938
01/1966,103434694,46637663,49240088,39219076,37151124,80267881,44639449,34519527,21474120,16439385
02/1966,69610088,85144462,49416582,40009799,58553778,73849539,27647026,31574272,26463173,13483354
03/1966,68395370,89419449,40453368,56773924,39415729,76675142,38112748,22210919,20139004,16871481
04/1966,69898855,65802060,62260340,56040399,35897706,73626680,33910176,25982761,21561268,12677193
05/1966,66526249,71296919,51558299,65453771,39131425,48018883,58743562,32812474,20391452,13776793
06/1966,59537167,70046948,77854921,39303356,36333459,72113596,23594641,31196534,20707091,11511866
07/1966,59095327,86824323,64207792,36979296,59244142,45221537,30928971,27501150,21113032,11282718
08/1966,57605150,86688993,62158715,36860741,31546975,70652928,24202058,31985283,22484326,12905907
09/1966,51013350,76972615,61454499,27951982,30762609,70632603,16806765,31501939,22100773,13977313
10/1966,58859835,84637281,43072798,23024020,32175133,55857551,44643868,21651473,24888954,11712394
11/1966,55789572,65381060,62133703,30663519,28392858,41900566,73777089,20037075,28499469,12883905
12/1966,35199609,67033342,66535757,49227871,25414941,34348355,55260514,50823656,26965343,11725339
01/1967,36050384,61915568,55986935,59386724,33364402,34946942,30844410,46567122,53202130,15354261
02/1967,39485052,64439560,41659304,76029724,36888505,35779655,34956764,58099991,57381799,18363242
03/1967,42087340,58426346,38092687,64231716,46030109,39947856,57299800,31881546,64756953,21749929
04/1967,45333262,40409427,70636202,44278030,64673846,38522198,54612589,35798905,64838211,23985832
05/1967,50352061,41185696,65111491,44895109,85794636,47724791,48062097,35064806,58706542,25929497
06/1967,48519308,39933515,45684474,77125319,75873342,48183545,29293607,32453314,60240920,20632745
07/1967,51327350,43383481,43477497,96520318,39112207,74941891,41368676,36709557,68936255,20211853
08/1967,51881413,47430852,44148414,67308430,65237846,80718128,53030608,43846265,64472685,20967649
09/1967,55455756,51386786,45208134,61818300,81156106,64372999,48787652,45947752,61063005,17465774
10/1967,55359565,60123028,42278293,99125211,44886782,63725997,51644575,51947231,59100586,17856504
11/1967,48475122,60251573,51744936,68412412,75997594,59327868,39907630,72190068,38166085,15669664
12/1967,48591150,57985157,87134715,39518825,81465000,56316223,36347942,62081040,45471411,17115565
01/1968,52343481,62736191,40392406,89784788,38169496,69239428,71426888,69772385,43493105,19561282
02/1968,42947699,53231780,47829523,72784152,39219972,84298310,38399526,71439248,60988695,24047144
03/1968,44120479,49319573,77185621,33233584,48367730,76808898,38317358,67456402,66321756,16205437
04/1968,42132409,47912564,44165784,70678555,51008969,56431939,53642344,90121077,38403505,24906261
05/1968,45733990,61204554,37626712,83981784,75852335,50019525,57070362,40304188,91586822,21385989
06/1968,48926515,59940292,50378711,75939649,55393843,70181712,56306254,50852885,80944774,27595576
07/1968,47819541,52688096,84961016,43669056,50582029,42878867,81043445,59294520,90782063,28358734
08/1968,42039510,31606432,61296748,80526407,41853910,52565922,79163386,52296267,95107144,31998504
09/1968,42789109,30504132,98971413,39787452,46178900,49634630,80121251,57221710,78992617,52333350
10/1968,43514447,36923173,93996697,48381599,36636778,61993610,83434434,77458479,56000573,59180911
11/1968,45992028,31356178,92112445,43089167,53150258,58312959,63126515,92954000,58395186,62506848
12/1968,43800394,42462562,91759711,57708871,44964422,70596120,64385562,94307463,42855641,81556780
01/1969,43057283,36919875,91091951,48568943,51263700,52657332,96330071,65939650,61112355,80403573
02/1969,40672797,36585431,48889268,82069262,35609709,65516092,58361492,89995670,76038245,87563683
03/1969,37788463,32749613,51043800,76513871,34308436,51962131,69718919,85467483,66001101,81852178
04/1969,38891719,38735317,93751857,39185224,33586012,61456003,75272477,83907637,63539866,81051018
05/1969,36575241,38845085,63633221,75095770,35212944,61191404,65019705,92441670,66030059,88495454
06/1969,37222243,31954437,55669407,81561046,36110448,46789348,55504651,102291250,68974448,105175135
07/1969,35062734,26819996,55448366,73162263,41158623,34851659,56430901,78561515,82818240,96241330
08/1969,33567240,26438811,85111038,36266875,37959468,44271630,38323856,77355897,85643752,78483582
09/1969,34830262,31072151,87259964,37486135,43292885,42180681,48019575,73778410,87106782,82457111
10/1969,32736394,31545698,39959476,88148801,37654367,36995843,47982906,65031516,96084257,76282082
11/1969,36457832,29685985,39286147,89319368,52272223,33647951,47983784,65975462,103599997,82365699
12/1969,39067127,25993888,35024047,87746302,49009774,32134434,47692060,53777730,85325610,103827264
01/1970,38723617,25337450,37302494,78951534,55011350,31363652,52454165,39868527,74322837,123571520
02/1970,35378581,23804026,20645769,76217262,47345329,45147726,43711731,46298564,81761768,93763477
03/1970,36858393,27426141,25647984,90559115,50881534,39635754,37227398,70850436,87883431,76736609
04/1970,37777989,25629957,69295728,56007163,43783793,38171675,46935300,71537169,73059447,79893951
05/1970,33546213,21084007,61791269,49572895,47865944,29232623,50956801,47177815,85447131,61428297
06/1970,28201658,27017765,49812060,51480402,39102638,25231511,60632645,36806507,71256248,67312927
07/1970,26219423,26520250,52453503,45867168,36981512,24442830,37304167,61275158,61418805,59716334
08/1970,34077759,56370246,44988831,29247091,37243745,34543903,30009833,64163050,99340957,33985047
09/1970,31384970,59112010,38581243,51182521,41320936,22899841,61945732,46888680,99317551,32139037
10/1970,34925063,70805028,40486991,49681215,33106115,38160105,59820288,41320016,103255019,32537679
11/1970,32658086,77527019,40338294,44506075,29648285,38133383,45352602,47554348,101539944,39091420
12/1970,40543477,73353688,52914987,46091427,29099907,48340359,60073855,52043634,87773323,29415310
01/1971,47169356,81660481,55911162,50172495,43147866,50447714,76048390,72074204,54906827,27751592
02/1971,46842396,94735628,55658851,48525204,54194780,42938599,66163239,87929341,56727840,32374798
03/1971,49690185,99870956,61100443,41877684,67041124,71745490,46819411,85727999,41116371,27085568
04/1971,49778898,104478459,49633727,71845802,48947240,87220178,65574677,62913757,43771982,30686111
05/1971,61378792,100420162,57769231,79174746,89958301,69944614,55115223,48681912,54063379,21927122
06/1971,64647979,91582160,45209205,82163332,95042474,80731129,38127313,50015573,42324439,22265422
07/1971,73719635,85393356,63389708,86066621,82768677,77497786,40179143,53147028,31888155,19106626
08/1971,63164193,94312098,57138761,63531357,121701634,56909270,47327707,42401076,28835236,13188666
09/1971,56211129,98296404,54448365,73460033,99299273,85624197,47441608,48198341,32188781,15039114
10/1971,55053408,90983686,48116154,76825667,61000349,85210805,85463231,44621355,42584561,16579233
11/1971,51032544,89023215,50657670,69263986,85942687,51561536,92606566,44909881,29432393,17853568
12/1971,53548534,48709294,100829857,87136863,59813312,63256784,82152659,43341291,28337858,13091460
01/1972,56149490,56392158,111553224,70310175,89532288,79729557,82966623,49249616,30739832,15923484
02/1972,61800974,57384393,105572805,60629090,119485848,68112659,90130985,46298279,32178242,16864362
03/1972,64741053,53993630,127269752,92255406,74571518,62374067,103427663,49439512,28884008,19198161
04/1972,58475223,66816614,121887912,89315947,79749156,81849554,85520177,49804670,29777686,16449796
05/1972,62940887,55571996,91121138,131071225,89285777,82434076,73711563,46804341,34280114,15644622
06/1972,65165206,67790202,98635764,138002068,94565506,77567412,65610692,44119882,25398857,15377817
07/1972,63394213,74807994,116597727,124751505,107809819,55135716,63550532,40206766,17255460,13456525
08/1972,65257260,89606009,100855113,144579444,95641744,71920304,38838214,37125131,16734917,13852745
09/1972,69674358,95067806,100281823,178905329,53293106,88978861,42455064,37005649,20868758,12571444
10/1972,72765934,97075150,105925857,100848471,115136367,80073392,57534001,33805119,18310190,13077989
11/1972,67771241,117326888,102286364,77572810,81291312,125741329,70364366,25997723,20705806,11705126
12/1972,73747215,112306663,94701420,134013609,65127093,133749235,51513129,34715935,19971987,13471055
01/1973,80682624,109041904,122188864,102001924,154053344,73466963,48119159,34835410,20672874,12827527
02/1973,82875716,132075442,121081214,158379692,48954151,81818447,47900284,36269539,19683514,11310059
03/1973,78228157,122499563,126589348,71431174,123993667,59673211,64024629,31084383,19936510,10635095
04/1973,70523157,123091137,120005340,71665352,124907583,76411544,46611796,40216256,18228640,11587586
05/1973,74401513,107844139,128078861,41300816,143973440,72377001,47324707,31322559,16402875,10656571
06/1973,81652532,151371984,104780356,125842321,64063958,50494260,37621083,21253212,12965082,8349426
07/1973,89836889,170083276,72214572,122963666,71530372,37842288,46340319,20796532,13314988,7919909
08/1973,128873172,147990286,63373926,144877414,58714937,48397458,40317651,30098159,15666506,8419877
09/1973,133551497,151605662,133692575,55597825,70057677,41297300,35686733,24318914,11364972,7831138
