date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,7892965,17190509,30840486,37647885,48556825,63498224,36748662,27945405,37094463,35805362
08/1963,11156155,21559307,44069806,25984355,34544648,102565256,33416949,29347309,24720620,14913254
09/1963,10459021,21707283,26108372,32529478,47858732,21997019,74464939,59309722,26600985,37918922
10/1963,6424664,8099162,15205437,18410309,47392086,76831577,58807488,44412657,40749108,37915837
11/1963,10994434,39532269,55685297,68923734,31089242,35859243,56466527,32836975,23412003,11328980
12/1963,5935903,15883084,19773392,25610407,26172098,29924073,55646913,55339022,73797508,52865740
01/1964,61750367,78438633,58310677,44510132,60306311,19350613,15783213,19725944,7126204,4189224
02/1964,53157008,49672034,32194917,30943980,59270149,22810400,25218871,67654675,24779986,15083333
03/1964,14253861,21286675,20592906,24431845,39096731,115406102,66714787,45884579,24147591,15431043
04/1964,9083568,19334895,32361065,22907746,42295781,24695765,91301190,72045977,56558933,23351868
05/1964,23129483,34835941,63087825,33728786,48474078,26520147,36481667,51271820,37904879,40184292
06/1964,14205781,37187485,20799786,59000818,45529027,80861462,34853579,31439110,49732963,26497040
07/1964,13000814,18609552,28809864,30690041,24806136,36984798,97815922,72387625,28144864,54720980
08/1964,9233312,14953749,56249655,44663464,24251296,107994873,60118288,27345557,45024950,24450746
09/1964,9789441,20140256,34506531,34669268,27041675,53250110,71387457,77021403,57603756,22663726
10/1964,7083474,12319933,17345121,24523575,25305497,32850304,83021358,103279081,83646577,30262126
11/1964,14436708,49800754,54356565,34946997,63211294,75876633,58610191,30882610,26024462,14794293
12/1964,7985955,11524340,29316277,33658892,33928489,37863721,62959758,63406606,66836203,71989181
01/1965,51104899,62567141,43442029,75060533,80366509,24692598,48864525,22425555,9281512,6828477
02/1965,32883841,59095103,60332903,37356918,46562497,43446384,77112156,41371057,26632877,15309893
03/1965,14988452,24748117,41842982,38140622,67646307,85738189,77179085,46043786,30116054,13867503
04/1965,12170685,32888347,30987991,37871381,31332186,50000708,100011856,58431822,44354201,37165618
05/1965,16271417,53608169,67794559,31011723,62976886,31053139,84621385,41237725,42702517,19004481
06/1965,24221681,19000771,48913029,24302428,35776692,124623178,36213357,52118146,53316759,28792006
07/1965,14965703,22108909,23082679,36365952,39752279,30004569,127156484,32965032,76041315,22648541
08/1965,9818152,19124471,51378601,42679494,80667892,55383200,71666631,40946400,37755759,21963134
09/1965,12325965,24910544,32151315,36680138,30538175,102582967,67175952,46649860,54681361,33745097
10/1965,8504350,18918330,18099330,25547225,28031797,42027394,84990093,106522697,89546654,33069419
11/1965,13955096,54907902,40808023,49244914,99928287,84488039,35235958,39091750,27162072,22699862
12/1965,10031553,15299403,34133181,29004422,34861691,33612366,61052517,88032271,59169178,99209200
01/1966,40811222,65194336,69193482,65693664,51310736,85265949,40704751,24379937,18715369,11800279
02/1966,34958408,95628146,82420167,69039552,57468233,41652086,26580388,24643422,26035194,17880342
03/1966,18438836,47055896,52501024,81140697,67581759,54475908,79957750,33019687,21041899,13829641
04/1966,16921277,37921399,32435036,37229520,63181697,33778390,65703807,81196463,52192042,37531980
05/1966,23741032,35804565,40747072,60522109,67641592,60731720,55377900,60099088,40208090,23632716
06/1966,13717231,20929125,42532861,43274785,32614390,75117330,44285444,69177780,67020488,39625083
07/1966,16493014,27012896,35476697,46509993,61621716,40221772,66253788,50965244,68342383,29793221
08/1966,9224960,40083112,61912422,43476277,70684284,65036928,63921788,23709769,29947424,29625954
09/1966,16573304,18197439,34756818,25638468,64071479,63301539,48071078,50878631,29912968,52762244
10/1966,10781286,19997400,29469012,27194608,57636453,49510134,40683973,78717127,61421731,25382040
11/1966,43379256,26958898,56354990,70639954,69942281,46324505,31355199,27375235,24720729,22407768
12/1966,9797956,22512642,35307717,53217678,25879169,25438407,69751409,75143192,66952755,39622756
