date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,10091228,11344048,11499090,18319866,14691437,18166505,30549560,45145220,48540078,177351300
08/1963,10385646,10551113,10935073,16040556,17999089,18474842,28715504,44329674,49082738,178641308
09/1963,13004524,11064090,16072198,14806432,20370889,20821410,25542265,50240521,49204965,182876270
10/1963,13635258,9291547,12624073,18062721,16176700,26605314,33888689,31719080,46546847,189562798
11/1963,15206721,12037144,11697525,18528007,15817281,22663349,39518824,28935671,52005911,192345118
12/1963,17137144,8946121,10601518,18264124,16016143,19858117,40206558,35717722,45836229,189885068
01/1964,14127499,10508079,9565782,16652989,20447491,19598727,30077959,44716093,50655154,194953041
02/1964,15481183,9813158,9764803,14723249,22324883,20706672,27826388,46055050,52123740,204293128
03/1964,14423009,9950179,8828061,17963441,18976274,30408974,25501903,47464841,50606063,207964868
04/1964,14180492,11173786,12433657,13727818,22405270,29834010,25470071,55375496,43994943,210444632
05/1964,13264551,8082702,13231469,15320567,21185631,25695937,32303312,32198550,75879341,203486973
06/1964,11104298,13036591,14433473,13384364,21972522,24175986,30088154,34738858,77804584,207287126
07/1964,12456270,12433068,14296195,12981672,18633820,26632510,30314549,36466359,71956363,218011777
08/1964,12640619,13371204,13712740,16040232,16620469,24431364,32794547,44026982,76987933,213177480
09/1964,12620528,12583068,12933857,15474756,16552999,23192072,34088905,48027820,80562195,200628009
10/1964,13089068,13128583,14303978,12689469,25492017,23649334,31990061,48198651,75449062,211625009
11/1964,12819173,12354951,13905464,19014669,19854622,25328206,31278306,50800366,70929889,217097051
12/1964,11962862,13080850,13407831,17438327,20327675,24501168,35963125,39410619,80257308,213796132
01/1965,8172753,11193712,18051457,15514209,21521885,22561077,35969861,40437939,64046983,237960227
02/1965,8752185,10563536,19119292,16919341,19623271,32393910,35295723,42781356,77581240,230162455
03/1965,9992436,12869298,17010432,20935997,17472191,31331824,37944735,38139486,89642570,219771750
04/1965,9887352,11628552,16006582,21006103,19139355,33247647,31434373,39392551,88809575,218893450
