date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,25513704,70236238,30824761,36009532,41111258,30757336,45088912,17290859,13577438,8291805
08/1963,28401831,70213757,33573801,30567507,52207360,46351345,21166232,15986896,11210454,8844552
09/1963,27404817,68278025,22719799,34975243,51262831,15760685,65163454,22923632,15371873,9998224
10/1963,24229590,66033934,22905067,33148860,43967482,36999298,48064992,28032777,15436073,10747746
11/1963,25794301,53200336,48021590,44680766,37203358,47075240,29243816,22234066,20100689,12069690
12/1963,36407432,36853915,23839364,71716185,46260406,24308483,47529297,23255584,13497453,9125051
01/1964,25260451,37342086,18012141,48083298,88475461,47324016,32200119,20110464,16141607,9020054
02/1964,25401634,36635356,14823582,29657808,65942017,81660014,53293498,22320528,14008683,9137289
03/1964,22730460,41207053,19491496,19205966,85777514,72798383,46307942,30081628,13708708,7251042
04/1964,28609162,25296454,33160401,13575828,114209654,55975750,36427407,31959605,17421669,7666127
05/1964,26864768,27843350,62468611,73581379,46725332,48835310,29054781,35560609,8720554,6142775
06/1964,28321099,19410589,98654149,51449174,33160614,67207220,31111832,18837316,14733708,6238104
07/1964,30776051,61582065,39544315,60889402,45663115,50647907,42493377,29676064,13825177,8013482
08/1964,32446775,38663274,86019527,31406988,83949946,34184281,45052391,16169656,13459155,9663407
09/1964,28162221,81728132,43832996,74963767,33095420,50716045,28372264,21139449,16902771,6187525
10/1964,31573354,86948980,78809706,31397353,30362178,73116952,23643772,14832701,17965229,6989824
11/1964,63266405,53522900,57040338,49745730,32071791,33131538,61827528,19225232,20962779,8151013
12/1964,63858421,49210815,62343271,56345726,32561843,62627685,26009305,18639098,17862387,6645444
01/1965,64271964,47738708,58390016,61552956,61197125,36857093,27180849,25231154,12867960,6618082
02/1965,69512269,50715711,57116754,37693430,41745415,78971925,31842308,18621029,21781494,7831896
03/1965,71608397,61587318,55704427,38759062,63611713,43861732,38702143,21761787,13286424,7319348
04/1965,75614807,61360355,84447262,45879825,41862679,38581827,22980480,18351656,13398612,8204475
05/1965,94491253,60340975,74814239,69189400,41338186,26925253,16904392,23135653,10359142,7568365
06/1965,59664291,94870883,51203607,66671424,26361669,57239474,23712466,22741484,11603420,7701966
07/1965,62327992,53591239,82618112,75691113,37486079,38985853,25451081,16635654,11657548,7239108
08/1965,60203151,44967497,116473916,47157134,32219886,36988207,39893983,18914014,13187673,7686313
