date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,29120230,82486595,74926473,38902548,33383582,19842636,13852636,11273493,7716410,7306158
08/1963,29346843,82408554,75121291,38889779,33453496,19606140,13654844,11150417,7760716,7237358
09/1963,30573095,85071544,78649657,40974475,35612691,20987321,14463256,11853261,8164655,7626435
10/1963,29584812,84753880,77273016,40399296,35552132,20822402,13996575,11787205,7989566,7532256
11/1963,29297254,86462446,82961585,42078237,35710443,21170577,14172767,12255300,8093105,7586000
12/1963,28970466,86420216,80073760,41638460,35109553,20776148,13913347,11895442,7997922,7559071
01/1964,29732825,88614859,81433660,42986626,35616896,21019428,14622637,12226744,8191920,7665029
02/1964,30224437,91108611,86024903,44680877,36908026,21122203,14760629,12260556,8136616,7782816
03/1964,30547317,92457188,86277700,45701320,37509356,21580094,15338337,12822337,8275386,8162680
04/1964,30137583,92477801,88230845,47176719,38400851,22228006,15603087,13077355,8697366,8385264
05/1964,30347165,93745096,89615779,45931166,38114851,21951914,15520748,13480956,8614297,8579328
06/1964,30401222,93418827,90457790,46386309,39180749,22081493,15851423,14124079,8777843,8560085
07/1964,30541747,84707289,105394510,59762507,34930825,22400708,19339334,8854839,12399490,5219019
08/1964,32263465,84497492,108849806,60323715,35898582,22841668,19758355,8891952,12599755,5368387
09/1964,31983985,83251293,107370575,58756521,35166569,22497972,19518144,8935869,12503005,5386398
10/1964,32569749,84160488,111352761,60127311,36531431,23090736,20226193,9069354,13163721,5601373
11/1964,32669902,85172794,113037042,59466630,36436990,23710301,20363095,9226219,13457082,5665907
12/1964,32803171,84595715,111075046,59308065,36240519,23950812,20209163,9258167,13214834,5702486
01/1965,32963586,86988725,113262305,59979386,36641536,24258778,20058049,9086830,13135855,5746075
02/1965,34273621,87938048,116624060,62582203,38686155,25358499,21103956,9617105,13843210,6020374
03/1965,34299169,87924177,115256717,62799617,39048045,25597196,21306671,9992528,13984479,6197805
04/1965,33981993,86416996,113273608,61796374,38482646,25498802,21401184,9789561,14037667,6217165
05/1965,34080338,88550548,118238766,65071761,39846439,25996275,22022225,10105538,14856520,6539591
06/1965,33769396,89141309,116441769,64145036,39103478,26403329,21892240,9949133,14609074,6574064
07/1965,46839243,94079082,107444753,41266542,53619174,24664869,14393109,10965205,10337704,8368790
08/1965,47586202,94209076,109285296,41293601,55369283,25252468,14856053,11096623,10629859,8416273
09/1965,47735996,94536357,112483778,43061791,57182504,26481180,15274031,11406451,10870998,8661733
10/1965,49036375,97035482,117687871,44257179,58600589,26943204,15938592,11891481,11307828,8978853
11/1965,49218189,97820117,122166152,46076994,60314589,27997856,16603052,12323206,11941694,9334780
12/1965,48638639,95174959,119556599,46460993,61538289,27861815,17017225,12569152,12020860,9546194
