date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,76837454,47653796,36166961,62087771,33648624,14698526,20061328,9668147,12455229,7208429
08/1963,76102814,47988442,36476314,62061247,33814232,14679178,20320759,9542625,12307866,7002554
09/1963,80154737,50751045,37769523,64477029,34972948,15501764,21337662,10219308,13183056,7377708
10/1963,79453817,50255738,36120771,64709030,34090471,15416666,20990032,10246962,12982520,7178550
11/1963,82234182,54917426,35979393,65967126,34883946,15246618,21070588,10724616,13283453,7182900
12/1963,80674873,52118382,35525283,66581046,34498909,15242755,20597777,10448524,13185583,7160369
01/1964,81587461,53146789,36702333,67928241,35971152,15748023,21219491,10570201,13514776,7359666
02/1964,86122189,53987404,37516658,69738354,37549432,15834075,21594892,10817126,14043825,7462156
03/1964,87722829,54255595,38072714,70668342,37863342,16038028,22171166,11278105,14378444,7896983
04/1964,88588375,54804648,38480563,70487040,39004175,16622316,23013643,11791096,15249302,8027448
05/1964,86714640,55785489,39374862,71728924,39089849,16511994,23566533,11740406,14967390,8055222
06/1964,88114187,56536473,39458953,71391564,39259695,16431117,24199977,11940533,15466148,8091133
07/1964,91054311,57710782,42120094,92112617,27343978,19014601,20540592,17746408,8238807,8219037
08/1964,91972187,60674818,43656307,92219168,27861576,19921306,20769558,18157731,8378600,8259088
09/1964,89728559,60516481,43239890,90123855,27797905,19678699,20338654,17991265,8367855,8126688
10/1964,92067543,62516958,44168870,91202700,28717335,20564639,21085773,18723854,8705261,8680263
11/1964,91697518,62987302,45234000,92499497,28826511,20818134,21253071,18791285,8733826,8884870
12/1964,90462263,62270956,45903165,91423316,29009440,21053365,21130551,18628706,8408154,8563244
01/1965,92251778,63381363,45805408,94431152,29887814,20544347,21396751,18372860,8147973,8382871
02/1965,98227025,65803759,46622498,94895758,30688261,21482240,22164695,19108712,8692734,8860486
03/1965,98991680,65498024,46306569,94511091,30768039,21692316,22151981,19218062,8840645,8915456
04/1965,96948955,65565912,45738973,92716591,30066628,21395325,22011711,19142177,8814812,8980258
05/1965,101522416,68813367,46359098,94796412,30915408,22280540,22589949,19747438,9195318,9580914
06/1965,101190608,66776274,45576829,95560469,30712271,22341985,22390939,19708590,8941596,9293980
07/1965,128985679,48391498,28728398,54394195,69882056,24156193,22984753,13822059,11706631,9295180
08/1965,131451619,48604376,28952347,54863146,70183000,24507495,23652124,14455878,12019087,9690172
09/1965,135527123,49680861,29441892,55558280,71314085,25581918,24246534,14494885,12389235,9849472
10/1965,140973657,51745563,30254322,57307234,72819001,26016728,24833562,15130971,12622653,10367086
11/1965,146338431,52661275,30815715,58375696,73087837,26990135,25725946,15715960,13396564,11090918
12/1965,144718448,52219083,30906353,57964009,71595177,27101924,25983924,16014210,13252205,11040173
01/1966,146758650,53498387,31248725,58052316,72594226,27789429,26922051,16425874,14247531,11725897
02/1966,146158295,53298602,31330415,58524807,72505473,28443011,28030802,16832715,14816488,12330663
03/1966,143916095,52426768,30310755,56463052,71915626,28015798,27528280,16976524,14755618,12199710
