date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,75560885,54153389,31066778,57429264,38973119,21246915,14645699,8248195,12085183,7082479
08/1963,76607986,59551752,26571230,75705121,19095753,21302543,15026848,10418202,9372876,6768802
09/1963,80855341,61396754,26277160,76289530,25077992,23346400,15504866,9517134,10147191,7336629
10/1963,80292359,59036457,28566732,61497408,39510872,19742962,17014786,9328160,11945198,4525188
11/1963,109636656,29136930,34914465,78982886,26451255,18433730,14152992,12951571,9689151,7368635
12/1963,107004476,28530856,33332308,82349879,23669860,18320051,12439876,13970022,9444417,7018853
01/1964,108007453,38604119,27397887,81393667,24964184,18476889,17371624,14037925,9184948,4337407
02/1964,88298504,62071393,28640745,84710639,25207012,19398378,13776171,17297195,10912780,4381037
03/1964,88826434,63097932,27869845,85252118,28563195,20004920,15101755,13998877,13087923,4592952
04/1964,90335750,58768268,32263825,86371617,29089431,21502552,14925823,15834784,12646113,4534004
05/1964,90506406,71273785,20559242,85815750,35970371,15593035,19229728,10356570,13629877,4600545
06/1964,117513486,47329630,23776015,81170271,38461927,16616220,17544167,16389514,9582696,4616866
07/1964,120350634,32587352,40081729,87025067,30438656,22576497,20147188,18647218,6480818,7615976
08/1964,121700732,45624125,31343949,82751985,40885195,16823659,19790379,20179708,6861598,7796342
09/1964,116931450,47853906,29945554,87092845,26786533,27096961,18627075,19201800,6579596,7435518
10/1964,122498330,49624444,27759286,86050655,39373482,18992322,19801938,18487055,7487902,7951028
11/1964,119853052,45638521,35877090,52481414,64694034,26940585,21070885,16438048,9884640,8400147
12/1964,119237078,44667427,38987066,51718352,68465274,19359292,22406594,13930868,11452707,8148152
01/1965,122356659,47466553,37221897,85557215,31255382,25220065,21984263,14076094,10888867,8100669
02/1965,126615538,38066694,47922554,37375499,83912391,26852231,22454959,14765922,11386732,8776071
03/1965,96101639,65103380,49936049,37100188,85532104,25506608,19212714,19977952,11343030,8837721
04/1965,121417098,38656075,47444893,35980338,84514913,19078101,25166138,20164124,11182274,9405581
05/1965,129131996,40603156,45485663,39493815,64795484,41307695,22803360,22034058,12096634,9610629
06/1965,99846175,64771455,44318830,38693840,70732061,39718556,25147638,19323307,11743882,9796623
07/1965,125440179,39918128,44086077,30951256,86398094,26290729,26431031,12560935,10437091,10060569
08/1965,126648810,30654500,55438372,31277438,81949859,25545488,34218840,10901986,11392489,10359365
09/1965,105078907,60564079,52288968,34070156,84068100,29552397,22690110,18092098,12232623,9557905
10/1965,135227941,34840126,57927207,31000729,51631175,65625192,21971900,21587924,11759726,10550604
11/1965,139959834,36276879,53263904,35072727,52461380,67212154,21496855,23792043,10465983,14249167
12/1965,97948413,77714867,45729834,40916115,51770803,57122389,33904106,21295593,11055703,13483138
01/1966,99296503,70670197,54774812,39463388,36427642,46297569,57783170,27789699,12519096,14253631
02/1966,100815665,69271150,48810882,43464969,36054240,46905512,58017344,28186998,16983570,13884432
03/1966,96533749,72541502,35657097,46139242,38372222,46657466,57930975,29530047,17330016,13878137
04/1966,96575708,70294016,36593940,44944665,34859190,48937165,51416362,29922532,16345188,14636325
05/1966,92552057,78710685,36512057,48365090,37775419,43998413,59564799,26901554,16917295,13054343
06/1966,86495189,76258929,37519244,52052976,32386995,37259855,56108744,22785299,16095185,12459905
07/1966,97373007,46348685,64417899,42261957,29199621,40969397,54474225,26858377,14554766,13070393
08/1966,87042804,77338824,40438419,42510709,29118830,41858850,52678988,23878883,16206563,13267506
09/1966,81775214,72510627,35954599,40164523,37906242,24153837,52836296,23119849,11293989,11899018
10/1966,70947985,80500219,47074410,30089970,39417020,55861914,26266340,14098520,13343115,11500845
11/1966,82256607,53901726,70028738,34659615,45339682,58326573,25935323,11429021,13657266,11369202
12/1966,89886590,53219899,63770271,36445923,28191449,78279423,23064378,12374492,13530319,10774926
01/1967,81775171,54882918,69356098,37026646,30354543,73352851,28443797,14935108,13207607,11082969
02/1967,82772500,57373651,67641008,46248018,32230993,25085523,85154562,21552634,15888847,12702456
03/1967,90666949,53372053,65212278,48288955,30595730,32047456,74010198,25983027,15777481,12684328
